46001, 100 EAST GOODWYN, MEMPHIS, TN, 
46948, 1500 ROSEMARY LN, MEMPHIS, TN, 
46949, 1500 S FLORIDA, MEMPHIS, TN, 
46950, 1500 S PARKWAY EAST ST, MEMPHIS, TN, 
46951, 1500 S TREZAVANT, MEMPHIS, TN, 
46952, 1500 SANDY STONE LN, MEMPHIS, TN, 
46953, 1500 SHADOWLAWN ST, MEMPHIS, TN, 
46954, 1500 SHADY BIRCH LN, MEMPHIS, TN, 
46955, 1500 SHASTA, MEMPHIS, TN, 
46956, 1500 SHELBY, MEMPHIS, TN, 
46957, 1500 SINGING TREES DR, MEMPHIS, TN, 
46958, 1500 SOMMERSET, MEMPHIS, TN, 
46959, 1500 SOUTH 3RD, MEMPHIS, TN, 
46960, 1500 SOUTH HIGHLAND, MEMPHIS, TN, 
46961, 1500 SOUTH MONTGOMERY, MEMPHIS, TN, 
46962, 1500 SOUTH PKWY VIEW CIRCLE, MEMPHIS, TN, 
46963, 1500 SOUTH PORT, MEMPHIS, TN, 
46964, 1500 SPARTON, MEMPHIS, TN, 
46965, 1500 STANDRIDGE AVE, MEMPHIS, TN, 
46966, 1500 STEVENSON ST, MEMPHIS, TN, 
46967, 1500 STONEWALL ST, MEMPHIS, TN, 
46968, 1500 SUNSET AVE, MEMPHIS, TN, 
46969, 1500 SYCAMORE BEND CV, MEMPHIS, TN, 
46970, 1500 SYCAMORE VIEW RD, MEMPHIS, TN, 
46971, 1500 SYCAMORE, MEMPHIS, TN, 
46972, 1500 TIMBERLAND DR, MEMPHIS, TN, 
46973, 1500 TITUS ST, MEMPHIS, TN, 
46974, 1500 TOMCO CV, MEMPHIS, TN, 
46975, 1500 TREE HAVEN, MEMPHIS, TN, 
46976, 1500 TREZEVANT AVE, MEMPHIS, TN, 
46977, 1500 TUMBERLAND DR 2, MEMPHIS, TN, 
46978, 1500 VERA CRUZ ST, MEMPHIS, TN, 
46979, 1500 W RAINES, MEMPHIS, TN, 
46980, 1500 WHEATON CV, MEMPHIS, TN, 
46981, 1500 WHITE PLAINS, MEMPHIS, TN, 
46982, 1500 WHITMORE AVE, MEMPHIS, TN, 
46983, 1500 WHITTEN RD, MEMPHIS, TN, 
46984, 1500 WILLIE B MITCHELL, MEMPHIS, TN, 
46985, 1500 WINCHESTER DR, MEMPHIS, TN, 
46986, 1500 WINCHESTER PLACE, MEMPHIS, TN, 
46987, 1500 WOOD TRAIL CR, MEMPHIS, TN, 
46988, 1591PENNSYLVANIA, MEMPHIS, TN, 
46989, 1600 ARCADIA, MEMPHIS, TN, 
46990, 1600 ARKANSAS AVE, MEMPHIS, TN, 
46991, 1600 BELLEVUE, MEMPHIS, TN, 
46992, 1600 BERRYHILL, MEMPHIS, TN, 
46993, 1600 BIRDSONG RD, MEMPHIS, TN, 
46994, 1600 BRIERCREST LN, MEMPHIS, TN, 
46995, 1600 BRITTAN, MEMPHIS, TN, 
46996, 1600 BROOKINS AVE, MEMPHIS, TN, 
46997, 1600 BUXTON AVE, MEMPHIS, TN, 
46998, 1600 BUXTON RD, MEMPHIS, TN, 
46999, 1600 BYNTON, MEMPHIS, TN, 
47000, 1600 CANE MEADOW 102, MEMPHIS, TN, 
