24001, 4300 WATTS AVE, MEMPHIS, TN, 
24946, 1300 SOUTHLAND MALL DR, MEMPHIS, TN, 
24947, 1300 SPRINGDALE AVE, MEMPHIS, TN, 
24948, 1300 WEYMOUTH, MEMPHIS, TN, 
24949, 1300 WINGFIELD, MEMPHIS, TN, 
24950, 1300, MEMPHIS, TN, 
24951, 1400 ALAMO ST, MEMPHIS, TN, 
24952, 1400 ARMAND DR, MEMPHIS, TN, 
24953, 1400 BAUMAN DR, MEMPHIS, TN, 
24954, 1400 BLACK BASS CV, MEMPHIS, TN, 
24955, 1400 BOXWOOD ST, MEMPHIS, TN, 
24956, 1400 CANFIELD AVE, MEMPHIS, TN, 
24957, 1400 CHANNEL, MEMPHIS, TN, 
24958, 1400 CLEMENTINE 4, MEMPHIS, TN, 
24959, 1400 CLEMINTINE RD, MEMPHIS, TN, 
24960, 1400 CUMMINGS ST, MEMPHIS, TN, 
24961, 1400 DAVID DR, MEMPHIS, TN, 
24962, 1400 DEMPSTER, MEMPHIS, TN, 
24963, 1400 DUNLEITH, MEMPHIS, TN, 
24964, 1400 E ALCY RD, MEMPHIS, TN, 
24965, 1400 E HOLMES RD, MEMPHIS, TN, 
24966, 1400 EAST HOLMES, MEMPHIS, TN, 
24967, 1400 EMPIRE AVE, MEMPHIS, TN, 
24968, 1400 ENGLEWOOD ST, MEMPHIS, TN, 
24969, 1400 FAIRVIEW, MEMPHIS, TN, 
24970, 1400 FARMVILLE AVE, MEMPHIS, TN, 
24971, 1400 GATEWAY DR, MEMPHIS, TN, 
24972, 1400 GLEASON AVE, MEMPHIS, TN, 
24973, 1400 GRAND, MEMPHIS, TN, 
24974, 1400 GREENBROOK, MEMPHIS, TN, 
24975, 1400 HEISTAN, MEMPHIS, TN, 
24976, 1400 ISLAND SHORE DR, MEMPHIS, TN, 
24977, 1400 JANIS DR, MEMPHIS, TN, 
24978, 1400 LAPALOMA, MEMPHIS, TN, 
24979, 1400 N GRAHAM RD, MEMPHIS, TN, 
24980, 1400 N HIGHLAND, MEMPHIS, TN, 
24981, 1400 N LEXINGTON, MEMPHIS, TN, 
24982, 1400 NORTH FARONIA SQUARE, MEMPHIS, TN, 
24983, 1400 OVERTON PARK AVE, MEMPHIS, TN, 
24984, 1400 PAULLUS AVE, MEMPHIS, TN, 
24985, 1400 ROBIN HOOD, MEMPHIS, TN, 
24986, 1400 SILVER ST, MEMPHIS, TN, 
24987, 1400 SPRING BROOK, MEMPHIS, TN, 
24988, 1400 SYCAMOREVIEW, MEMPHIS, TN, 
24989, 1400 TITUS, MEMPHIS, TN, 
24990, 1400 TUNICA ST, MEMPHIS, TN, 
24991, 1400 TUTWILER ST, MEMPHIS, TN, 
24992, 1400 W BARRON CIR, MEMPHIS, TN, 
24993, 1400 WAGON TRAIL, MEMPHIS, TN, 
24994, 1400 WINCHESTER DR, MEMPHIS, TN, 
24995, 1500 AGNES PL, MEMPHIS, TN, 
24996, 1500 BARTLETT RD, MEMPHIS, TN, 
24997, 1500 BIRCHBEND SQUARE, MEMPHIS, TN, 
24998, 1500 BRIERCREST DR, MEMPHIS, TN, 
24999, 1500 CLEARFIELD, MEMPHIS, TN, 
25000, 1500 CUMMINGS, MEMPHIS, TN, 
