82001, 1100 S GREER AVE, MEMPHIS, TN, 
82932, 1200 N MERCHANT ST, MEMPHIS, TN, 
82933, 1200 N SECOND ST, MEMPHIS, TN, 
82934, 1200 N SEVENTH, MEMPHIS, TN, 
82935, 1200 N SIXTH, MEMPHIS, TN, 
82936, 1200 NANCHEZ POINT, MEMPHIS, TN, 
82937, 1200 NARTCHEZ, MEMPHIS, TN, 
82938, 1200 NATCHEZ PL, MEMPHIS, TN, 
82939, 1200 NATCHEZ POINT ,NO 74, MEMPHIS, TN, 
82940, 1200 NATCHEZ POINT #6, MEMPHIS, TN, 
82941, 1200 NATCHEZ POINT 129, MEMPHIS, TN, 
82942, 1200 NATCHEZ POINT WEST, MEMPHIS, TN, 
82943, 1200 NATCHEZ POINTE APT 128, MEMPHIS, TN, 
82944, 1200 NATCHEZ PT 94, MEMPHIS, TN, 
82945, 1200 NATCHEZ PT AND SAWYER CIR, MEMPHIS, TN, 
82946, 1200 NATCHEZ PT., MEMPHIS, TN, 
82947, 1200 NATCHEZ ST, MEMPHIS, TN, 
82948, 1200 NATCHEZ TRACE, MEMPHIS, TN, 
82949, 1200 NBELLEVUE BLVD, MEMPHIS, TN, 
82950, 1200 NESTER RD, MEMPHIS, TN, 
82951, 1200 NEW HAVEN CIRCLE, MEMPHIS, TN, 
82952, 1200 NGERMANTOWN PKWY, MEMPHIS, TN, 
82953, 1200 NHIGHLAND, MEMPHIS, TN, 
82954, 1200 NHOLMES, MEMPHIS, TN, 
82955, 1200 NMANASSAS, MEMPHIS, TN, 
82956, 1200 NOLAN, MEMPHIS, TN, 
82957, 1200 NORRA, MEMPHIS, TN, 
82958, 1200 NORRIA RD, MEMPHIS, TN, 
82959, 1200 NORRIS AVE, MEMPHIS, TN, 
82960, 1200 NORTH BELLEVUE BLVD, MEMPHIS, TN, 
82961, 1200 NORTH BELVEDERE AVE, MEMPHIS, TN, 
82962, 1200 NORTH BELVEDERE BLVD, MEMPHIS, TN, 
82963, 1200 NORTH EVERGREEN RD, MEMPHIS, TN, 
82964, 1200 NORTH GERMANTOWN PKY, MEMPHIS, TN, 
82965, 1200 NORTH HOLLYWOOD AND SHASTA AVE, MEMPHIS, TN, 
82966, 1200 NORTH LOINS GATE, MEMPHIS, TN, 
82967, 1200 NORTH MA, MEMPHIS, TN, 
82968, 1200 NORTH MANASSAS ST AND FIRESTONE AVE, MEMPHIS, TN, 
82969, 1200 NORTH MANASSAS STREET, MEMPHIS, TN, 
82970, 1200 NORTH MANASSASS, MEMPHIS, TN, 
82971, 1200 NORTH MANNASASS, MEMPHIS, TN, 
82972, 1200 NORTH MANNASSAS, MEMPHIS, TN, 
82973, 1200 NORTH MCLEAN, MEMPHIS, TN, 
82974, 1200 NORTH SEVENTH, MEMPHIS, TN, 
82975, 1200 NORTH WATKINS ST, MEMPHIS, TN, 
82976, 1200 NORTH WILLETT ST APT 101, MEMPHIS, TN, 
82977, 1200 NORTHAVEN CIRCLE, MEMPHIS, TN, 
82978, 1200 NORTHPARKWAY, MEMPHIS, TN, 
82979, 1200 NPARKWAY AVE, MEMPHIS, TN, 
82980, 1200 NPARKWAY, MEMPHIS, TN, 
82981, 1200 OBERLE, MEMPHIS, TN, 
82982, 1200 OLD AUSTIN PEAY, MEMPHIS, TN, 
82983, 1200 OLD HICKORY, MEMPHIS, TN, 
82984, 1200 ORLEANS ST, MEMPHIS, TN, 
82985, 1200 OUTH COOPER, MEMPHIS, TN, 
82986, 1200 OVERTON PARK # 4, MEMPHIS, TN, 
82987, 1200 OVERTON PARK ST, MEMPHIS, TN, 
82988, 1200 OVERTON PKWY, MEMPHIS, TN, 
82989, 1200 OVERTON SQUARE, MEMPHIS, TN, 
82990, 1200 OVERTONPARK, MEMPHIS, TN, 
82991, 1200 PALICAN LN, MEMPHIS, TN, 
82992, 1200 PALMER RD, MEMPHIS, TN, 
82993, 1200 PALMETTO CV, MEMPHIS, TN, 
82994, 1200 PAMETTO, MEMPHIS, TN, 
82995, 1200 PARK PLACE, MEMPHIS, TN, 
82996, 1200 PARK ROSE, MEMPHIS, TN, 
82997, 1200 PARK, MEMPHIS, TN, 
82998, 1200 PARKAND, MEMPHIS, TN, 
82999, 1200 PARKROSE RD AND DOUBLE TREE RD, MEMPHIS, TN, 
83000, 1200 PARKROSE ST, MEMPHIS, TN, 
