143001, AIRWAYS BLV AND LAMAR AVE, MEMPHIS, TN, 
143835, AW WILLIS AND DANNY THOMAS, MEMPHIS, TN, 
143836, AW WILLIS AND FRONT, MEMPHIS, TN, 
143837, AW WILLIS AND ISLAND PLACE, MEMPHIS, TN, 
143838, AW WILLIS AND N THIRD, MEMPHIS, TN, 
143839, AW WILLIS AND N2ND, MEMPHIS, TN, 
143840, AW WILLIS AND NORTH FRONT, MEMPHIS, TN, 
143841, AW WILLIS AND NORTH SEVENTH, MEMPHIS, TN, 
143842, AW WILLIS AND SECOND ST, MEMPHIS, TN, 
143843, AW WILLIS AND SECOND, MEMPHIS, TN, 
143844, AW WILLIS AND SEVENTH ST, MEMPHIS, TN, 
143845, AW WILLIS AND THIRD, MEMPHIS, TN, 
143846, AW WILLIS AVE AND THOMAS ST, MEMPHIS, TN, 
143847, AW WILLIS, MEMPHIS, TN, 
143848, AWWILLS AND MAIN, MEMPHIS, TN, 
143849, AYER AND CHELSEA, MEMPHIS, TN, 
143850, AYER AND LOONEY, MEMPHIS, TN, 
143851, AYER ST AND LEE ST, MEMPHIS, TN, 
143852, AYERS & N. PARKWAY, MEMPHIS, TN, 
143853, AYERS AND FORREST, MEMPHIS, TN, 
143854, AYERS AND GRIFFITH PL, MEMPHIS, TN, 
143855, AYERS AND JEHL, MEMPHIS, TN, 
143856, AYERS AND JOSEPH PL, MEMPHIS, TN, 
143857, AYERS AND JOSEPH, MEMPHIS, TN, 
143858, AYERS AND JW WILLIAMS, MEMPHIS, TN, 
143859, AYERS AND KEEL AVE, MEMPHIS, TN, 
143860, AYERS AND LOONEY ST, MEMPHIS, TN, 
143861, AYERS AND N DUNLAP, MEMPHIS, TN, 
143862, AYERS AND NORTH PKWY, MEMPHIS, TN, 
143863, AYERS AND OLYMPIC, MEMPHIS, TN, 
143864, AYERS AND ORPHANGE, MEMPHIS, TN, 
143865, AYERS AND WEAVER, MEMPHIS, TN, 
143866, AYERS LOONEY, MEMPHIS, TN, 
143867, AYERS ST AND FAXON AVE, MEMPHIS, TN, 
143868, AYERS ST AND KEEL AVE, MEMPHIS, TN, 
143869, AYERS ST AND POPLAR AVE, MEMPHIS, TN, 
143870, AYERS STREET AND POPLAR AVE, MEMPHIS, TN, 
143871, AYERS UNDERNEATH THE I-40 OVERPASS, MEMPHIS, TN, 
143872, AYRES AND LANE, MEMPHIS, TN, 
143873, AYRES AND PEACH, MEMPHIS, TN, 
143874, AYRSHIRE CV AND FLODDEN DR, MEMPHIS, TN, 
143875, AZAILA ST AND MC LEMORE, MEMPHIS, TN, 
143876, AZALEA AND CUMMINGS, MEMPHIS, TN, 
143877, AZALIA AND E MCLEMORE, MEMPHIS, TN, 
143878, AZALIA AND NIESE, MEMPHIS, TN, 
143879, B B KING AND BEALE ALLEY, MEMPHIS, TN, 
143880, B B KING AND BEALE ST, MEMPHIS, TN, 
143881, B B KING AND CRUMP, MEMPHIS, TN, 
143882, B B KING AND JEFFERSON AVE, MEMPHIS, TN, 
143883, B B KING AND MADISON AVE, MEMPHIS, TN, 
143884, B B KING AND MLK DR, MEMPHIS, TN, 
143885, B B KING AND PEABODY PL, MEMPHIS, TN, 
143886, B B KING AND PEABODY, MEMPHIS, TN, 
143887, B B KING AND SECOND ST, MEMPHIS, TN, 
143888, B B KING AND UNION AVE, MEMPHIS, TN, 
143889, B B KING AVE AND MLK BLVD, MEMPHIS, TN, 
143890, B B KING BLVD AND BEALE ALLEY S, MEMPHIS, TN, 
143891, B B KING BLVD AND GAYOSO AVE, MEMPHIS, TN, 
143892, B B KING BLVD AND PEABODY PL, MEMPHIS, TN, 
143893, B F GOODRICH AND DELP, MEMPHIS, TN, 
143894, B F GOODRICH AND PILOT, MEMPHIS, TN, 
143895, B ST AND MACON RD, MEMPHIS, TN, 
143896, B, MEMPHIS, TN, 
143897, BABTIST EAST, MEMPHIS, TN, 
143898, BACON AND KIPLING, MEMPHIS, TN, 
143899, BACON AND NAM-NI, MEMPHIS, TN, 
143900, BACON AND NAMI, MEMPHIS, TN, 
143901, BACON AND RIDGEMONT, MEMPHIS, TN, 
143902, BACON ST AND NAM-NI DR, MEMPHIS, TN, 
143903, BAGGET AND RAINY DR, MEMPHIS, TN, 
143904, BAGGET AND STEELE, MEMPHIS, TN, 
143905, BAINBRIDGE AND GREEN MILL, MEMPHIS, TN, 
143906, BAINE AND ELLISTON, MEMPHIS, TN, 
143907, BAINE AND MARY, MEMPHIS, TN, 
143908, BAINE AND SHARPE, MEMPHIS, TN, 
143909, BAINE AVE AND SHARPE AVE, MEMPHIS, TN, 
143910, BAIRD AND LOVITT, MEMPHIS, TN, 
143911, BAIRD AND LYNFIELD, MEMPHIS, TN, 
143912, BALD EAGLE AND EYRIE DR, MEMPHIS, TN, 
143913, BALD EAGLE AND EYRIE, MEMPHIS, TN, 
143914, BALD EAGLE AND TALON DR, MEMPHIS, TN, 
143915, BALD EAGLE DR AND RIDGEWAY BLVD, MEMPHIS, TN, 
143916, BALDEAGLE CIRCLE AND GOLDEN EAGLE, MEMPHIS, TN, 
143917, BALFOUR AND BASKIN, MEMPHIS, TN, 
143918, BALFOUR AND MACAULAY, MEMPHIS, TN, 
143919, BALITMORE AND SPOTTSWOOD, MEMPHIS, TN, 
143920, BALL AND AND GLADNEY, MEMPHIS, TN, 
143921, BALL AND AND KETCHUM, MEMPHIS, TN, 
143922, BALL AND CORRY, MEMPHIS, TN, 
143923, BALL AND HOLYFORD, MEMPHIS, TN, 
143924, BALL AND KETCHUM, MEMPHIS, TN, 
143925, BALL AND LINBERGH, MEMPHIS, TN, 
143926, BALL AND NORRIS, MEMPHIS, TN, 
143927, BALL AND ORCHID DR, MEMPHIS, TN, 
143928, BALL AND PINE HILL, MEMPHIS, TN, 
143929, BALL AND SPARKS, MEMPHIS, TN, 
143930, BALL AND W FREEMAN DR, MEMPHIS, TN, 
143931, BALL RD AND AIRWAYS, MEMPHIS, TN, 
143932, BALL RD AND GLADNEY DR, MEMPHIS, TN, 
143933, BALL RD AND VERDUN ST, MEMPHIS, TN, 
143934, BALL RD AND, MEMPHIS, TN, 
143935, BALL RD, MEMPHIS, TN, 
143936, BALLANTRACE AND EDMONSHIRE DR, MEMPHIS, TN, 
143937, BALLENTINE CT AND EDMONDSHIRE DR, MEMPHIS, TN, 
143938, BALTIC AND FAXON AVE, MEMPHIS, TN, 
143939, BALTIC AND FISCHER, MEMPHIS, TN, 
143940, BALTIC AND GIVEN, MEMPHIS, TN, 
143941, BALTIC AND MANHATTAN AVE, MEMPHIS, TN, 
143942, BALTIC AND MCADOO, MEMPHIS, TN, 
143943, BALTIC AND PACIFC, MEMPHIS, TN, 
143944, BALTIC AND POWELL, MEMPHIS, TN, 
143945, BALTIC AND SUMMER AVE, MEMPHIS, TN, 
143946, BALTIC AND UNKNOWN CROSS ST, MEMPHIS, TN, 
143947, BALTIC AVE AND GRACEWOOD ST, MEMPHIS, TN, 
143948, BALTIC ST AND COLEMAN ST, MEMPHIS, TN, 
143949, BALTIC ST AND FAXON AVE, MEMPHIS, TN, 
143950, BALTIC ST AND JOHNSON AVE, MEMPHIS, TN, 
143951, BALTIC ST AND MANHATTAN AVE, MEMPHIS, TN, 
143952, BALTIC ST AND PACIFIC AVE, MEMPHIS, TN, 
143953, BALTIC ST AND PERSHING AVE, MEMPHIS, TN, 
143954, BALTIMORE AND ENTERPRISE, MEMPHIS, TN, 
143955, BALTIMORE AND MIDLAND, MEMPHIS, TN, 
143956, BALTIMORE AND SPOTTSWOOD, MEMPHIS, TN, 
143957, BALTIMORE ST AND PARK AVE, MEMPHIS, TN, 
143958, BALTIMORE, MEMPHIS, TN, 
143959, BAMMEL AND BREEDLOVE, MEMPHIS, TN, 
143960, BAMMEL AND DECATUR, MEMPHIS, TN, 
143961, BAMMEL AVE AND COKER ST, MEMPHIS, TN, 
143962, BAMMEL, MEMPHIS, TN, 
143963, BAMMELL AND BREEDLOVE, MEMPHIS, TN, 
143964, BANGALORE CT AND QUINCE, MEMPHIS, TN, 
143965, BANKSIDE AND OLD STREET CV, MEMPHIS, TN, 
143966, BANKSIDE DR AND KINGBENCH DR, MEMPHIS, TN, 
143967, BANNOCK AND ABERNATHY, MEMPHIS, TN, 
143968, BANNOCKBURN AND NEW ALLEN, MEMPHIS, TN, 
143969, BANNOCKBURN AND SCENIC HWY, MEMPHIS, TN, 
143970, BANNOCKBURN RD, MEMPHIS, TN, 
143971, BARB WOOD AND WOODALE, MEMPHIS, TN, 
143972, BARBARA AND OLIVE, MEMPHIS, TN, 
143973, BARBARA AND VOLLINTINE, MEMPHIS, TN, 
143974, BARBARA CIRCLE EAST AND RALEIGH-LAGRANGE, MEMPHIS, TN, 
143975, BARBARA DR AND RALEIGH LAGRANGE, MEMPHIS, TN, 
143976, BARBARA ST AND JACKSON AVE, MEMPHIS, TN, 
143977, BARBARO ALLEY AND FRONT, MEMPHIS, TN, 
143978, BARBARO ALLEY AND GAYOSO, MEMPHIS, TN, 
143979, BARBARO ALLEY AND NOVEMBER 6TH, MEMPHIS, TN, 
143980, BARBARO AND CENTER, MEMPHIS, TN, 
143981, BARBAROE ALLY AND NOVEMBER 6, MEMPHIS, TN, 
143982, BARBERRY AND TIMBERWOOD, MEMPHIS, TN, 
143983, BARBIE ST AND DUVALL AVE, MEMPHIS, TN, 
143984, BARBORO ALLEY AND FRONT ST, MEMPHIS, TN, 
143985, BARBORO ALLEY AND FRONT, MEMPHIS, TN, 
143986, BARBORO AND FRONT, MEMPHIS, TN, 
143987, BARBOUR ST, MEMPHIS, TN, 
143988, BARBOUR\\ E. OLIVE, MEMPHIS, TN, 
143989, BARBOURVILLE AND ST ELMO, MEMPHIS, TN, 
143990, BARBOURVILLE DR AND ST ELMO, MEMPHIS, TN, 
143991, BARBWOOD AND WOODDALE AVE, MEMPHIS, TN, 
143992, BARBWOOD/CHUCK, MEMPHIS, TN, 
143993, BARCLAY AND MORLYE, MEMPHIS, TN, 
143994, BARCLAY ST MORLEY ST, MEMPHIS, TN, 
143995, BARFIELD AND YATES, MEMPHIS, TN, 
143996, BARKLAY, MEMPHIS, TN, 
143997, BARKSDALE & SOUTH PARKWAY, MEMPHIS, TN, 
143998, BARKSDALE AND CENTRAL, MEMPHIS, TN, 
143999, BARKSDALE AND CHUCK, MEMPHIS, TN, 
144000, BARKSDALE AND DUNN, MEMPHIS, TN, 
