169001, TCHULAHOMA AND QUEENSGATE, MEMPHIS, TN, 
169872, TUTWILER AVE AND POPE ST, MEMPHIS, TN, 
169873, TUTWILER AVE AND SEVIER ST, MEMPHIS, TN, 
169874, TUTWILER AVE AND UNIVERSITY ST, MEMPHIS, TN, 
169875, TUTWILER AVE AND VAUGHN ST, MEMPHIS, TN, 
169876, TUTWILER AVENUE AND UNIVERSITY STREET, MEMPHIS, TN, 
169877, TUTWILER ST AND WARING RD, MEMPHIS, TN, 
169878, TUTWILER W OF UNIVERSITY, MEMPHIS, TN, 
169879, TUTWILLER AND BELVEDRE, MEMPHIS, TN, 
169880, TUTWILLER AND MCLEAN, MEMPHIS, TN, 
169881, TUTWILLER AND MERTON, MEMPHIS, TN, 
169882, TUTWILLER AND VAUGHN, MEMPHIS, TN, 
169883, TVA TRANSMISSION POWER LINE EASEMENT, MEMPHIS, TN, 
169884, TWAIN AND JOHAN AVE, MEMPHIS, TN, 
169885, TWAIN AVE AND JONAH, MEMPHIS, TN, 
169886, TWAIN AVE AND TREZEVANT ST, MEMPHIS, TN, 
169887, TWELFTH AND DELTA, MEMPHIS, TN, 
169888, TWELFTH AND SHELBY DR, MEMPHIS, TN, 
169889, TWELFTH RD AND HOLMES RD, MEMPHIS, TN, 
169890, TWELFTH RD AND SHELBY DR, MEMPHIS, TN, 
169891, TWELTH N/ HOLMES, MEMPHIS, TN, 
169892, TWELVETH AND HONDURUS, MEMPHIS, TN, 
169893, TWELVETH RD, MEMPHIS, TN, 
169894, TWILIGHT AND RALIEGH MILLINGTON, MEMPHIS, TN, 
169895, TWIN LAKE AND LUCKY TRAILS, MEMPHIS, TN, 
169896, TWIN LAKES AND BARBERRY, MEMPHIS, TN, 
169897, TWIN LAKES AND KERWIN, MEMPHIS, TN, 
169898, TWIN LAKES AND RALEIGH MILLINGTON RD, MEMPHIS, TN, 
169899, TWIN LAKES AND TIMBERWOOD DR, MEMPHIS, TN, 
169900, TWIN LAKES AND TWINMONT, MEMPHIS, TN, 
169901, TWIN LAKES DR AND RALEIGH-MILLINGTON RD, MEMPHIS, TN, 
169902, TWIN LAKES DR AND TWINMONT ST, MEMPHIS, TN, 
169903, TWIN LAKES KERWIN, MEMPHIS, TN, 
169904, TWIN OAKS APTS, MEMPHIS, TN, 
169905, TWIN RIVERS AND BEAVER TRAIL, MEMPHIS, TN, 
169906, TWINKLETOWN AND LAKEVIEW, MEMPHIS, TN, 
169907, TWINLAKES AND TWINMONT, MEMPHIS, TN, 
169908, TWINMONT AND TIMBERWOOD, MEMPHIS, TN, 
169909, TWINMONT AND TWIN LAKES, MEMPHIS, TN, 
169910, TWINMONT AND TWINLAKES, MEMPHIS, TN, 
169911, TWINMONT ST AND LONGHOLLOW DR, MEMPHIS, TN, 
169912, TWINMONT TWIN LAKES, MEMPHIS, TN, 
169913, TWINMONT, MEMPHIS, TN, 
169914, TWINWOOD AVE, MEMPHIS, TN, 
169915, TWINWOODS AND CHISWOOD, MEMPHIS, TN, 
169916, TWO PLACE RD AND ONE PLACE RD, MEMPHIS, TN, 
169917, TYLA AND CORNING, MEMPHIS, TN, 
169918, TYLA AND NINA, MEMPHIS, TN, 
169919, TYNE AND BARRON, MEMPHIS, TN, 
169920, TYROL CT AND ASPENWOOD, MEMPHIS, TN, 
169921, TYROLE CT AND ASPENWAY DR, MEMPHIS, TN, 
169922, TYROLL CT AND CORTINA CT, MEMPHIS, TN, 
169923, U S HWY 64 AND DROMEDARY, MEMPHIS, TN, 
169924, U1725 WEINER RD, MEMPHIS, TN, 
169925, U3819 BLACK FORREST DR, MEMPHIS, TN, 
169926, UNCLE REMUS & BLACKBERRY BUSH, MEMPHIS, TN, 
169927, UNION @ I-240, MEMPHIS, TN, 
169928, UNION & DANNY THOMAS, MEMPHIS, TN, 
169929, UNION & REMBERT, MEMPHIS, TN, 
169930, UNION & WATKINS, MEMPHIS, TN, 
169931, UNION AND 2ND ST, MEMPHIS, TN, 
169932, UNION AND ANGELUS, MEMPHIS, TN, 
169933, UNION AND BB KING, MEMPHIS, TN, 
169934, UNION AND BELLEVEDERE, MEMPHIS, TN, 
169935, UNION AND BELLVEDERE, MEMPHIS, TN, 
169936, UNION AND BELVEDRE, MEMPHIS, TN, 
169937, UNION AND BELVELDERE, MEMPHIS, TN, 
169938, UNION AND CENTER ALLEY, MEMPHIS, TN, 
169939, UNION AND CHARLIE VERGOS ALLEY, MEMPHIS, TN, 
169940, UNION AND CLEAVLAND, MEMPHIS, TN, 
169941, UNION AND DANA, MEMPHIS, TN, 
169942, UNION AND DANNYTHOMAS, MEMPHIS, TN, 
169943, UNION AND DIANNE, MEMPHIS, TN, 
169944, UNION AND DUDDLEY, MEMPHIS, TN, 
169945, UNION AND DUDLELY, MEMPHIS, TN, 
169946, UNION AND DUNAP, MEMPHIS, TN, 
169947, UNION AND EAST ST, MEMPHIS, TN, 
169948, UNION AND EDGEWATER, MEMPHIS, TN, 
169949, UNION AND FOURTH ST, MEMPHIS, TN, 
169950, UNION AND FRONT ST, MEMPHIS, TN, 
169951, UNION AND GAYOSO, MEMPHIS, TN, 
169952, UNION AND I 240, MEMPHIS, TN, 
169953, UNION AND I-40, MEMPHIS, TN, 
169954, UNION AND I240 OVERPASS, MEMPHIS, TN, 
169955, UNION AND IDEWILD, MEMPHIS, TN, 
169956, UNION AND LINDEN, MEMPHIS, TN, 
169957, UNION AND MAIN ST, MEMPHIS, TN, 
169958, UNION AND MCCAIN, MEMPHIS, TN, 
169959, UNION AND MIRTLE, MEMPHIS, TN, 
169960, UNION AND MONORE, MEMPHIS, TN, 
169961, UNION AND MONROE, MEMPHIS, TN, 
169962, UNION AND N MAIN, MEMPHIS, TN, 
169963, UNION AND N MANASSAS, MEMPHIS, TN, 
169964, UNION AND NOV-6 TH ST, MEMPHIS, TN, 
169965, UNION AND NOVEMBER 6TH ALLEY, MEMPHIS, TN, 
169966, UNION AND NOVEMBER 6TH, MEMPHIS, TN, 
169967, UNION AND NOVEMBER6, MEMPHIS, TN, 
169968, UNION AND PASADENA PL, MEMPHIS, TN, 
169969, UNION AND PASASDENA, MEMPHIS, TN, 
169970, UNION AND PATRICIA, MEMPHIS, TN, 
169971, UNION AND PAULINE ST, MEMPHIS, TN, 
169972, UNION AND POPLAR AVE, MEMPHIS, TN, 
169973, UNION AND RAIN PL, MEMPHIS, TN, 
169974, UNION AND RAINE PLACE, MEMPHIS, TN, 
169975, UNION AND RIVER SIDE, MEMPHIS, TN, 
169976, UNION AND S 4TH, MEMPHIS, TN, 
169977, UNION AND S BARKSDALE, MEMPHIS, TN, 
169978, UNION AND S BELLEVUE BLVD, MEMPHIS, TN, 
169979, UNION AND S BELLEVUE, MEMPHIS, TN, 
169980, UNION AND S MCLEAN, MEMPHIS, TN, 
169981, UNION AND S MCNEIL, MEMPHIS, TN, 
169982, UNION AND S PKWY, MEMPHIS, TN, 
169983, UNION AND S THIRD, MEMPHIS, TN, 
169984, UNION AND SEDGEWOOD, MEMPHIS, TN, 
169985, UNION AND SOUTH AVALON, MEMPHIS, TN, 
169986, UNION AND SOUTH WILETT, MEMPHIS, TN, 
169987, UNION AND ST AGNES DR, MEMPHIS, TN, 
169988, UNION AND ST AGNES, MEMPHIS, TN, 
169989, UNION AND THIRD ST, MEMPHIS, TN, 
169990, UNION AND UNION EXTENDED, MEMPHIS, TN, 
169991, UNION AND UNION XTD, MEMPHIS, TN, 
169992, UNION AND UNION, MEMPHIS, TN, 
169993, UNION AND WAGNER PLACE, MEMPHIS, TN, 
169994, UNION ANDTHIRD, MEMPHIS, TN, 
169995, UNION AV. AND MARSHALL, MEMPHIS, TN, 
169996, UNION AVE AND AUBURNDALE ST, MEMPHIS, TN, 
169997, UNION AVE AND AURBURNDALE ST, MEMPHIS, TN, 
169998, UNION AVE AND AVALON ST, MEMPHIS, TN, 
169999, UNION AVE AND BEALE, MEMPHIS, TN, 
170000, UNION AVE AND BELLEVUE, MEMPHIS, TN, 
