43001, 4600 SAWMILL RD, MEMPHIS, TN, 
43941, 6900 HUNTERS TRAIL, MEMPHIS, TN, 
43942, 6900 MIDDLEBROOK CV, MEMPHIS, TN, 
43943, 6900 RAINES RD, MEMPHIS, TN, 
43944, 6900 REESE, MEMPHIS, TN, 
43945, 6900 SAUTERNE, MEMPHIS, TN, 
43946, 6900 SAUVIGNON CV, MEMPHIS, TN, 
43947, 6900 SUMMERSET CV, MEMPHIS, TN, 
43948, 6900 US HWY 64, MEMPHIS, TN, 
43949, 6900 VALLEY PARK DRIVE, MEMPHIS, TN, 
43950, 6900 W FOX HORSE CV, MEMPHIS, TN, 
43951, 700 AGGIE, MEMPHIS, TN, 
43952, 700 ANDERSON ST, MEMPHIS, TN, 
43953, 700 ARRINGTON AVE, MEMPHIS, TN, 
43954, 700 BALTIC AVE, MEMPHIS, TN, 
43955, 700 BELLEVUE BLVD, MEMPHIS, TN, 
43956, 700 BLACK HAWK, MEMPHIS, TN, 
43957, 700 BREEDLOVE AVE, MEMPHIS, TN, 
43958, 700 BRENTWOOD CIR, MEMPHIS, TN, 
43959, 700 BROOKHAVEN, MEMPHIS, TN, 
43960, 700 BROOKS RD, MEMPHIS, TN, 
43961, 700 CAIRN CREEK DR, MEMPHIS, TN, 
43962, 700 CHELSEA ST, MEMPHIS, TN, 
43963, 700 CHESLEA, MEMPHIS, TN, 
43964, 700 CLAYBROOK, MEMPHIS, TN, 
43965, 700 COMO DR, MEMPHIS, TN, 
43966, 700 COMPRESS DR, MEMPHIS, TN, 
43967, 700 CYPRESS, MEMPHIS, TN, 
43968, 700 DANNY THOMAS BLVD, MEMPHIS, TN, 
43969, 700 DELLROSE DR, MEMPHIS, TN, 
43970, 700 DEMPSTER, MEMPHIS, TN, 
43971, 700 DISON AVE, MEMPHIS, TN, 
43972, 700 DUCK CALL CV, MEMPHIS, TN, 
43973, 700 E DAVANT ST, MEMPHIS, TN, 
43974, 700 E FRANK CIR, MEMPHIS, TN, 
43975, 700 E FRANKS, MEMPHIS, TN, 
43976, 700 E GAGE ST, MEMPHIS, TN, 
43977, 700 E MCLEMORE ST, MEMPHIS, TN, 
43978, 700 E WALDORF, MEMPHIS, TN, 
43979, 700 EAST CADRACA, MEMPHIS, TN, 
43980, 700 EAST DISON AVE, MEMPHIS, TN, 
43981, 700 EAST MALLORY AVE, MEMPHIS, TN, 
43982, 700 EAST PKWY, MEMPHIS, TN, 
43983, 700 EASTERN DR, MEMPHIS, TN, 
43984, 700 EATON, MEMPHIS, TN, 
43985, 700 ECHELS, MEMPHIS, TN, 
43986, 700 EH CRUMP, MEMPHIS, TN, 
43987, 700 FIRESTONE AVE, MEMPHIS, TN, 
43988, 700 FLYNN, MEMPHIS, TN, 
43989, 700 HARBOR BEND DR, MEMPHIS, TN, 
43990, 700 HASTINGS CIRCLE EAST, MEMPHIS, TN, 
43991, 700 HASTINGS CIRCLE WEST, MEMPHIS, TN, 
43992, 700 HIGHPOINT TERRACE, MEMPHIS, TN, 
43993, 700 HONDURAS DR, MEMPHIS, TN, 
43994, 700 HOTCHKISS, MEMPHIS, TN, 
43995, 700 HOUSTON ST, MEMPHIS, TN, 
43996, 700 LEVERT, MEMPHIS, TN, 
43997, 700 LORAINE RD, MEMPHIS, TN, 
43998, 700 LUCILLE AVE, MEMPHIS, TN, 
43999, 700 MAIN, MEMPHIS, TN, 
44000, 700 MC LEMORE, MEMPHIS, TN, 
