172001, WILLETT AND VOLLENTINE, MEMPHIS, TN, 
172825, YALE RD AND CONVINGTON PIKE, MEMPHIS, TN, 
172826, YALE RD AND GLENSHAW, MEMPHIS, TN, 
172827, YALE RD AND HANNA, MEMPHIS, TN, 
172828, YALE RD AND LYNCHBURG ST, MEMPHIS, TN, 
172829, YALE RD AND NORTHMORE, MEMPHIS, TN, 
172830, YALE RD AND RALIEGH MILLINGTON, MEMPHIS, TN, 
172831, YALE RD AND RAMILL, MEMPHIS, TN, 
172832, YALE RD AND SCHEIBLER, MEMPHIS, TN, 
172833, YALE RED AND RALEIGH MILLINGTON, MEMPHIS, TN, 
172834, YALE ROAD AND COVINGTON PIKE, MEMPHIS, TN, 
172835, YALE SCHEIBLER, MEMPHIS, TN, 
172836, YALE SCHRIBLER, MEMPHIS, TN, 
172837, YATES AND KINGS POINT, MEMPHIS, TN, 
172838, YATES AND MASON, MEMPHIS, TN, 
172839, YATES AND POPLAR, MEMPHIS, TN, 
172840, YATES RD AND MASON RD, MEMPHIS, TN, 
172841, YATES RD AND POPLAR AVE, MEMPHIS, TN, 
172842, YAZOO AND DAVANT, MEMPHIS, TN, 
172843, YAZOO AND E TRIGG, MEMPHIS, TN, 
172844, YAZOO AND HOLLAND, MEMPHIS, TN, 
172845, YAZOO AND NORWOOD, MEMPHIS, TN, 
172846, YAZOO AND YAZOO, MEMPHIS, TN, 
172847, YAZOO ST AND DOVE ST, MEMPHIS, TN, 
172848, YAZOO ST AND NORWOOD AVE, MEMPHIS, TN, 
172849, YAZOO/HOLLAND, MEMPHIS, TN, 
172850, YELLOW BIRCH AND WILLOW OAKS, MEMPHIS, TN, 
172851, YELLOW BIRCH AND WRITE PLACE, MEMPHIS, TN, 
172852, YELLOWBIRCH AND KINGS PORT, MEMPHIS, TN, 
172853, YELLOWBIRCH AND KINGSBAY, MEMPHIS, TN, 
172854, YELLOWBIRCH AND RALIEGH MILLINGTON, MEMPHIS, TN, 
172855, YELLOWBIRCH AND WRITE PLACE, MEMPHIS, TN, 
172856, YELLOWBURCH AND RAMIL, MEMPHIS, TN, 
172857, YELLOWOOD AND FLOWERWOOD, MEMPHIS, TN, 
172858, YELLOWWOOD AND LYNCHBURG, MEMPHIS, TN, 
172859, YOKLEY AND ARGO, MEMPHIS, TN, 
172860, YORK AND CENTRAL, MEMPHIS, TN, 
172861, YORK AND COOPER, MEMPHIS, TN, 
172862, YORK AND MCLEAN, MEMPHIS, TN, 
172863, YORK AND ROLAND, MEMPHIS, TN, 
172864, YORK AND ROZELLE, MEMPHIS, TN, 
172865, YORK AND S BARKSDALE ST, MEMPHIS, TN, 
172866, YORK AND TANGLEWOOD, MEMPHIS, TN, 
172867, YORK AVE AND TANGLEWOOD ST, MEMPHIS, TN, 
172868, YORKSHIRE AND QUNICE, MEMPHIS, TN, 
172869, YORKSHIRE AND TIMMONS, MEMPHIS, TN, 
172870, YORKSHIRE DR AND QUINCE RD, MEMPHIS, TN, 
172871, YOSEMITE AND SHELBY DR, MEMPHIS, TN, 
172872, YOUNG AND BELT LINE, MEMPHIS, TN, 
172873, YOUNG AND BELTLINE, MEMPHIS, TN, 
172874, YOUNG AND E PKWY, MEMPHIS, TN, 
172875, YOUNG AND NEW YORK, MEMPHIS, TN, 
172876, YOUNG AND S COOPER, MEMPHIS, TN, 
172877, YOUNG AND S COX, MEMPHIS, TN, 
172878, YOUNG AVE AND BLYTHE, MEMPHIS, TN, 
172879, YOUNG AVE AND COOPER ST, MEMPHIS, TN, 
172880, YOUNG AVE AND COX ST, MEMPHIS, TN, 
172881, YOUNG AVE AND HOLLYWOOD, MEMPHIS, TN, 
172882, YOUNG AVE AND TANGLEWOOD ST, MEMPHIS, TN, 
172883, YOUNG, MEMPHIS, TN, 
172884, YOUTH VISION AND OVERTON CROSSING, MEMPHIS, TN, 
172885, ZACH CURLIN AND VETERANS, MEMPHIS, TN, 
172886, ZAIO AND GHERALD, MEMPHIS, TN, 
172887, ZAIO AND WELLS STATION, MEMPHIS, TN, 
172888, ZAIO AVE AND DARLOW, MEMPHIS, TN, 
172889, ZANONE ST AND MARECHALNEIL ST, MEMPHIS, TN, 
172890, ZANONE ST, MEMPHIS, TN, 
172891, ZAONNE AND GARFIELD, MEMPHIS, TN, 
172892, ZELAND AND STACEY, MEMPHIS, TN, 
172893, ZELDA AND FERNDALE, MEMPHIS, TN, 
172894, ZELDA AND SUMPTER, MEMPHIS, TN, 
172895, ZELDA AND SUMTER, MEMPHIS, TN, 
172896, ZELDA AND WARING, MEMPHIS, TN, 
172897, ZILPHIA AND WOODLAWN, MEMPHIS, TN, 
172898, ZODIAC AND COSMOS, MEMPHIS, TN, 
172899, ZODIAC AND SUNRAY, MEMPHIS, TN, 
172900, ZODIAC RD AND COSMOS DR, MEMPHIS, TN, 
172901, ZODIC AND HOLMES, MEMPHIS, TN, 
172902, ZOYSIA AND WILD RYE, MEMPHIS, TN, 
