33001, 2900 REDWING RD, MEMPHIS, TN, 
33951, 4900 BENT CT, MEMPHIS, TN, 
33952, 4900 BILLCO RD, MEMPHIS, TN, 
33953, 4900 BILLCO, MEMPHIS, TN, 
33954, 4900 BOEINGSHIRE DR, MEMPHIS, TN, 
33955, 4900 DODD RD, MEMPHIS, TN, 
33956, 4900 EVIS PRESLEY, MEMPHIS, TN, 
33957, 4900 FARMWOOD DR, MEMPHIS, TN, 
33958, 4900 GWYNNE, MEMPHIS, TN, 
33959, 4900 HILLBROOK ST, MEMPHIS, TN, 
33960, 4900 HUNGERFORD, MEMPHIS, TN, 
33961, 4900 JUDY LYNN ST, MEMPHIS, TN, 
33962, 4900 MARIANNE, MEMPHIS, TN, 
33963, 4900 NEWGATE DR, MEMPHIS, TN, 
33964, 4900 PEBBLEROCK CV, MEMPHIS, TN, 
33965, 4900 PERCY, MEMPHIS, TN, 
33966, 4900 ROLLING MEADOWS DR, MEMPHIS, TN, 
33967, 4900 SHADY GROVE, MEMPHIS, TN, 
33968, 4900 SHULMAN, MEMPHIS, TN, 
33969, 4900 SOUTH HAVEN, MEMPHIS, TN, 
33970, 4900 WHITE OAK DR, MEMPHIS, TN, 
33971, 500 BELT LINE, MEMPHIS, TN, 
33972, 500 CHERRY RD, MEMPHIS, TN, 
33973, 500 CONWELL, MEMPHIS, TN, 
33974, 500 E FERNWOOD, MEMPHIS, TN, 
33975, 500 E MC LEMORE AVE, MEMPHIS, TN, 
33976, 500 E NORWOOD ST, MEMPHIS, TN, 
33977, 500 EAST BODLEY, MEMPHIS, TN, 
33978, 500 EAST GAGE, MEMPHIS, TN, 
33979, 500 EAST TRIGG AVE, MEMPHIS, TN, 
33980, 500 ENQUIRER CT, MEMPHIS, TN, 
33981, 500 FOOTE PARK CV, MEMPHIS, TN, 
33982, 500 FRONT ST, MEMPHIS, TN, 
33983, 500 GAINSVILLE AVE, MEMPHIS, TN, 
33984, 500 GREEN ACRES, MEMPHIS, TN, 
33985, 500 GREENFIELD RD, MEMPHIS, TN, 
33986, 500 GRIFFIN DR, MEMPHIS, TN, 
33987, 500 HOLIDAY DR, MEMPHIS, TN, 
33988, 500 HOLIDAY RD, MEMPHIS, TN, 
33989, 500 HOLMES CIR, MEMPHIS, TN, 
33990, 500 HONDURAS DR, MEMPHIS, TN, 
33991, 500 JACK KRAMER DR, MEMPHIS, TN, 
33992, 500 JASON, MEMPHIS, TN, 
33993, 500 LIDA CV, MEMPHIS, TN, 
33994, 500 MAGGIE, MEMPHIS, TN, 
33995, 500 MEADOWCREST CIRCLE, MEMPHIS, TN, 
33996, 500 MONTGOMERY ST, MEMPHIS, TN, 
33997, 500 N DUNLAP ST, MEMPHIS, TN, 
33998, 500 N FIFTH ST, MEMPHIS, TN, 
33999, 500 N MANASSAS ST, MEMPHIS, TN, 
34000, 500 N MENDENHALL, MEMPHIS, TN, 
