37001, 3400 S PERKINS RD, MEMPHIS, TN, 
37954, 5000 BRIARCLIFF, MEMPHIS, TN, 
37955, 5000 COPPER VALLEY EAST, MEMPHIS, TN, 
37956, 5000 COTTONWOOD AVE, MEMPHIS, TN, 
37957, 5000 E COPPER VALLEY, MEMPHIS, TN, 
37958, 5000 EIGHTH RD, MEMPHIS, TN, 
37959, 5000 FAIRELY RD, MEMPHIS, TN, 
37960, 5000 FOX HALL, MEMPHIS, TN, 
37961, 5000 GADWALL DR W, MEMPHIS, TN, 
37962, 5000 HELENE RD, MEMPHIS, TN, 
37963, 5000 HIDDEN LAKES, MEMPHIS, TN, 
37964, 5000 HWY 78, MEMPHIS, TN, 
37965, 5000 LARKWOOD DR, MEMPHIS, TN, 
37966, 5000 LARKWOOD, MEMPHIS, TN, 
37967, 5000 MALONE RD, MEMPHIS, TN, 
37968, 5000 PLEASANT HILL RD, MEMPHIS, TN, 
37969, 5000 PRINCETON RD, MEMPHIS, TN, 
37970, 5000 RAINES, MEMPHIS, TN, 
37971, 5000 ROBINDALE LN, MEMPHIS, TN, 
37972, 5000 ROSS, MEMPHIS, TN, 
37973, 5000 SAGEWOOD DR, MEMPHIS, TN, 
37974, 5000 SHADY GROVE, MEMPHIS, TN, 
37975, 5000 SOUTHERN CV, MEMPHIS, TN, 
37976, 5000 SOUTHWORTH CT, MEMPHIS, TN, 
37977, 5000 STACEY RD, MEMPHIS, TN, 
37978, 5000 STACY, MEMPHIS, TN, 
37979, 5000 STUDDARD CV, MEMPHIS, TN, 
37980, 5000 SUMMERWOOD, MEMPHIS, TN, 
37981, 5000 WALNUT GROVE RD, MEMPHIS, TN, 
37982, 5000 WATER FOWL, MEMPHIS, TN, 
37983, 5100 AUREEN DR, MEMPHIS, TN, 
37984, 5100 BATTLE CREEK, MEMPHIS, TN, 
37985, 5100 CANTON DR, MEMPHIS, TN, 
37986, 5100 COUNTRY VIEW LN, MEMPHIS, TN, 
37987, 5100 CRUMPLER RD, MEMPHIS, TN, 
37988, 5100 DARLINGTON DR, MEMPHIS, TN, 
37989, 5100 DARNELL, MEMPHIS, TN, 
37990, 5100 DEPANNE RD, MEMPHIS, TN, 
37991, 5100 E RAINES, MEMPHIS, TN, 
37992, 5100 E SHORE DR, MEMPHIS, TN, 
37993, 5100 EAST SHORE DR, MEMPHIS, TN, 
37994, 5100 ENGLISH TOWNE DR, MEMPHIS, TN, 
37995, 5100 FORD RD, MEMPHIS, TN, 
37996, 5100 HORNLAKE RD, MEMPHIS, TN, 
37997, 5100 JESSIE LEE LN, MEMPHIS, TN, 
37998, 5100 JOLLY DR, MEMPHIS, TN, 
37999, 5100 LEONARD RD, MEMPHIS, TN, 
38000, 5100 MCKELLAR WOOD, MEMPHIS, TN, 
