123001, 4600 MACON RD #8, MEMPHIS, TN, 
123921, 4700 SHEBLY AIR, MEMPHIS, TN, 
123922, 4700 SHEBY DR, MEMPHIS, TN, 
123923, 4700 SHEFFIELD, MEMPHIS, TN, 
123924, 4700 SHELBOURNE, MEMPHIS, TN, 
123925, 4700 SHELBY AIR DRIVE, MEMPHIS, TN, 
123926, 4700 SHELBY PARK, MEMPHIS, TN, 
123927, 4700 SHELL LN PLACE, MEMPHIS, TN, 
123928, 4700 SJANICE CIRCLE, MEMPHIS, TN, 
123929, 4700 SMILL PORT, MEMPHIS, TN, 
123930, 4700 SONOMA, MEMPHIS, TN, 
123931, 4700 SOUTH AMANDA OAKS, MEMPHIS, TN, 
123932, 4700 SOUTH ERWIN CIRCLE, MEMPHIS, TN, 
123933, 4700 SOUTH JANICE CIRCLE, MEMPHIS, TN, 
123934, 4700 SOUTH MILL PORT CV, MEMPHIS, TN, 
123935, 4700 SOUTH MILLPORT CO, MEMPHIS, TN, 
123936, 4700 SOUTH PERKINS, MEMPHIS, TN, 
123937, 4700 SOUTH RENSHAW DR, MEMPHIS, TN, 
123938, 4700 SOUTH RIDGE, MEMPHIS, TN, 
123939, 4700 SOUTHTHIRD, MEMPHIS, TN, 
123940, 4700 SPANIEL DR, MEMPHIS, TN, 
123941, 4700 SPING VALLEY DR, MEMPHIS, TN, 
123942, 4700 SPOOTSWOOD AVE, MEMPHIS, TN, 
123943, 4700 SPOTTWOOD, MEMPHIS, TN, 
123944, 4700 SPRING VALLEY RD, MEMPHIS, TN, 
123945, 4700 ST ELMO AVE, MEMPHIS, TN, 
123946, 4700 ST ELMO RD, MEMPHIS, TN, 
123947, 4700 ST ELMO ST, MEMPHIS, TN, 
123948, 4700 ST HONORE DR, MEMPHIS, TN, 
123949, 4700 ST THIRD, MEMPHIS, TN, 
123950, 4700 STAGE DR, MEMPHIS, TN, 
123951, 4700 STHIRD ST, MEMPHIS, TN, 
123952, 4700 STONE FOX ST, MEMPHIS, TN, 
123953, 4700 SUGAR CRK, MEMPHIS, TN, 
123954, 4700 SUGAR TREE, MEMPHIS, TN, 
123955, 4700 SUGARCREEK, MEMPHIS, TN, 
123956, 4700 SUMMER AVE., MEMPHIS, TN, 
123957, 4700 SUMMER AVRNUE, MEMPHIS, TN, 
123958, 4700 SUMMER CRK, MEMPHIS, TN, 
123959, 4700 SUMMER LANE AVE, MEMPHIS, TN, 
123960, 4700 SUMMER LN APT2, MEMPHIS, TN, 
123961, 4700 SUMMERLAND, MEMPHIS, TN, 
123962, 4700 SUMMERLANE AV, MEMPHIS, TN, 
123963, 4700 SUMMERLANE ST, MEMPHIS, TN, 
123964, 4700 SUMMIT RIDGE, MEMPHIS, TN, 
123965, 4700 SUMMMER, MEMPHIS, TN, 
123966, 4700 SUMNERLANE AVE, MEMPHIS, TN, 
123967, 4700 SUMNERS WLS, MEMPHIS, TN, 
123968, 4700 SUN RDG, MEMPHIS, TN, 
123969, 4700 SUN VALLEY, MEMPHIS, TN, 
123970, 4700 SUNNER AVE, MEMPHIS, TN, 
123971, 4700 SUNNY BROOK ST, MEMPHIS, TN, 
123972, 4700 SUNNYBROOKS, MEMPHIS, TN, 
123973, 4700 SUNRIDGE DR, MEMPHIS, TN, 
123974, 4700 SUNVALLEY RD, MEMPHIS, TN, 
123975, 4700 SUSAND CV, MEMPHIS, TN, 
123976, 4700 SWINNEA, MEMPHIS, TN, 
123977, 4700 TARKIINGTON DR, MEMPHIS, TN, 
123978, 4700 TARKINGTON ST, MEMPHIS, TN, 
123979, 4700 TCHLAHOMA RD, MEMPHIS, TN, 
123980, 4700 TCHUALAHOMA RD, MEMPHIS, TN, 
123981, 4700 TCHULAHOMA AND SHELBY DR, MEMPHIS, TN, 
123982, 4700 TCHULAHOMA DR, MEMPHIS, TN, 
123983, 4700 TCHULAHOMA ST, MEMPHIS, TN, 
123984, 4700 TCHULOHOMA, MEMPHIS, TN, 
123985, 4700 TIMBERLINE DR, MEMPHIS, TN, 
123986, 4700 TREZEVANT, MEMPHIS, TN, 
123987, 4700 TROUT VALLEY, MEMPHIS, TN, 
123988, 4700 TUCHLAHOMA RD, MEMPHIS, TN, 
123989, 4700 TUCHULOMA, MEMPHIS, TN, 
123990, 4700 TURCO DR, MEMPHIS, TN, 
123991, 4700 TUT CV, MEMPHIS, TN, 
123992, 4700 TUTWILER RD, MEMPHIS, TN, 
123993, 4700 TUTWILLER AVE, MEMPHIS, TN, 
123994, 4700 UGWUANYI, MEMPHIS, TN, 
123995, 4700 UNIVERSITY, MEMPHIS, TN, 
123996, 4700 VAGO, MEMPHIS, TN, 
123997, 4700 VALLEY GLEN DR, MEMPHIS, TN, 
123998, 4700 VALLEYSTREAM DR, MEMPHIS, TN, 
123999, 4700 VAN DER OAK, MEMPHIS, TN, 
124000, 4700 VEGA CIRCLE, MEMPHIS, TN, 
