154001, HUMPHERY AND WALNUT GROVE, MEMPHIS, TN, 
154840, I-40 W AND B AUSTIN PEAY, MEMPHIS, TN, 
154841, I-40 W AND B ON RAMP AND JACKSON, MEMPHIS, TN, 
154842, I-40 W AND B, MEMPHIS, TN, 
154843, I-40 W AND HIGHWAY 64, MEMPHIS, TN, 
154844, I-40 W AND I-240, MEMPHIS, TN, 
154845, I-40 W AND SYCAMORE VIEW, MEMPHIS, TN, 
154846, I-40 WARFORD, MEMPHIS, TN, 
154847, I-40 WB AND COVINGTON PIKE, MEMPHIS, TN, 
154848, I-40 WB AND HOLLYWOOD, MEMPHIS, TN, 
154849, I-40 WB AND N WATKINS RD, MEMPHIS, TN, 
154850, I-40 WEST AND MILLINGTON EXIT, MEMPHIS, TN, 
154851, I-40 WEST AND RIVERSIDE DR, MEMPHIS, TN, 
154852, I-40 WEST AND SAM COOPER BLVD, MEMPHIS, TN, 
154853, I-40 WEST AND WATKINS, MEMPHIS, TN, 
154854, I-40 WEST BOUND AND APPLING, MEMPHIS, TN, 
154855, I-40 WEST BOUND AND JACKSON AVE, MEMPHIS, TN, 
154856, I-40 WEST BOUND AND WEST OF WATKINS, MEMPHIS, TN, 
154857, I-40 WEST OF WATKINS, MEMPHIS, TN, 
154858, I-40 WEST, MEMPHIS, TN, 
154859, I-40 WESTBOUND (BETWEEN SUMMER AND COVINGTON PIKE), MEMPHIS, TN, 
154860, I-40 WESTBOUND AND EAST OF N WATKINS, MEMPHIS, TN, 
154861, I-40 WESTBOUND AND I-240, MEMPHIS, TN, 
154862, I-40 WESTBOUND EAST OF APPLING RD, MEMPHIS, TN, 
154863, I-40 WESTBOUND EAST OF N WATKINS, MEMPHIS, TN, 
154864, I-40 WESTBOUND EAST OF WATKINS, MEMPHIS, TN, 
154865, I-40 WESTBOUND MILE 8 AND 9, MEMPHIS, TN, 
154866, I-40 WESTBOUND RAMP AND SYCAMORE VIEW RD, MEMPHIS, TN, 
154867, I-40 WESTBOUND WEST OF WHITTEN RD, MEMPHIS, TN, 
154868, I-40, MCLEAN, MEMPHIS, TN, 
154869, I-40, SYCAMORE VIEW RD, MEMPHIS, TN, 
154870, I-40/WHITTEN, MEMPHIS, TN, 
154871, I-40E AND 240W RD, MEMPHIS, TN, 
154872, I-40E AND B AND HOLLYWOOD, MEMPHIS, TN, 
154873, I-40E AND CHELSEA AND SMITH EXIT, MEMPHIS, TN, 
154874, I-40E AND CHELSEA, MEMPHIS, TN, 
154875, I-40E AND DANNYTHOMAS AVE, MEMPHIS, TN, 
154876, I-40E AND GERMANTOWN PKWY, MEMPHIS, TN, 
154877, I-40E AND GERMANTOWN, MEMPHIS, TN, 
154878, I-40E AND HOLLYWOOD EXIT, MEMPHIS, TN, 
154879, I-40E AND JACKSON AVE, MEMPHIS, TN, 
154880, I-40E AND JACKSON, MEMPHIS, TN, 
154881, I-40E AND RIVERSIDE DR, MEMPHIS, TN, 
154882, I-40E AND SMITH RD, MEMPHIS, TN, 
154883, I-40E AND SUMMER AVE, MEMPHIS, TN, 
154884, I-40E AND SYCAMORE VIEW, MEMPHIS, TN, 
154885, I-40E AND W OF COVINGTON PIKE, MEMPHIS, TN, 
154886, I-40E EXIT RAMP AND COVINGTON PIKE, MEMPHIS, TN, 
154887, I-40MM28 EASTBOUND, MEMPHIS, TN, 
154888, I-40RAMP AND COVINGTON PIKE, MEMPHIS, TN, 
154889, I-40S AND MADISON, MEMPHIS, TN, 
154890, I-40W AND APPLING, MEMPHIS, TN, 
154891, I-40W AND AUSTIN PEAY ST, MEMPHIS, TN, 
154892, I-40W AND AUSTIN PEAY, MEMPHIS, TN, 
154893, I-40W AND CHELSEA AVE, MEMPHIS, TN, 
154894, I-40W AND CHELSEA EXIT, MEMPHIS, TN, 
154895, I-40W AND DANNY THOMAS, MEMPHIS, TN, 
154896, I-40W AND SYCAMORE VIEW RD, MEMPHIS, TN, 
154897, I-40W AND SYCAMORE VIEW, MEMPHIS, TN, 
154898, I-40W EXIT RAMP AND DANNY THOMAS NORTHBOUND, MEMPHIS, TN, 
154899, I-40W WEST OF APPLING RD, MEMPHIS, TN, 
154900, I-40WB AND WATKINS, MEMPHIS, TN, 
154901, I-55 (N AND B) AND I-240 RD, MEMPHIS, TN, 
154902, I-55 (N AND B) AND MALLORY EXIT, MEMPHIS, TN, 
154903, I-55 & WELCOME CENTER, MEMPHIS, TN, 
154904, I-55 AND 240 RD, MEMPHIS, TN, 
154905, I-55 AND 240E, MEMPHIS, TN, 
154906, I-55 AND 3RD, MEMPHIS, TN, 
154907, I-55 AND AND BROOKS RD EXIT, MEMPHIS, TN, 
154908, I-55 AND AND HORNLAKE, MEMPHIS, TN, 
154909, I-55 AND BROOK EXIT, MEMPHIS, TN, 
154910, I-55 AND BROOKS EXIT, MEMPHIS, TN, 
154911, I-55 AND BROOKS RD EXIT, MEMPHIS, TN, 
154912, I-55 AND CAPLEVILLE, MEMPHIS, TN, 
154913, I-55 AND CRUMP BLVD, MEMPHIS, TN, 
154914, I-55 AND E H CRUMP BLVD, MEMPHIS, TN, 
154915, I-55 AND EH CRUMP, MEMPHIS, TN, 
154916, I-55 AND FLORIDA, MEMPHIS, TN, 
154917, I-55 AND FRONT, MEMPHIS, TN, 
154918, I-55 AND GOODHAVEN RD, MEMPHIS, TN, 
154919, I-55 AND I-240 N AND B I-55 WEST OF, MEMPHIS, TN, 
154920, I-55 AND MADISON AVE, MEMPHIS, TN, 
154921, I-55 AND MALLORY DR, MEMPHIS, TN, 
154922, I-55 AND NORRIS RD, MEMPHIS, TN, 
154923, I-55 AND PARKWAY, MEMPHIS, TN, 
154924, I-55 AND PERSON AVE, MEMPHIS, TN, 
154925, I-55 AND RIVERSIDE DR, MEMPHIS, TN, 
154926, I-55 AND S PKWY E, MEMPHIS, TN, 
154927, I-55 AND S PKWY WEST, MEMPHIS, TN, 
154928, I-55 AND SHELBY DRIVE, MEMPHIS, TN, 
154929, I-55 AND SHELBY DRVEI, MEMPHIS, TN, 
154930, I-55 AND SOPARKWAY N AND B, MEMPHIS, TN, 
154931, I-55 AND SOUTH BOUND-S THIRD, MEMPHIS, TN, 
154932, I-55 AND SOUTH OF BROOKS RD, MEMPHIS, TN, 
154933, I-55 AND SOUTH OF BROOKS, MEMPHIS, TN, 
154934, I-55 AND SOUTH PKWY WEST, MEMPHIS, TN, 
154935, I-55 AND SOUTH PKWY, MEMPHIS, TN, 
154936, I-55 AND SOUTH THIRD ST, MEMPHIS, TN, 
154937, I-55 AND VICKSBURG ENTRANCE RAMP, MEMPHIS, TN, 
154938, I-55 AND W EH CRUMP BLVD, MEMPHIS, TN, 
154939, I-55 AND W MCLEMORE, MEMPHIS, TN, 
154940, I-55 AND WEST MALLORY, MEMPHIS, TN, 
154941, I-55 AND WILSON, MEMPHIS, TN, 
154942, I-55 AND WINCHESTER RD, MEMPHIS, TN, 
154943, I-55 AND WISCONSIN AVE, MEMPHIS, TN, 
154944, I-55 EAST OF THIRD ST, MEMPHIS, TN, 
154945, I-55 HIGHWAY, MEMPHIS, TN, 
154946, I-55 HWY AND S THIRD ST, MEMPHIS, TN, 
154947, I-55 INTERSTATE, MEMPHIS, TN, 
154948, I-55 N AND B AND 8 MM, MEMPHIS, TN, 
154949, I-55 N AND B AND E BROOKS, MEMPHIS, TN, 
154950, I-55 N AND B AND MCLEMORE, MEMPHIS, TN, 
154951, I-55 N AND B AND RAINES, MEMPHIS, TN, 
154952, I-55 N AND B AND W MALLORY, MEMPHIS, TN, 
154953, I-55 N AND B NORTH OF MALLORY, MEMPHIS, TN, 
154954, I-55 N AND BROOKS RD, MEMPHIS, TN, 
154955, I-55 N AND E SHELBY DR, MEMPHIS, TN, 
154956, I-55 N AND S THIRD ST, MEMPHIS, TN, 
154957, I-55 NB AND PERSON AVE, MEMPHIS, TN, 
154958, I-55 NB AND STATELINE RD, MEMPHIS, TN, 
154959, I-55 NORTH AND I-240 EAST, MEMPHIS, TN, 
154960, I-55 NORTH AND I-240, MEMPHIS, TN, 
154961, I-55 NORTH AND NORRIS, MEMPHIS, TN, 
154962, I-55 NORTH AND SHELBY DR, MEMPHIS, TN, 
154963, I-55 NORTH ON MALLORY, MEMPHIS, TN, 
154964, I-55 NORTHBOUND AND I-240, MEMPHIS, TN, 
154965, I-55 NORTHBOUND AND RAINES, MEMPHIS, TN, 
154966, I-55 NORTHBOUND AND S PKWY, MEMPHIS, TN, 
154967, I-55 NORTY AND SHELBY DR, MEMPHIS, TN, 
154968, I-55 S AND B AND MALLORY, MEMPHIS, TN, 
154969, I-55 S AND B AND S THIRD, MEMPHIS, TN, 
154970, I-55 S AND B AND SHELBY DR, MEMPHIS, TN, 
154971, I-55 S AND B AND W MALLORY AVE, MEMPHIS, TN, 
154972, I-55 S AND B NORTH OF ELVIS PRESLEY, MEMPHIS, TN, 
154973, I-55 S AND B RAINES OVERPASS, MEMPHIS, TN, 
154974, I-55 S AND B SOUTH OF BROOKS, MEMPHIS, TN, 
154975, I-55 S AND MALLORY, MEMPHIS, TN, 
154976, I-55 S AND S PKWY, MEMPHIS, TN, 
154977, I-55 S AND S THIRD ST, MEMPHIS, TN, 
154978, I-55 S AND SHELBY DR, MEMPHIS, TN, 
154979, I-55 S THIRD, MEMPHIS, TN, 
154980, I-55 SOUTH AND E BROOKS RD, MEMPHIS, TN, 
154981, I-55 SOUTH AND RAVINES RD, MEMPHIS, TN, 
154982, I-55 SOUTH AND STATELINE RD, MEMPHIS, TN, 
154983, I-55 SOUTHBOUND AND BROOKS, MEMPHIS, TN, 
154984, I-55 SOUTHBOUND SOUTH OF SHELBY DR, MEMPHIS, TN, 
154985, I-55 SOUTHBOUND, MEMPHIS, TN, 
154986, I-55/MILLBRANCH RD., MEMPHIS, TN, 
154987, I-551666 E RAINES RD, MEMPHIS, TN, 
154988, I-55N AND BROOKS, MEMPHIS, TN, 
154989, I-55N AND ELVIS PRSESLEY, MEMPHIS, TN, 
154990, I-55N AND OLD ARKANSAS BRIDGE, MEMPHIS, TN, 
154991, I-55N AND WINCHESTER, MEMPHIS, TN, 
154992, I-55S AND B NORTH OF ELVIS PRELSEY, MEMPHIS, TN, 
154993, I-55S AND RAINES RD, MEMPHIS, TN, 
154994, I-55SOUTH AND RAINES, MEMPHIS, TN, 
154995, I-55W AND THIRD ST., MEMPHIS, TN, 
154996, I, MEMPHIS, TN, 
154997, I/240 AND 385, MEMPHIS, TN, 
154998, I/55 AND S THIRD, MEMPHIS, TN, 
154999, I149 UNION, MEMPHIS, TN, 
155000, I1574 E SHELBY, MEMPHIS, TN, 
