5001, CANE RUN RD / KRAMERS LN, LOUISVILLE, KY, 40216
5833, 3300 E INDIAN TRL, LOUISVILLE, KY, 40213
5834, 3300 WARWICKSHIRE CT, LOUISVILLE, KY, 40213
5835, 3500 CHATEAU LN, LOUISVILLE, KY, 40219
5836, 3500 COLMAR DR, LOUISVILLE, KY, 40211
5837, 3500 DEIBEL WAY, LOUISVILLE, KY, 40220
5838, 3600 NELLIE BLY DR, LOUISVILLE, KY, 40213
5839, 3600 PENWAY AVE, LOUISVILLE, KY, 40211
5840, 3700 GARLAND AVE, LOUISVILLE, KY, 40211
5841, 3700 STRATTON AVE, LOUISVILLE, KY, 40211
5842, 3900 DELLAFAY DR, LOUISVILLE, KY, 40219
5843, 400 BERMUDA LN, LOUISVILLE, KY, 40213
5844, 400 LAWTON CT, LOUISVILLE, KY, 40217
5845, 400 S 19TH ST, LOUISVILLE, KY, 40203
5846, 4000 MAPLETON AVE, LOUISVILLE, KY, 40215
5847, 4000 SUNFLOWER AVE, LOUISVILLE, KY, 40216
5848, 4100 SUMMERTIME PKY, LOUISVILLE, KY, 40272
5849, 4100 WOODED WAY, LOUISVILLE, KY, 40219
5850, 4200 NAOMI DR, LOUISVILLE, KY, 40219
5851, 4200 ST CHARLES LN, LOUISVILLE, KY, 40218
5852, 4200 SUNSET DR, LOUISVILLE, KY, 40216
5853, 4300 WILLOWVIEW BLVD, LOUISVILLE, KY, 40299
5854, 4400 GATEWOOD AVE, LOUISVILLE, KY, 40215
5855, 4500 KENNEDY PLACE CIR, LOUISVILLE, KY, 40272
5856, 4600 BITTERSWEET RD, LOUISVILLE, KY, 40218
5857, 4600 GREENWOOD RD, LOUISVILLE, KY, 40258
5858, 4600 HERMAN ST, LOUISVILLE, KY, 40212
5859, 4800 CLIFF AVE, LOUISVILLE, KY, 40215
5860, 4900 RED FERN RD, LOUISVILLE, KY, 40218
5861, 4900 SOUTHERN PKY, LOUISVILLE, KY, 40214
5862, 5000 CANE RUN RD, LOUISVILLE, KY, 40216
5863, 5000 E MANSLICK RD, LOUISVILLE, KY, 40219
5864, 5100 E INDIAN TRL, LOUISVILLE, KY, 40218
5865, 5200 TERRACE GREEN CIR, LOUISVILLE, KY, 40218
5866, 5300 PYRUS LN, LOUISVILLE, KY, 40258
5867, 5400 BANNON CROSSINGS DR, LOUISVILLE, KY, 40218
5868, 5400 HASBROOK DR, LOUISVILLE, KY, 40229
5869, 5400 LOGWOOD AVE, LOUISVILLE, KY, 40272
5870, 5500 ROBINWOOD RD, LOUISVILLE, KY, 40218
5871, 5700 MORRISON AVE, LOUISVILLE, KY, 40214
5872, 5700 MOUNT WASHINGTON RD, LOUISVILLE, KY, 40229
5873, 5800 MOUNT EVEREST DR, LOUISVILLE, KY, 40216
5874, 5900 BAY HARBOR DR, LOUISVILLE, KY, 40228
5875, 600 MALCOLM AVE, LOUISVILLE, KY, 40223
5876, 600 MARSHALL ST, LOUISVILLE, KY, 40202
5877, 6000 MOORHAVEN DR, LOUISVILLE, KY, 40219
5878, 6100 OVERHILL DR, LOUISVILLE, KY, 40229
5879, 6200 COOPER CHAPEL RD, LOUISVILLE, KY, 40229
5880, 6200 SERENITY CT, LOUISVILLE, KY, 40219
5881, 6400 MCCANDLESS CIR, LOUISVILLE, KY, 40272
5882, 6500 HUFF LN, LOUISVILLE, KY, 40216
5883, 6500 SYLVANIA NO 6 RD, LOUISVILLE, KY, 40258
5884, 6800 BUSHNELL ST, LOUISVILLE, KY, 40219
5885, 700 KIRSCH WAY, LOUISVILLE, KY, 40118
5886, 700 PALATKA RD, LOUISVILLE, KY, 40214
5887, 700 PARKWAY DR, LOUISVILLE, KY, 40217
5888, 700 S BROOK ST, LOUISVILLE, KY, 40203
5889, 700 S FLOYD ST, LOUISVILLE, KY, 40203
5890, 700 ZIEGLER ST, LOUISVILLE, KY, 40217
5891, 7000 BEA WAY, LOUISVILLE, KY, 40219
5892, 7100 KENTUCKY AVE, LOUISVILLE, KY, 40258
5893, 7100 MEIHAUS WAY, LOUISVILLE, KY, 40272
5894, 7200 BETSY ROSS DR, LOUISVILLE, KY, 40272
5895, 7200 URANUS DR, LOUISVILLE, KY, 40258
5896, 7300 TEMPLETON DR, LOUISVILLE, KY, 40214
5897, 7400 SIX MILE LN, LOUISVILLE, KY, 40220
5898, 7500 JAMAICA DR, LOUISVILLE, KY, 40214
5899, 7500 RIVER RD, LOUISVILLE, KY, 40059
5900, 7500 ST ANDREWS CHURCH RD, LOUISVILLE, KY, 40214
5901, 7800 LARIAT RD, LOUISVILLE, KY, 40219
5902, 800 LOGAN ST, LOUISVILLE, KY, 40204
5903, 800 RIVER DELL CT, LOUISVILLE, KY, 40206
5904, 800 RIVER DELL DR, LOUISVILLE, KY, 40206
5905, 800 S HANCOCK ST, LOUISVILLE, KY, 40203
5906, 800 VANNAH AVE, LOUISVILLE, KY, 40223
5907, 8000 BLUE LICK RD, LOUISVILLE, KY, 40219
5908, 8300 LATANIA DR, LOUISVILLE, KY, 40258
5909, 8400 DENISE DR, LOUISVILLE, KY, 40219
5910, 8400 JAN WAY, LOUISVILLE, KY, 40219
5911, 8500 BLUE LICK RD, LOUISVILLE, KY, 40219
5912, 8500 SHIRLEY LN, LOUISVILLE, KY, 40258
5913, 8600 RUNNING FOX CIR, LOUISVILLE, KY, 40291
5914, 900 EDWARD ST, LOUISVILLE, KY, 40204
5915, 9400 COOLRIDGE DR, LOUISVILLE, KY, 40229
5916, 9700 SATURN DR, LOUISVILLE, KY, 40229
5917, 9800 WHIPPS MILL RD, LOUISVILLE, KY, 40223
5918, 9900 3RD STREET RD, LOUISVILLE, KY, 40272
5919, BARDSTOWN RD / TAYLORSVILLE RD, LOUISVILLE, KY, 40205
5920, BARRET AVE / WINTER AVE, LOUISVILLE, KY, 40204
5921, BLAIRWOOD RD / S HURSTBOURNE PKY, LOUISVILLE, KY, NA
5922, BLUEGRASS AVE / CHURCHMAN AVE, LOUISVILLE, KY, 40215
5923, BROWNSBORO RD / HERR LN, LOUISVILLE, KY, 40222
5924, BROWNSBORO RD / N EWING AVE, LOUISVILLE, KY, 40206
5925, CANDLELIGHT LN / NEW CUT RD, LOUISVILLE, KY, 40214
5926, CANE RUN RD / MILLERS LN, LOUISVILLE, KY, 40211
5927, DES PRES PARK, LOUISVILLE, KY, 40220
5928, DIXIE HWY / W PAGES LN, LOUISVILLE, KY, 40258
5929, FERN VALLEY RD / I65, LOUISVILLE, KY, 40213
5930, GOLDEN TURTLE CIR / GOLDSMITH LN, LOUISVILLE, KY, 40218
5931, LORETTA ST / PRESTON HWY, LOUISVILLE, KY, 40213
5932, LOUIS COLEMAN JR DR / VIRGINIA AVE, LOUISVILLE, KY, 40211
5933, MILES LN / PRESTON HWY, LOUISVILLE, KY, 40219
5934, N 19TH ST / LYTLE ST, LOUISVILLE, KY, 40203
5935, PRESTON HWY / VIM DR, LOUISVILLE, KY, 40213
5936, PRESTON HWY / VINEWOOD RD, LOUISVILLE, KY, 40219
5937, S 17TH ST / PLYMOUTH CT, LOUISVILLE, KY, 40203
5938, S 20TH ST / W MADISON ST, LOUISVILLE, KY, 40203
5939, S 22ND ST / GREENWOOD AVE, LOUISVILLE, KY, 40210
5940, S 27TH ST / ELLIOTT AVE, LOUISVILLE, KY, 40211
5941, S 28TH ST / WOODLAND AVE, LOUISVILLE, KY, 40211
5942, S 2ND ST / W FLORENCE AVE, LOUISVILLE, KY, 40214
5943, S 35TH ST / DEL PARK TER, LOUISVILLE, KY, 40211
5944, S 39TH ST / RIVER PARK DR, LOUISVILLE, KY, 40211
5945, S 4TH ST / W BLOOM ST, LOUISVILLE, KY, 40208
5946, S 6TH ST / W ST CATHERINE ST, LOUISVILLE, KY, 40203
5947, S 7TH ST / W ORMSBY AVE, LOUISVILLE, KY, 40203
5948, S CLAY ST / E OAK ST, LOUISVILLE, KY, 40203
5949, S CLAY ST / E ORMSBY AVE, LOUISVILLE, KY, 40203
5950, S FLOYD ST / E JEFFERSON ST, LOUISVILLE, KY, 40202
5951, STONESTREET RD / I265, LOUISVILLE, KY, 40272
5952, W BROADWAY, LOUISVILLE, KY, 40203
5953, 1 DAYTONA DR, LOUISVILLE, KY, 40214
5954, 1 FOSTER CT, LOUISVILLE, KY, 40214
5955, 1 W WILSHIRE BLVD, LOUISVILLE, KY, 40214
5956, 100 CASA BELLA CT, LOUISVILLE, KY, 40220
5957, 100 IROQUOIS GARDENS DR, LOUISVILLE, KY, 40214
5958, 100 NOLIN PL, LOUISVILLE, KY, 40214
5959, 100 W CHESTNUT ST, LOUISVILLE, KY, 40202
5960, 1000 ARDMORE DR, LOUISVILLE, KY, 40217
5961, 1000 GLENRIDGE DR, LOUISVILLE, KY, 40242
5962, 1000 KAISER CT, LOUISVILLE, KY, 40211
5963, 1000 PALATKA RD, LOUISVILLE, KY, 40214
5964, 1000 PAYNE ST, LOUISVILLE, KY, 40204
5965, 1000 TREVILIAN WAY, LOUISVILLE, KY, 40213
5966, 1000 WAGNER ST, LOUISVILLE, KY, 40217
5967, 1000 WILLOW SPRINGS DR, LOUISVILLE, KY, 40242
5968, 1000 WINKLER AVE, LOUISVILLE, KY, 40208
5969, 10100 MCNEELY LAKE DR, LOUISVILLE, KY, 40229
5970, 10800 CHARLENE DR, LOUISVILLE, KY, 40118
5971, 1100 S 42ND ST, LOUISVILLE, KY, 40211
5972, 11000 SAYBROOK CT, LOUISVILLE, KY, 40229
5973, 11200 PYRAMID RD, LOUISVILLE, KY, 40229
5974, 11600 MAIN ST, LOUISVILLE, KY, 40243
5975, 11700 TAZWELL CT, LOUISVILLE, KY, 40245
5976, 1200 ORMSBY CT, LOUISVILLE, KY, 40203
5977, 12200 WESTPORT RD, LOUISVILLE, KY, 40245
5978, 12TH STREET CONNECTOR / W CHESTNUT ST, LOUISVILLE, KY, 40203
5979, 1300 KREMER AVE, LOUISVILLE, KY, 40213
5980, 1300 MORGAN AVE, LOUISVILLE, KY, 40213
5981, 1300 W MARKET ST, LOUISVILLE, KY, 40203
5982, 1400 GLENGARRY DR, LOUISVILLE, KY, 40118
5983, 1400 INDIANA AVE, LOUISVILLE, KY, 40213
5984, 1400 SOUTHGATE AVE, LOUISVILLE, KY, 40215
5985, 1400 W SOUTHERN HEIGHTS AVE, LOUISVILLE, KY, 40215
5986, 14000 BEESTON BLVD, LOUISVILLE, KY, 40272
5987, 1500 RUFER AVE, LOUISVILLE, KY, 40204
5988, 1500 SCHUFF LN, LOUISVILLE, KY, 40205
5989, 1500 TURQUOISE DR, LOUISVILLE, KY, 40214
5990, 1600 SPRING DR, LOUISVILLE, KY, 40205
5991, 1800 MAGAZINE ST, LOUISVILLE, KY, 40203
5992, 1900 IVY RIDGE LN, LOUISVILLE, KY, 40272
5993, 1900 MAPLEWOOD PL, LOUISVILLE, KY, 40205
5994, 1900 OLIVE ST, LOUISVILLE, KY, 40210
5995, 200 ALGER AVE, LOUISVILLE, KY, 40214
5996, 200 E LIBERTY ST, LOUISVILLE, KY, 40202
5997, 200 FLAMINGO DR, LOUISVILLE, KY, 40218
5998, 200 N 20TH ST, LOUISVILLE, KY, 40203
5999, 200 SAUNDERS AVE, LOUISVILLE, KY, 40206
6000, 200 W WOODLAWN AVE, LOUISVILLE, KY, 40214
