21001, 7400 FIELDSTONE WAY, LOUISVILLE, KY, 40291
21771, N 28TH ST / TYLER AVE, LOUISVILLE, KY, 40212
21772, N 32ND ST / DUNCAN ST, LOUISVILLE, KY, 40212
21773, N 32ND ST / ROWAN ST, LOUISVILLE, KY, 40212
21774, N 34TH ST / ALFORD AVE, LOUISVILLE, KY, 40212
21775, N 34TH ST / JEWELL AVE, LOUISVILLE, KY, 40212
21776, N 35TH ST / ALFORD AVE, LOUISVILLE, KY, 40212
21777, N 37TH ST / W MAIN ST, LOUISVILLE, KY, 40212
21778, N 38TH ST / GARFIELD AVE, LOUISVILLE, KY, 40212
21779, N 39TH ST / GARFIELD AVE, LOUISVILLE, KY, 40212
21780, N 39TH ST / NORTHWESTERN PKY, LOUISVILLE, KY, 40212
21781, N 43RD ST / PARKER AVE, LOUISVILLE, KY, 40212
21782, N 7TH ST / W RIVER RD, LOUISVILLE, KY, 40202
21783, N BECKLEY STATION RD / LAKE FOREST DR, LOUISVILLE, KY, 40245
21784, N BIRCHWOOD AVE / CLEVELAND BLVD, LOUISVILLE, KY, 40206
21785, N CHARLTON ST / POPE ST, LOUISVILLE, KY, 40206
21786, N HUBBARDS LN / WESTPORT RD, LOUISVILLE, KY, 40207
21787, N HURSTBOURNE PKY / PORTER PL, LOUISVILLE, KY, 40223
21788, N JOHNSON ST, LOUISVILLE, KY, 40206
21789, NACHAND LN / RIDGEHURST PL, LOUISVILLE, KY, 40218
21790, NEW CUT RD / 3RD STREET RD, LOUISVILLE, KY, 40214
21791, NEW LA GRANGE RD / WILD OAK CT, LOUISVILLE, KY, 40222
21792, NOAH DR / TERRY RD, LOUISVILLE, KY, 40258
21793, NORRIS PL / STEVENS AVE, LOUISVILLE, KY, 40205
21794, OBRECHT WAY / SOUTHACRES DR, LOUISVILLE, KY, 40219
21795, OLD HENRY RD / I265, LOUISVILLE, KY, 40223
21796, OLD NORTH CHURCH RD / SAM DR, LOUISVILLE, KY, 40214
21797, OLD OUTER LOOP / PINECROFT DR, LOUISVILLE, KY, 40219
21798, OLD PARK BLVD / E WOODLAWN AVE, LOUISVILLE, KY, 40209
21799, OLD PRESTON HWY / WALDEN DR, LOUISVILLE, KY, 40229
21800, OLD SHELBYVILLE RD / WOODED FALLS RD, LOUISVILLE, KY, 40243
21801, OLD STONESTREET RD / STONESTREET RD, LOUISVILLE, KY, 40272
21802, OLEANDA AVE / WIZARD AVE, LOUISVILLE, KY, 40215
21803, ORCHARD WAY / ST DENNIS AVE, LOUISVILLE, KY, 40216
21804, ORMSBY STATION RD / UPS DR, LOUISVILLE, KY, 40223
21805, OXFORD CT / OXFORD PL, LOUISVILLE, KY, 40291
21806, PAGODA DR / COOPER CHAPEL RD, LOUISVILLE, KY, 40229
21807, PARALEE DR / STANDING OAK DR, LOUISVILLE, KY, 40258
21808, PARK - ELLIOTT PARK, LOUISVILLE, KY, 40211
21809, PARK - WILLIAM HARRISON PARK, LOUISVILLE, KY, 40215
21810, PATRICK HENRY CT / PATRICK HENRY RD, LOUISVILLE, KY, 40214
21811, PAUL AVE / SCHNEITER AVE, LOUISVILLE, KY, 40215
21812, PAWTUXET CT / SOUTHERN AVE, LOUISVILLE, KY, 40211
21813, PERENNIAL DR / PRESTON HWY, LOUISVILLE, KY, NA
21814, PETERSBURG RD / PRODUCE RD, LOUISVILLE, KY, 40218
21815, PETUNIA AVE / PINEWOOD RD, LOUISVILLE, KY, 40218
21816, PHILLIPS LN / SENECA AVE, LOUISVILLE, KY, 40209
21817, PINECROFT DR / WILLIAM G PENNY LN, LOUISVILLE, KY, 40219
21818, PLANTSIDE DR / WATTERSON TRL, LOUISVILLE, KY, NA
21819, PLAUDIT WAY / REIGH COUNT DR, LOUISVILLE, KY, 40272
21820, POLARIS DR / TITAN DR, LOUISVILLE, KY, 40229
21821, POPLAR LEVEL RD / ROEDERER DR, LOUISVILLE, KY, 40219
21822, POWELL AVE / SEELBACH AVE, LOUISVILLE, KY, 40215
21823, PRESTON HWY / KRUPP PARK DR, LOUISVILLE, KY, 40213
21824, PRESTON HWY / SAINT RITA DR, LOUISVILLE, KY, NA
21825, PRESTON HWY N / I65N, LOUISVILLE, KY, 40213
21826, PRESTON HWY S / I265N, LOUISVILLE, KY, 40229
21827, PROSPECT ST / ROOSEVELT AVE, LOUISVILLE, KY, 40242
21828, QUINN DR / ROCKFORD LN, LOUISVILLE, KY, 40216
21829, RADIANCE RD / ROSEDALE BLVD, LOUISVILLE, KY, 40220
21830, RANGELAND RD / POPLAR LEVEL RD, LOUISVILLE, KY, 40219
21831, RAYDALE DR / SHEPHERDSVILLE RD, LOUISVILLE, KY, 40219
21832, RED LEAF RD / RURAL WAY, LOUISVILLE, KY, 40218
21833, REDLEAF DR / WESTPORT RD, LOUISVILLE, KY, 40242
21834, REGENT WAY / SHEPHERDSVILLE RD, LOUISVILLE, KY, 40228
21835, RENAISSANCE VALLEY WAY / VALLEY FARMS BLVD, LOUISVILLE, KY, 40272
21836, RIATA CT / RIATA DR, LOUISVILLE, KY, 40218
21837, RIDGECREST RD / ROSETTE BLVD, LOUISVILLE, KY, 40218
21838, RIPPLE LN / RURAL WAY, LOUISVILLE, KY, 40218
21839, RIVER RD / AVISH LN, LOUISVILLE, KY, 40059
21840, ROBERTS AVE / STRAWBERRY LN, LOUISVILLE, KY, 40214
21841, ROBINWOOD RD / RURAL WAY, LOUISVILLE, KY, 40218
21842, S 12TH ST / CONGRESS ST, LOUISVILLE, KY, 40203
21843, S 12TH ST / GARLAND AVE, LOUISVILLE, KY, 40210
21844, S 12TH ST / W ORMSBY AVE, LOUISVILLE, KY, 40210
21845, S 12TH ST / WILSON AVE, LOUISVILLE, KY, 40210
21846, S 13TH ST / W BURNETT AVE, LOUISVILLE, KY, 40210
21847, S 13TH ST / W ORMSBY AVE, LOUISVILLE, KY, 40210
21848, S 16TH ST / PIRTLE ST, LOUISVILLE, KY, 40203
21849, S 18TH ST / PIRTLE ST, LOUISVILLE, KY, 40203
21850, S 1ST ST / COLONIAL OAKS CT, LOUISVILLE, KY, 40214
21851, S 1ST ST / E WAMPUM AVE, LOUISVILLE, KY, 40214
21852, S 1ST ST / W JEFFERSON ST, LOUISVILLE, KY, 40202
21853, S 1ST ST / W ST CATHERINE ST, LOUISVILLE, KY, 40203
21854, S 20TH ST / ESQUIRE ALY, LOUISVILLE, KY, 40203
21855, S 20TH ST / WOODLAND AVE, LOUISVILLE, KY, 40210
21856, S 26TH ST / WILSON AVE, LOUISVILLE, KY, 40210
21857, S 26TH ST//DATE STREET, LOUISVILLE, KY, NA
21858, S 28TH ST / OLIVE ST, LOUISVILLE, KY, 40210
21859, S 30TH ST / WILSON AVE, LOUISVILLE, KY, 40211
21860, S 30TH ST / YOUNG AVE, LOUISVILLE, KY, 40211
21861, S 34TH ST / DR WILLIAM G WEATHERS DR, LOUISVILLE, KY, 40211
21862, S 34TH ST / DUMESNIL ST, LOUISVILLE, KY, 40211
21863, S 34TH ST / HERMAN ST, LOUISVILLE, KY, 40212
21864, S 34TH ST / YOUNG AVE, LOUISVILLE, KY, 40211
21865, S 37TH ST / DOERHOEFER AVE, LOUISVILLE, KY, 40211
21866, S 3RD ST / ARBOR AVE, LOUISVILLE, KY, 40214
21867, S 3RD ST / POST OFFICE ALY, LOUISVILLE, KY, 40202
21868, S 41ST ST / VIRGINIA AVE, LOUISVILLE, KY, 40211
21869, S 42ND ST / HALE AVE, LOUISVILLE, KY, 40211
21870, S 45TH ST / HALE AVE, LOUISVILLE, KY, 40211
21871, S 4TH ST / FOUNTAIN CT, LOUISVILLE, KY, 40208
21872, S 5TH ST / DRESDEN AVE, LOUISVILLE, KY, 40214
21873, S 5TH ST / W BLOOM ST, LOUISVILLE, KY, 40208
21874, S 5TH ST / W TENNY AVE, LOUISVILLE, KY, 40214
21875, S 5TH ST / ZANE ST, LOUISVILLE, KY, 40203
21876, S 7TH ST / COMMERCE RD, LOUISVILLE, KY, 40208
21877, S 7TH ST / FLORAL TER, LOUISVILLE, KY, 40208
21878, S 7TH ST / PARK AVE, LOUISVILLE, KY, 40208
21879, S 7TH ST / PEARSON CT, LOUISVILLE, KY, 40203
21880, S 7TH ST / S 11TH ST, LOUISVILLE, KY, 40208
21881, S 7TH ST / W BURNETT AVE, LOUISVILLE, KY, 40208
21882, S 7TH ST / W LEE ST, LOUISVILLE, KY, 40208
21883, S 7TH ST / W MAIN ST, LOUISVILLE, KY, 40202
21884, S BECKLEY STATION RD / SHELBYVILLE RD, LOUISVILLE, KY, 40245
21885, S CAMPBELL ST / E MADISON ST, LOUISVILLE, KY, 40204
21886, S CLAY ST / GWENDOLYN ST, LOUISVILLE, KY, 40203
21887, S CLAY ST, LOUISVILLE, KY, 40202
21888, S CRUMS LN / DOVER CT, LOUISVILLE, KY, 40216
21889, S CRUMS LN / GREENWELL LN, LOUISVILLE, KY, 40216
21890, S FLOYD ST / CENTRAL AVE, LOUISVILLE, KY, 40209
21891, S FLOYD ST / E MAIN ST, LOUISVILLE, KY, 40202
21892, S HURSTBOURNE PKY / I 64 RAMP, LOUISVILLE, KY, NA
21893, S JACKSON ST / ROSELANE ST, LOUISVILLE, KY, 40203
21894, S JACKSON ST / STRATER ALY, LOUISVILLE, KY, 40203
21895, S JANE ST / PAYNE ST, LOUISVILLE, KY, 40206
21896, S PRESTON ST / E MARKET ST, LOUISVILLE, KY, 40202
21897, S PRESTON ST, LOUISVILLE, KY, NA
21898, SCHOOL WAY / SOUTHERN PKY, LOUISVILLE, KY, 40214
21899, SCRIM AVE / WEST AVE, LOUISVILLE, KY, 40272
21900, SEAFORTH WAY / TERRY RD, LOUISVILLE, KY, 40258
21901, SEATONVILLE RD / SPRINGHILL FARM RD, LOUISVILLE, KY, 40299
21902, SHELBYVILLE RD / N WHITTINGTON PKY, LOUISVILLE, KY, 40222
21903, SHELBYVILLE RD / SHERBURN LN, LOUISVILLE, KY, 40207
21904, SHELBYVILLE RD / SYCAMORE DR, LOUISVILLE, KY, 40223
21905, SHELBYVILLE RD / WILLOW STONE WAY, LOUISVILLE, KY, 40243
21906, SHELBYVILLE RD E / I265N, LOUISVILLE, KY, 40245
21907, SHELLEY AVE / STRATHMOOR BLVD, LOUISVILLE, KY, 40205
21908, SHEPHERDSVILLE RD / OUTER LOOP, LOUISVILLE, KY, 40219
21909, SIX MILE LN / SUMMERFIELD DR, LOUISVILLE, KY, 40220
21910, SKY BLUE AVE / VASSAR AVE, LOUISVILLE, KY, 40258
21911, SOUTH PARK RD / WALTER AVE, LOUISVILLE, KY, 40219
21912, SOUTHERN FARM BLVD / WELMAN DR, LOUISVILLE, KY, 40216
21913, SOUTHERN PKY / I264W, LOUISVILLE, KY, 40214
21914, SOUTHERN PKY / W TENNY AVE, LOUISVILLE, KY, 40214
21915, SOUTHSIDE DR / STEEDLY DR, LOUISVILLE, KY, 40214
21916, SR GAMES - TOM SAWYER PARK, LOUISVILLE, KY, 40223
21917, SUMMERFIELD DR / WEATHER WAY, LOUISVILLE, KY, 40220
21918, SWAN ST / E ST CATHERINE ST, LOUISVILLE, KY, 40204
21919, TAYLOR BLVD / ARCADE AVE, LOUISVILLE, KY, 40215
21920, TAYLOR BLVD / BEECHER ST, LOUISVILLE, KY, 40215
21921, TAYLOR BLVD / LONGFIELD AVE, LOUISVILLE, KY, 40215
21922, TAYLOR BLVD, LOUISVILLE, KY, NA
21923, TAYLORSVILLE RD / TAYLORSVILLE LAKE RD, LOUISVILLE, KY, 40299
21924, TAYLORSVILLE RD / TENNYSON AVE, LOUISVILLE, KY, 40205
21925, TAYLORSVILLE RD / YORKSHIRE BLVD, LOUISVILLE, KY, 40220
21926, TAYLORSVILLE RD, LOUISVILLE, KY, 40220
21927, TOM WALLACE PARK, LOUISVILLE, KY, 40118
21928, TRAFALGAR SQ / WIMBLETON CT, LOUISVILLE, KY, 40218
21929, U S HIGHWAY 42 / I265, LOUISVILLE, KY, NA
21930, UPPER HUNTERS TRCE / WEBER LN, LOUISVILLE, KY, 40216
21931, W BROADWAY / S 38TH ST, LOUISVILLE, KY, 40211
21932, W CHESTNUT ST / S 26TH ST, LOUISVILLE, KY, 40211
21933, W KENTUCKY ST / SALEM AVE, LOUISVILLE, KY, 40210
21934, W KENWOOD DR / REED AVE, LOUISVILLE, KY, 40214
21935, W LEE ST / RILEY AVE, LOUISVILLE, KY, 40208
21936, W MAIN ST / BOSTON CT, LOUISVILLE, KY, 40212
21937, W OAK ST / VIRGINIA AVE, LOUISVILLE, KY, 40210
21938, W PAGES LN / SEAFORTH DR, LOUISVILLE, KY, 40258
21939, W SOUTHLAND BLVD / SUMMERS AVE, LOUISVILLE, KY, 40214
21940, WALLACE AVE / WILMINGTON AVE, LOUISVILLE, KY, 40207
21941, WATTBOURNE LN / WATTERSON TRL, LOUISVILLE, KY, 40299
21942, WESTPORT RD / CHAMBERLAIN LN, LOUISVILLE, KY, 40241
21943, WESTPORT RD / I265N, LOUISVILLE, KY, 40241
21944, WESTPORT RD / WESTPORT GREEN PL, LOUISVILLE, KY, 40241
21945, WF - ORANGE PICNIC AREA, LOUISVILLE, KY, 40202
21946, WF - TAN LOT SOUTH, LOUISVILLE, KY, 40206
21947, WHIPPS BEND RD / WHIPPS MILL RD, LOUISVILLE, KY, 40222
21948, WHISPERING BROOK DR / WOODBROOK CT, LOUISVILLE, KY, 40229
21949, WILSON AVE / ALGONQUIN PKY, LOUISVILLE, KY, 40211
21950, 1 BEVERLY RD, LOUISVILLE, KY, 40204
21951, 1 N CALUMET CT, LOUISVILLE, KY, 40214
21952, 1 NORMANDIE VLG, LOUISVILLE, KY, 40205
21953, 1 PAULINE RD, LOUISVILLE, KY, 40206
21954, 1 RAUNSER CT, LOUISVILLE, KY, 40216
21955, 1 SETTLERS TRACE RD, LOUISVILLE, KY, 40291
21956, 1.6 I64E, LOUISVILLE, KY, 40212
21957, 10.6 I265N, LOUISVILLE, KY, 40229
21958, 100 37TH ST, LOUISVILLE, KY, 40212
21959, 100 42ND ST, LOUISVILLE, KY, 40212
21960, 100 43RD ST, LOUISVILLE, KY, 40212
21961, 100 BELLEMEADE RD, LOUISVILLE, KY, 40222
21962, 100 BICKEL AVE, LOUISVILLE, KY, 40206
21963, 100 COUNTRYSIDE LN, LOUISVILLE, KY, 40243
21964, 100 DARRELL, LOUISVILLE, KY, 40219
21965, 100 E CHESTNUT ST, LOUISVILLE, KY, 40202
21966, 100 ELK RIVER DR, LOUISVILLE, KY, 40214
21967, 100 HIGH RISE DR, LOUISVILLE, KY, 40213
21968, 100 HIGHWOOD DR, LOUISVILLE, KY, 40206
21969, 100 HOLLAND PARK PL, LOUISVILLE, KY, 40245
21970, 100 HOLLISWOOD RD, LOUISVILLE, KY, 40222
21971, 100 JUNEAU DR, LOUISVILLE, KY, 40243
21972, 100 LADBROKE GROVE RD, LOUISVILLE, KY, 40245
21973, 100 LAWNDALE AVE, LOUISVILLE, KY, 40214
21974, 100 LINDEN LN, LOUISVILLE, KY, 40206
21975, 100 LIVERTON LN, LOUISVILLE, KY, 40222
21976, 100 LONGWORTH AVE, LOUISVILLE, KY, 40212
21977, 100 MARIAN DR, LOUISVILLE, KY, 40218
21978, 100 REID AVE, LOUISVILLE, KY, 40213
21979, 100 S CLAY ST, LOUISVILLE, KY, 40202
21980, 100 S JANE ST, LOUISVILLE, KY, 40206
21981, 100 SHELBY POINTE DR, LOUISVILLE, KY, 40223
21982, 100 W BROADWAY, LOUISVILLE, KY, NA
21983, 100 W EVELYN AVE, LOUISVILLE, KY, 40214
21984, 100 W FLORENCE AVE, LOUISVILLE, KY, 40214
21985, 100 W SOUTHLAND BLVD, LOUISVILLE, KY, 40214
21986, 1000 ALGONQUIN PKY, LOUISVILLE, KY, 40208
21987, 1000 AUTUMN CREST LN, LOUISVILLE, KY, 40245
21988, 1000 CANNONS LN, LOUISVILLE, KY, 40207
21989, 1000 CLASSIC WAY, LOUISVILLE, KY, 40245
21990, 1000 CLERKENWELL RD, LOUISVILLE, KY, 40207
21991, 1000 DORSEY LN, LOUISVILLE, KY, 40243
21992, 1000 FLAT ROCK RD, LOUISVILLE, KY, 40245
21993, 1000 FOSSIL CREEK CIR, LOUISVILLE, KY, 40245
21994, 1000 GEORGE ERNST WAY, LOUISVILLE, KY, 40217
21995, 1000 GILLILAND RD, LOUISVILLE, KY, 40245
21996, 1000 HIKES LN, LOUISVILLE, KY, 40218
21997, 1000 HOLLY SPRINGS DR, LOUISVILLE, KY, 40242
21998, 1000 JEFFERSON ST, LOUISVILLE, KY, 40203
21999, 1000 LA FONTENAY CT, LOUISVILLE, KY, 40223
22000, 1000 OLD CANNONS LN, LOUISVILLE, KY, 40207
