14001, TAYLOR BLVD / WELLER AVE, LOUISVILLE, KY, 40208
14823, N 1ST ST / E WASHINGTON ST, LOUISVILLE, KY, 40202
14824, N 24TH ST / OWEN ST, LOUISVILLE, KY, 40212
14825, N 25TH ST / MONTGOMERY ST, LOUISVILLE, KY, 40212
14826, N 27TH ST / ST XAVIER ST, LOUISVILLE, KY, 40212
14827, N 28TH ST / CROP ST, LOUISVILLE, KY, 40212
14828, N 29TH ST / GARFIELD AVE, LOUISVILLE, KY, 40212
14829, N 30TH ST / MONTGOMERY ST, LOUISVILLE, KY, 40212
14830, N 37TH ST / NORTHWESTERN PKY, LOUISVILLE, KY, 40212
14831, N 3RD ST / RIVER RD, LOUISVILLE, KY, 40202
14832, N 42ND ST / W MAIN ST, LOUISVILLE, KY, 40212
14833, N 6TH ST / W RIVER RD, LOUISVILLE, KY, 40202
14834, N CLIFTON AVE / SYCAMORE AVE, LOUISVILLE, KY, 40206
14835, N PRESTON ST / RIVER RD, LOUISVILLE, KY, 40202
14836, NEW LA GRANGE RD / WILLOW SPRINGS DR, LOUISVILLE, KY, 40242
14837, PEE WEE REESE RD, LOUISVILLE, KY, 40207
14838, PENDING LOCATION, LOUISVILLE, KY, NA
14839, POPLAR LEVEL RD / SELINDA AVE, LOUISVILLE, KY, 40213
14840, PRESTON HWY / I264, LOUISVILLE, KY, 40213
14841, PRESTON HWY / WOLFE AVE, LOUISVILLE, KY, 40213
14842, PRESTON ST / I65N, LOUISVILLE, KY, 40217
14843, REDWOOD DR / TAYLOR AVE, LOUISVILLE, KY, 40213
14844, RIVER RD / E WITHERSPOON ST, LOUISVILLE, KY, 40202
14845, ROBBS LN / SHEPHERDSVILLE RD, LOUISVILLE, KY, 40219
14846, S 15TH ST / W ST CATHERINE ST, LOUISVILLE, KY, 40210
14847, S 16TH ST / BERNHEIM LN, LOUISVILLE, KY, 40210
14848, S 17TH ST / W GAULBERT AVE, LOUISVILLE, KY, 40210
14849, S 1ST ST / E ASHLAND AVE, LOUISVILLE, KY, 40214
14850, S 1ST ST / E CARDINAL BLVD, LOUISVILLE, KY, 40208
14851, S 1ST ST / W MAGNOLIA AVE, LOUISVILLE, KY, 40208
14852, S 1ST ST / W MARKET ST, LOUISVILLE, KY, 40202
14853, S 20TH ST / CONGRESS ST, LOUISVILLE, KY, 40203
14854, S 22ND ST / CONGRESS ST, LOUISVILLE, KY, 40212
14855, S 25TH ST / CONGRESS ST, LOUISVILLE, KY, 40212
14856, S 25TH ST / STANDARD AVE, LOUISVILLE, KY, 40210
14857, S 25TH ST / W GAULBERT AVE, LOUISVILLE, KY, 40210
14858, S 28TH ST / EDDY ST, LOUISVILLE, KY, 40212
14859, S 29TH ST / CEDAR ST, LOUISVILLE, KY, 40212
14860, S 29TH ST / DIVINITY LN, LOUISVILLE, KY, 40211
14861, S 2ND ST / W KINGSTON AVE, LOUISVILLE, KY, 40214
14862, S 2ND ST / W LANSING AVE, LOUISVILLE, KY, 40214
14863, S 31ST ST / W MADISON ST, LOUISVILLE, KY, 40211
14864, S 32ND ST / KIRBY AVE, LOUISVILLE, KY, 40211
14865, S 32ND ST / YOUNG AVE, LOUISVILLE, KY, 40211
14866, S 33RD ST / GARLAND AVE, LOUISVILLE, KY, 40211
14867, S 34TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40212
14868, S 35TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212
14869, S 37TH ST / GARLAND AVE, LOUISVILLE, KY, 40211
14870, S 39TH ST / LARKWOOD AVE, LOUISVILLE, KY, 40212
14871, S 3RD ST / ASHBURY RD, LOUISVILLE, KY, 40214
14872, S 3RD ST / HARLAN AVE, LOUISVILLE, KY, 40214
14873, S 41ST ST / HALE AVE, LOUISVILLE, KY, 40211
14874, S 4TH ST / W TENNY AVE, LOUISVILLE, KY, 40214
14875, S 5TH ST / W KENTON ST, LOUISVILLE, KY, 40214
14876, S 5TH ST / W ST CATHERINE ST, LOUISVILLE, KY, 40203
14877, S CAMPBELL ST / E LIBERTY ST, LOUISVILLE, KY, 40204
14878, S CLAY ST / SPECKERT CT, LOUISVILLE, KY, 40203
14879, S HANCOCK ST / E OAK ST, LOUISVILLE, KY, 40203
14880, S HURSTBOURNE PKY / HURSTBOURNE PARK BLVD, LOUISVILLE, KY, 40220
14881, S HURSTBOURNE PKY / RAINTREE DR, LOUISVILLE, KY, 40220
14882, S PRESTON ST / E ORMSBY AVE, LOUISVILLE, KY, 40203
14883, SHELBYVILLE RD, LOUISVILLE, KY, 40222
14884, SHEPHERDSVILLE RD / ST FRANCIS AVE, LOUISVILLE, KY, 40218
14885, SONOMA LN / WOODPOINTE BLVD, LOUISVILLE, KY, 40219
14886, ST ANTHONY CHURCH RD / ST ANTHONY GARDENS DR, LOUISVILLE, KY, 40214
14887, SYLVANIA RD / SYLVANIA NO 4 RD, LOUISVILLE, KY, 40258
14888, W ASHLAND AVE / BELLEVUE AVE, LOUISVILLE, KY, 40215
14889, W BROADWAY / DEARBORN AVE, LOUISVILLE, KY, 40211
14890, W CHESTNUT ST / QUEST DR, LOUISVILLE, KY, 40203
14891, W CHESTNUT ST / VILLAGE WEST DR, LOUISVILLE, KY, 40203
14892, W GAULBERT AVE / MCCLOSKEY AVE, LOUISVILLE, KY, 40210
14893, W MANSLICK RD / NEW CUT RD, LOUISVILLE, KY, 40118
14894, W MUHAMMAD ALI BLVD / QUEST DR, LOUISVILLE, KY, 40203
14895, W PAGES LN, LOUISVILLE, KY, 40258
14896, W SOUTHERN HEIGHTS AVE / WHEELER AVE, LOUISVILLE, KY, 40215
14897, WARREN AVE / W WHITNEY AVE, LOUISVILLE, KY, 40215
14898, WF - GREAT LAWN SOUTH, LOUISVILLE, KY, 40202
14899, WILSON AVE / WOODLAND AVE, LOUISVILLE, KY, 40211
14900, 1 WARREN RD, LOUISVILLE, KY, 40206
14901, 100 CHATTANOOGA AVE, LOUISVILLE, KY, 40214
14902, 100 COLLEGE CT, LOUISVILLE, KY, 40203
14903, 100 GARDINER LAKE RD, LOUISVILLE, KY, 40205
14904, 100 GREY LEDGE CIR, LOUISVILLE, KY, 40245
14905, 100 HARPERS FERRY RD, LOUISVILLE, KY, 40214
14906, 100 HIGHLAND AVE, LOUISVILLE, KY, 40245
14907, 100 LYNDON LN, LOUISVILLE, KY, 40222
14908, 100 MASONIC HOME DR, LOUISVILLE, KY, 40207
14909, 100 N 17TH ST, LOUISVILLE, KY, 40203
14910, 100 N SHELBY ST, LOUISVILLE, KY, 40202
14911, 100 PARK PLACE DR, LOUISVILLE, KY, 40243
14912, 100 QUILL ST, LOUISVILLE, KY, 40206
14913, 100 S 15TH ST, LOUISVILLE, KY, 40203
14914, 100 S 24TH ST, LOUISVILLE, KY, 40212
14915, 100 S SHELBY ST, LOUISVILLE, KY, 40202
14916, 100 SAGE RD, LOUISVILLE, KY, 40207
14917, 100 STILZ AVE, LOUISVILLE, KY, 40206
14918, 100 W KINGSTON AVE, LOUISVILLE, KY, 40214
14919, 100 WICKFIELD DR, LOUISVILLE, KY, 40245
14920, 1000 S 23RD ST, LOUISVILLE, KY, 40210
14921, 1000 ULRICH AVE, LOUISVILLE, KY, 40219
14922, 10000 CHERRY RIDGE DR, LOUISVILLE, KY, 40291
14923, 10000 FOREST GREEN BLVD, LOUISVILLE, KY, 40223
14924, 10000 MARY DELL LN, LOUISVILLE, KY, 40291
14925, 10000 SHIREWICK WAY, LOUISVILLE, KY, 40272
14926, 10100 COLONEL HANCOCK DR, LOUISVILLE, KY, 40291
14927, 10200 BROWNHURST CT, LOUISVILLE, KY, 40241
14928, 10200 GARLANREID PL, LOUISVILLE, KY, 40223
14929, 10200 HARTLEY DR, LOUISVILLE, KY, 40223
14930, 10200 RENAISSANCE VALLEY WAY, LOUISVILLE, KY, 40272
14931, 10200 SADDLE POINTE DR, LOUISVILLE, KY, 40291
14932, 10200 SPRINGHURST GARDENS CIR, LOUISVILLE, KY, 40241
14933, 10200 STATIA LYNN CT, LOUISVILLE, KY, 40223
14934, 10300 BEAU BRUMMELL DR, LOUISVILLE, KY, 40118
14935, 10300 GREENFIELD PARK RD, LOUISVILLE, KY, 40258
14936, 10300 SEATONVILLE RD, LOUISVILLE, KY, 40291
14937, 10300 VALLEY FARMS BLVD, LOUISVILLE, KY, 40272
14938, 10400 CHARLESWOOD RD, LOUISVILLE, KY, 40229
14939, 10400 LONG HOME RD, LOUISVILLE, KY, 40291
14940, 10400 OAK GROVE RD, LOUISVILLE, KY, 40291
14941, 10400 PINE GLEN CIR, LOUISVILLE, KY, 40291
14942, 10400 TARRYTOWNE DR, LOUISVILLE, KY, 40272
14943, 10500 BAY POINTE CT, LOUISVILLE, KY, 40241
14944, 10500 CHURCH CT, LOUISVILLE, KY, 40272
14945, 10500 CLAYTON ALLEN BLVD, LOUISVILLE, KY, 40229
14946, 10500 SUNLIGHT LN, LOUISVILLE, KY, 40272
14947, 10600 DEERING RD, LOUISVILLE, KY, 40272
14948, 10600 EVANWOOD DR, LOUISVILLE, KY, 40228
14949, 10600 HITE CREEK RD, LOUISVILLE, KY, 40241
14950, 10600 HOBBS STATION RD, LOUISVILLE, KY, 40223
14951, 10700 ALBERTA DR, LOUISVILLE, KY, 40118
14952, 10700 EVANWOOD DR, LOUISVILLE, KY, 40228
14953, 10700 GLENMARY SPRINGS DR, LOUISVILLE, KY, 40291
14954, 10800 BEARCAMP RD, LOUISVILLE, KY, 40272
14955, 10800 DIXIE HWY, LOUISVILLE, KY, 40272
14956, 10800 MILLERS LN, LOUISVILLE, KY, 40272
14957, 10800 SILVERMOON CT, LOUISVILLE, KY, 40241
14958, 10800 YOUNGTOWN DR, LOUISVILLE, KY, 40272
14959, 1100 COLONEL ANDERSON PKY, LOUISVILLE, KY, 40222
14960, 1100 FLAT ROCK RD, LOUISVILLE, KY, 40245
14961, 1100 GARDEN CREEK CIR, LOUISVILLE, KY, 40223
14962, 1100 HIGHLAND AVE, LOUISVILLE, KY, 40204
14963, 1100 VIEW CREST DR, LOUISVILLE, KY, 40118
14964, 1100 VINEWOOD RD, LOUISVILLE, KY, 40219
14965, 11100 BROOK STONE CT, LOUISVILLE, KY, 40223
14966, 11100 CHAPEL HILL RD, LOUISVILLE, KY, 40229
14967, 11100 FINCHLEY RD, LOUISVILLE, KY, 40243
14968, 11100 PEBBLE CREEK DR, LOUISVILLE, KY, 40241
14969, 11300 BALLARDSVILLE RD, LOUISVILLE, KY, 40241
14970, 11300 RODEN CT, LOUISVILLE, KY, 40241
14971, 11300 UNITED BLVD, LOUISVILLE, KY, 40229
14972, 11400 GARDEN TRACE DR, LOUISVILLE, KY, 40229
14973, 11400 INTERCHANGE DR, LOUISVILLE, KY, 40229
14974, 11400 RIDGE LAKE DR, LOUISVILLE, KY, 40272
14975, 11500 ANDALEE DR, LOUISVILLE, KY, 40272
14976, 11500 BELLEWOOD GARDEN CT, LOUISVILLE, KY, 40223
14977, 11500 BROOKLEY DR, LOUISVILLE, KY, 40229
14978, 11500 CARRIAGE REST CT, LOUISVILLE, KY, 40243
14979, 11500 EASUM RD, LOUISVILLE, KY, 40299
14980, 11600 GRAND VISTA CT, LOUISVILLE, KY, 40243
14981, 11600 LARKIN FORE WAY, LOUISVILLE, KY, 40291
14982, 11600 WESTPORT RD, LOUISVILLE, KY, 40241
14983, 11700 OAKFIELD DR, LOUISVILLE, KY, 40245
14984, 11700 WICKER CT, LOUISVILLE, KY, 40299
14985, 11800 WATERFORD RD, LOUISVILLE, KY, 40291
14986, 11900 BOYDTON CT, LOUISVILLE, KY, 40245
14987, 11900 ROCK SPRING DR, LOUISVILLE, KY, 40245
14988, 1200 BLACKTHORN RD, LOUISVILLE, KY, 40299
14989, 1200 CARRIAGE WAY CT, LOUISVILLE, KY, 40219
14990, 1200 DARBYSHIRE RD, LOUISVILLE, KY, 40222
14991, 1200 HERITAGE PL, LOUISVILLE, KY, 40214
14992, 1200 HINES CT, LOUISVILLE, KY, 40223
14993, 1200 LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40211
14994, 1200 PEACOCK DR, LOUISVILLE, KY, 40222
14995, 1200 TRUMAN PARK DR, LOUISVILLE, KY, 40245
14996, 12000 BAY RUN DR, LOUISVILLE, KY, 40245
14997, 12000 DONOHUE AVE, LOUISVILLE, KY, 40243
14998, 12000 LURAY CT, LOUISVILLE, KY, 40245
14999, 12100 OLD HENRY RD, LOUISVILLE, KY, 40223
15000, 12100 ST CLAIR DR, LOUISVILLE, KY, 40243
