10001, 5300 ROBBS LN, LOUISVILLE, KY, 40219
10820, 1500 TYLER PARK DR, LOUISVILLE, KY, 40204
10821, 15400 BECKLEY HILLS DR, LOUISVILLE, KY, 40245
10822, 1600 PERSHING AVE, LOUISVILLE, KY, 40242
10823, 1600 RIVER RD, LOUISVILLE, KY, 40206
10824, 1600 VIVIAN LN, LOUISVILLE, KY, 40205
10825, 1700 ARTHUR ST, LOUISVILLE, KY, 40208
10826, 1700 GREGG AVE, LOUISVILLE, KY, 40210
10827, 1800 BECKLEY CREEK PKY, LOUISVILLE, KY, 40245
10828, 1800 CLAREMOOR DR, LOUISVILLE, KY, 40223
10829, 1800 FERNWOOD AVE, LOUISVILLE, KY, 40205
10830, 1800 S 24TH ST, LOUISVILLE, KY, 40210
10831, 1800 SILS AVE, LOUISVILLE, KY, 40205
10832, 1800 VORSTER AVE, LOUISVILLE, KY, 40210
10833, 1900 CYPRESS ST, LOUISVILLE, KY, 40210
10834, 1900 FARRINGTON DR, LOUISVILLE, KY, 40216
10835, 1900 SILS AVE, LOUISVILLE, KY, 40205
10836, 200 COPPERCREEK CIR, LOUISVILLE, KY, 40222
10837, 200 GUTHRIE ST, LOUISVILLE, KY, 40202
10838, 200 IDLEWYLDE DR, LOUISVILLE, KY, 40206
10839, 200 LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40212
10840, 200 MARIAN DR, LOUISVILLE, KY, 40218
10841, 200 N LONGWORTH AVE, LOUISVILLE, KY, 40212
10842, 200 RING RD, LOUISVILLE, KY, 40207
10843, 200 ROCKCREST WAY, LOUISVILLE, KY, 40245
10844, 200 WELBURN DR, LOUISVILLE, KY, 40218
10845, 2000 TYLER LN, LOUISVILLE, KY, 40205
10846, 2100 BOULEVARD NAPOLEON, LOUISVILLE, KY, 40205
10847, 2100 DOUGLASS BLVD, LOUISVILLE, KY, 40205
10848, 2100 EDGEHILL RD, LOUISVILLE, KY, 40205
10849, 2100 OLD SHEPHERDSVILLE RD, LOUISVILLE, KY, 40218
10850, 2100 WOODFORD PL, LOUISVILLE, KY, 40205
10851, 2200 ELMHURST AVE, LOUISVILLE, KY, 40216
10852, 2200 HIGHLAND AVE, LOUISVILLE, KY, 40204
10853, 2200 MEADOW DR, LOUISVILLE, KY, 40218
10854, 2200 MEDFORD LN, LOUISVILLE, KY, 40218
10855, 2200 PATTERSON AVE, LOUISVILLE, KY, 40204
10856, 22ND ST / I64W, LOUISVILLE, KY, 40212
10857, 2300 DEXTER ST, LOUISVILLE, KY, 40216
10858, 2400 PROCTOR KNOTT DR, LOUISVILLE, KY, 40218
10859, 2400 ROSEWOOD WAY, LOUISVILLE, KY, 40214
10860, 2400 WOODBOURNE AVE, LOUISVILLE, KY, 40205
10861, 2500 BRIGHTON DR, LOUISVILLE, KY, 40205
10862, 2500 DELORES DR, LOUISVILLE, KY, 40216
10863, 2500 LORENE AVE, LOUISVILLE, KY, 40216
10864, 2500 NEWBURG RD, LOUISVILLE, KY, 40205
10865, 2600 CROP ST, LOUISVILLE, KY, 40212
10866, 2600 PATIO CT, LOUISVILLE, KY, 40214
10867, 2600 PAYNE ST, LOUISVILLE, KY, 40206
10868, 2600 PRESTON HWY, LOUISVILLE, KY, 40217
10869, 2600 ROCKFORD LN, LOUISVILLE, KY, NA
10870, 2600 WOODSDALE AVE, LOUISVILLE, KY, 40220
10871, 2700 GILLIGAN ST, LOUISVILLE, KY, 40212
10872, 2700 KLONDIKE LN, LOUISVILLE, KY, 40218
10873, 2800 KLEIER AVE, LOUISVILLE, KY, 40208
10874, 2800 WINGFIELD LN, LOUISVILLE, KY, 40210
10875, 2800 WOODS CLUB RD, LOUISVILLE, KY, 40241
10876, 2900 FLAIR KNOLL CT, LOUISVILLE, KY, 40216
10877, 2900 LENCOTT DR, LOUISVILLE, KY, 40216
10878, 2900 RODMAN ST, LOUISVILLE, KY, 40208
10879, 2900 WINDSOR FOREST DR, LOUISVILLE, KY, 40272
10880, 300 BABE DR, LOUISVILLE, KY, 40118
10881, 300 CAMP ST, LOUISVILLE, KY, 40203
10882, 300 COPPERCREEK CIR, LOUISVILLE, KY, 40222
10883, 300 E JACOB ST, LOUISVILLE, KY, 40203
10884, 300 N 34TH ST, LOUISVILLE, KY, 40212
10885, 3000 BLEVINS GAP RD, LOUISVILLE, KY, 40272
10886, 3000 CURRAN RD, LOUISVILLE, KY, 40205
10887, 3000 DON DEE DR, LOUISVILLE, KY, 40220
10888, 3000 KNOLLVIEW CT, LOUISVILLE, KY, 40214
10889, 3000 ROCKFORD LN, LOUISVILLE, KY, 40216
10890, 3000 TREEVIEW CT, LOUISVILLE, KY, 40214
10891, 3100 CROMARTY WAY, LOUISVILLE, KY, 40220
10892, 3100 KIPLING WAY, LOUISVILLE, KY, 40205
10893, 3100 KLONWAY DR, LOUISVILLE, KY, 40220
10894, 3100 PLOVER RD, LOUISVILLE, KY, 40213
10895, 3100 ROCK CREEK DR, LOUISVILLE, KY, 40207
10896, 3200 GOLDTREE CT, LOUISVILLE, KY, 40220
10897, 3200 NORMA LN, LOUISVILLE, KY, 40220
10898, 3300 CORNELIA DR, LOUISVILLE, KY, 40220
10899, 3300 ELLIS WAY, LOUISVILLE, KY, 40220
10900, 3300 TWIN OAK LN, LOUISVILLE, KY, 40219
10901, 3400 PEMAQUID RD, LOUISVILLE, KY, 40218
10902, 3400 ROBARDS CT, LOUISVILLE, KY, 40218
10903, 3500 AUTUMN WAY, LOUISVILLE, KY, 40218
10904, 3500 TEMPLEWOOD DR, LOUISVILLE, KY, 40219
10905, 3600 GRISSOM WAY, LOUISVILLE, KY, 40229
10906, 3600 MONTCLAIR AVE, LOUISVILLE, KY, 40218
10907, 3600 SUSANNA DR, LOUISVILLE, KY, 40213
10908, 3700 MINA TER, LOUISVILLE, KY, 40220
10909, 3700 PARKER AVE, LOUISVILLE, KY, 40212
10910, 3700 S HURSTBOURNE PKY, LOUISVILLE, KY, 40299
10911, 3800 MANNER DALE DR, LOUISVILLE, KY, 40220
10912, 3800 PEACHTREE AVE, LOUISVILLE, KY, 40215
10913, 3800 SEDALIA TRL, LOUISVILLE, KY, 40272
10914, 3800 SOUTH PARK RD, LOUISVILLE, KY, 40219
10915, 3800 TAYLOR BLVD, LOUISVILLE, KY, 40215
10916, 3900 BONAVANT RD, LOUISVILLE, KY, 40219
10917, 3900 BRECKENRIDGE LN, LOUISVILLE, KY, 40218
10918, 3900 BRISTOL OAKS DR, LOUISVILLE, KY, 40299
10919, 3900 CARBINE LN, LOUISVILLE, KY, 40229
10920, 3900 PFLANZ AVE, LOUISVILLE, KY, 40212
10921, 3900 WESTPORT RD, LOUISVILLE, KY, 40207
10922, 3RD STREET RD / VALLEY STATION RD, LOUISVILLE, KY, 40272
10923, 400 INDUSTRY RD, LOUISVILLE, KY, 40208
10924, 400 KENILWORTH RD, LOUISVILLE, KY, 40206
10925, 400 N 35TH ST, LOUISVILLE, KY, 40212
10926, 400 PARADISE LN, LOUISVILLE, KY, 40258
10927, 4000 DRUID HILLS RD, LOUISVILLE, KY, 40207
10928, 4100 ACCOMACK DR, LOUISVILLE, KY, 40241
10929, 4100 CAVEN CT, LOUISVILLE, KY, 40229
10930, 4100 DIXIE HWY, LOUISVILLE, KY, 40216
10931, 4100 FRANKLIN AVE, LOUISVILLE, KY, 40213
10932, 4100 LEDYARD RD, LOUISVILLE, KY, 40207
10933, 4100 SOUTHERN FARM BLVD, LOUISVILLE, KY, 40216
10934, 4100 VALLEY STATION RD, LOUISVILLE, KY, 40272
10935, 4200 CEDAR VIEW CT, LOUISVILLE, KY, 40299
10936, 4200 FREEMAN AVE, LOUISVILLE, KY, 40216
10937, 4200 LANDSIDE DR, LOUISVILLE, KY, 40220
10938, 4200 MARSEILLE DR, LOUISVILLE, KY, 40272
10939, 4300 GREENWOOD AVE, LOUISVILLE, KY, 40211
10940, 4300 JUNIPER FOREST PL, LOUISVILLE, KY, 40245
10941, 4300 ROCKWOOD DR, LOUISVILLE, KY, 40220
10942, 4300 RONDEAN DR, LOUISVILLE, KY, 40216
10943, 4400 BAYS END CT, LOUISVILLE, KY, 40245
10944, 4400 CAMPOBELLO ST, LOUISVILLE, KY, 40213
10945, 4400 JEWELL AVE, LOUISVILLE, KY, 40212
10946, 4400 ROCKWOOD DR, LOUISVILLE, KY, 40220
10947, 4500 BONITA CT, LOUISVILLE, KY, 40213
10948, 4500 BREITENSTEIN AVE, LOUISVILLE, KY, 40213
10949, 4500 COMMERCE CROSSINGS DR, LOUISVILLE, KY, 40229
10950, 4500 FLINTLOCK DR, LOUISVILLE, KY, 40216
10951, 4500 RIVER FRONT DR, LOUISVILLE, KY, 40216
10952, 4600 MELVIN DR, LOUISVILLE, KY, 40216
10953, 4600 SEIBEL CT, LOUISVILLE, KY, 40258
10954, 4700 RUSTBURG PL, LOUISVILLE, KY, 40245
10955, 4700 WEST SIDE DR, LOUISVILLE, KY, 40219
10956, 4800 BLUEBIRD AVE, LOUISVILLE, KY, 40213
10957, 4800 ST LEO PL, LOUISVILLE, KY, 40214
10958, 4900 MILE OF SUNSHINE DR, LOUISVILLE, KY, 40219
10959, 500 BARBERRY LN, LOUISVILLE, KY, 40206
10960, 500 BRECKENRIDGE LN, LOUISVILLE, KY, 40207
10961, 500 GATEHOUSE LN, LOUISVILLE, KY, 40243
10962, 500 PINE ST, LOUISVILLE, KY, 40204
10963, 500 S 16TH ST, LOUISVILLE, KY, 40203
10964, 500 S HANCOCK ST, LOUISVILLE, KY, 40202
10965, 500 TUCKER STATION RD, LOUISVILLE, KY, 40243
10966, 5000 MIDDLESEX DR, LOUISVILLE, KY, 40245
10967, 5000 SUNDAY DR, LOUISVILLE, KY, 40219
10968, 5100 FAIRWOOD LN, LOUISVILLE, KY, 40291
10969, 5100 FEYS CT, LOUISVILLE, KY, 40216
10970, 5200 BRICE BRAMBLE LN, LOUISVILLE, KY, 40219
10971, 5200 COOL BROOK RD, LOUISVILLE, KY, 40291
10972, 5200 CYNTHIA DR, LOUISVILLE, KY, 40291
10973, 5200 MOUNT MARCY RD, LOUISVILLE, KY, 40216
10974, 5200 W PAGES LN, LOUISVILLE, KY, 40258
10975, 5300 BILLTOWN RD, LOUISVILLE, KY, 40299
10976, 5300 DATURA LN, LOUISVILLE, KY, 40258
10977, 5300 HAVENTREE PL, LOUISVILLE, KY, 40229
10978, 5400 CHESTNUTWOOD WAY, LOUISVILLE, KY, 40272
10979, 5400 CLOVER AVE, LOUISVILLE, KY, 40272
10980, 5400 EMRICH AVE, LOUISVILLE, KY, 40291
10981, 5400 GASKIN CT, LOUISVILLE, KY, 40229
10982, 5500 ALICANTE LN, LOUISVILLE, KY, 40272
10983, 5500 EELGRASS CT, LOUISVILLE, KY, 40258
10984, 5500 OAK CREEK LN, LOUISVILLE, KY, 40291
10985, 5500 PICO LN, LOUISVILLE, KY, 40219
10986, 5500 RANDOM WAY, LOUISVILLE, KY, 40291
10987, 5600 COUNT FLEET DR, LOUISVILLE, KY, 40272
10988, 5600 GARROW AVE, LOUISVILLE, KY, 40219
10989, 5600 PENDLETON RD, LOUISVILLE, KY, 40272
10990, 5700 CHESTNUTWOOD WAY, LOUISVILLE, KY, 40272
10991, 5700 MARIGOLD CT, LOUISVILLE, KY, 40213
10992, 5800 HORNBEAM LN, LOUISVILLE, KY, 40258
10993, 5900 CATHEEN WAY, LOUISVILLE, KY, 40213
10994, 600 CREEKVALLEY RD, LOUISVILLE, KY, 40243
10995, 600 HAWKINS AVE, LOUISVILLE, KY, 40213
10996, 600 OAK BRANCH RD, LOUISVILLE, KY, 40245
10997, 600 S 17TH ST, LOUISVILLE, KY, 40203
10998, 6000 APEX DR, LOUISVILLE, KY, 40219
10999, 6000 MIDDLEGROUND DR, LOUISVILLE, KY, 40272
11000, 6100 ARLONE CT, LOUISVILLE, KY, 40216
