19001, 4600 MARTIN AVE, LOUISVILLE, KY, 40216
19798, I65S / OUTER LOOP, LOUISVILLE, KY, 40213
19799, I71S / I264, LOUISVILLE, KY, 40222
19800, I71S / I64W, LOUISVILLE, KY, 40206
19801, ILEX AVE / SHASTA TRL, LOUISVILLE, KY, 40213
19802, IMPERIAL TER / ROCKFORD LN, LOUISVILLE, KY, NA
19803, JENNINGS LN, LOUISVILLE, KY, 40218
19804, JONES DR, LOUISVILLE, KY, 40214
19805, JULIE KAYS WAY / TERRY RD, LOUISVILLE, KY, 40258
19806, KERRY DR / PEABODY LN, LOUISVILLE, KY, 40218
19807, KILMER BLVD / SHASTA TRL, LOUISVILLE, KY, 40213
19808, LA GRANGE RD / STANLEY GAULT PKY, LOUISVILLE, KY, 40223
19809, LA GRANGE RD / WESTPORT RD, LOUISVILLE, KY, 40245
19810, LA VEL LN / TERRY RD, LOUISVILLE, KY, 40216
19811, LAKE TER / LYNDON LN, LOUISVILLE, KY, NA
19812, LAMPTON ST / LOGAN ST, LOUISVILLE, KY, 40204
19813, LANDRUM AVE / WELLSWORTH AVE, LOUISVILLE, KY, 40216
19814, LAUREL RIDGE RD / OUTER LOOP, LOUISVILLE, KY, 40219
19815, LEDGE RD / SCENIC LOOP, LOUISVILLE, KY, 40205
19816, LEES LN / LUCERNE AVE, LOUISVILLE, KY, 40216
19817, LEXINGTON RD / MACON AVE, LOUISVILLE, KY, 40207
19818, LEYTON AVE / NEW LA GRANGE RD, LOUISVILLE, KY, 40222
19819, LOWER HUNTERS TRCE / REE DR, LOUISVILLE, KY, 40216
19820, MAIN ST, LOUISVILLE, KY, 40243
19821, MALCOLM AVE / ST JUDE AVE, LOUISVILLE, KY, 40215
19822, MALLGATE PL / QUAILS RUN, LOUISVILLE, KY, 40207
19823, MANOR HOUSE DR / TAYLORSVILLE RD, LOUISVILLE, KY, 40220
19824, MANSLICK RD / OLD MANSLICK RD, LOUISVILLE, KY, 40216
19825, MANSLICK RD / PARKRIDGE PKY, LOUISVILLE, KY, 40214
19826, MARQUETTE DR / NEW LA GRANGE RD, LOUISVILLE, KY, NA
19827, MEDORA PARK, LOUISVILLE, KY, 40272
19828, MELLWOOD AVE / MOCKINGBIRD VALLEY RD, LOUISVILLE, KY, 40207
19829, MID DR / SCRIM AVE, LOUISVILLE, KY, 40272
19830, MILES LN / SMITHTON RD, LOUISVILLE, KY, 40219
19831, MOORMAN RD / ROSAIRE AVE, LOUISVILLE, KY, 40272
19832, MOUNT HOLLY RD / NATIONAL TPKE, LOUISVILLE, KY, 40118
19833, MOUNT HOLLY RD / NOLA DR, LOUISVILLE, KY, 40118
19834, MOUNT WASHINGTON RD / ORELAND MILL RD, LOUISVILLE, KY, 40229
19835, MURRAY LN / TERRY RD, LOUISVILLE, KY, 40216
19836, N 15TH ST / PORTLAND AVE, LOUISVILLE, KY, 40203
19837, N 17TH ST / PORTLAND AVE, LOUISVILLE, KY, 40203
19838, N 19TH ST / OWEN ST, LOUISVILLE, KY, 40203
19839, N 20TH ST / OWEN ST, LOUISVILLE, KY, 40203
19840, N 21ST ST / OWEN ST, LOUISVILLE, KY, 40203
19841, N 22ND ST, LOUISVILLE, KY, 40203
19842, N 23RD ST / COLUMBIA ST, LOUISVILLE, KY, 40212
19843, N 24TH ST / CORNWALL ST, LOUISVILLE, KY, 40212
19844, N 25TH ST / NORTHWESTERN PKY, LOUISVILLE, KY, 40212
19845, N 26TH ST / OWEN ST, LOUISVILLE, KY, 40212
19846, N 28TH ST / GILLIGAN ST, LOUISVILLE, KY, 40212
19847, N 29TH ST / COLUMBIA ST, LOUISVILLE, KY, 40212
19848, N 29TH ST / GRIFFITHS AVE, LOUISVILLE, KY, 40212
19849, N 30TH ST / ROWAN ST, LOUISVILLE, KY, 40212
19850, N 30TH ST / ST XAVIER ST, LOUISVILLE, KY, 40212
19851, N 30TH ST / TYLER AVE, LOUISVILLE, KY, 40212
19852, N 33RD ST / DUNCAN ST, LOUISVILLE, KY, 40212
19853, N 38TH ST / PFLANZ AVE, LOUISVILLE, KY, 40212
19854, N 39TH ST / ALFORD AVE, LOUISVILLE, KY, 40212
19855, N 3RD ST / I 64 RAMP, LOUISVILLE, KY, 40202
19856, N 41ST ST / ALFORD AVE, LOUISVILLE, KY, 40212
19857, N 41ST ST / BANK ST, LOUISVILLE, KY, 40212
19858, N 41ST ST / JEWELL AVE, LOUISVILLE, KY, 40212
19859, N 45TH ST / W MAIN ST, LOUISVILLE, KY, 40212
19860, N 46TH ST / DUNCAN ST, LOUISVILLE, KY, 40212
19861, N BELLAIRE AVE / FRANKFORT AVE, LOUISVILLE, KY, 40206
19862, N CHADWICK RD / SHELBYVILLE RD, LOUISVILLE, KY, 40222
19863, N CHADWICK RD / WHIPPS MILL RD, LOUISVILLE, KY, 40222
19864, N HUBBARDS LN / WESTPORT RD, LOUISVILLE, KY, NA
19865, N HURSTBOURNE PKY / WHITE BLOSSOM BLVD, LOUISVILLE, KY, 40241
19866, NARRAGANSETT DR / WYANDOTTE AVE, LOUISVILLE, KY, 40210
19867, NEW CUT RD / I265S, LOUISVILLE, KY, 40118
19868, NEW MAPLE RD / THEILER LN, LOUISVILLE, KY, 40229
19869, NEWBURG RD / SCHUFF LN, LOUISVILLE, KY, 40205
19870, NEWBURG RD / SPEED AVE, LOUISVILLE, KY, 40205
19871, NEWBURG RD / SWAINSBORO DR, LOUISVILLE, KY, 40218
19872, NORRIS PL / RICHMOND DR, LOUISVILLE, KY, 40205
19873, NORTHUMBERLAND DR / WESTPORT RD, LOUISVILLE, KY, 40245
19874, NOTTOWAY CIR / PENNACOOK RD, LOUISVILLE, KY, 40214
19875, OBOE DR / SHANKS LN, LOUISVILLE, KY, 40216
19876, OLD GLORY CT / YORKTOWN RD, LOUISVILLE, KY, 40214
19877, OLD HARRODS CREEK RD / SHELBYVILLE RD, LOUISVILLE, KY, 40243
19878, OLD MILL RD / WHIPPS MILL RD, LOUISVILLE, KY, 40242
19879, PARADISE LN / TERRY RD, LOUISVILLE, KY, 40258
19880, PARK - MCNEELY LAKE PARK, LOUISVILLE, KY, 40229
19881, PARK PLACE DR / SHELBYVILLE RD, LOUISVILLE, KY, 40243
19882, PEACHTREE AVE / PICADILLY AVE, LOUISVILLE, KY, 40215
19883, PEACHTREE AVE / SEELBACH AVE, LOUISVILLE, KY, 40215
19884, PEACHTREE AVE / W WHITNEY AVE, LOUISVILLE, KY, 40215
19885, PENDLETON RD / DIXIE HWY, LOUISVILLE, KY, 40272
19886, PHILLIPS LN / I264W, LOUISVILLE, KY, 40209
19887, PIERCE WAY / LAVENIA LN, LOUISVILLE, KY, 40272
19888, PINELAND DR / WOODBURY DR, LOUISVILLE, KY, 40219
19889, POPLAR LEVEL RD / POPLAR PLACE DR, LOUISVILLE, KY, 40213
19890, POPLAR LEVEL RD / QUARRY HILL RD, LOUISVILLE, KY, 40213
19891, PRENTICE ST / S 16TH ST, LOUISVILLE, KY, 40210
19892, PRESTON HWY / GILMORE LN, LOUISVILLE, KY, 40213
19893, PRESTON HWY / PRESTWOOD DR, LOUISVILLE, KY, 40219
19894, PRESTON HWY / RACHEL DR, LOUISVILLE, KY, 40219
19895, QUIET WOOD CT / WHISPERING BROOK DR, LOUISVILLE, KY, 40229
19896, RACINE AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
19897, RADIANCE RD / TALISMAN RD, LOUISVILLE, KY, 40220
19898, RENWOOD BLVD / RENWOOD CT, LOUISVILLE, KY, 40214
19899, RETREAT RD / SHADOW RUN RD, LOUISVILLE, KY, 40219
19900, RIDGEWAY AVE / WILLOW AVE, LOUISVILLE, KY, 40204
19901, RIEDLING DR / ZORN AVE, LOUISVILLE, KY, 40206
19902, ROCHESTER DR / STRAWBERRY LN, LOUISVILLE, KY, 40214
19903, ROCKFORD LN / VAN HOOSE RD, LOUISVILLE, KY, 40216
19904, RODMAN ST / CENTRAL AVE, LOUISVILLE, KY, 40208
19905, ROUTT RD / TAYLORSVILLE LAKE RD, LOUISVILLE, KY, 40023
19906, RUFER AVE / SCHILLER AVE, LOUISVILLE, KY, 40204
19907, RUSSETT BLVD / RUSSETT PL, LOUISVILLE, KY, 40218
19908, RUTLEDGE RD / SYLVANIA NO 4 RD, LOUISVILLE, KY, 40258
19909, S 10TH ST / W BURNETT AVE, LOUISVILLE, KY, 40210
19910, S 11TH ST / GARLAND AVE, LOUISVILLE, KY, 40210
19911, S 11TH ST / W OAK ST, LOUISVILLE, KY, 40210
19912, S 12TH ST / W MAGNOLIA AVE, LOUISVILLE, KY, 40210
19913, S 13TH ST / BULGER CT, LOUISVILLE, KY, 40210
19914, S 13TH ST / GARLAND AVE, LOUISVILLE, KY, 40210
19915, S 15TH ST / PIRTLE ST, LOUISVILLE, KY, 40203
19916, S 15TH ST / STONE ALY, LOUISVILLE, KY, 40203
19917, S 17TH ST / ANDERSON ST, LOUISVILLE, KY, 40210
19918, S 17TH ST / ESQUIRE ALY, LOUISVILLE, KY, 40203
19919, S 18TH ST / GREEN ALY, LOUISVILLE, KY, 40203
19920, S 1ST ST / FRANCIS AVE, LOUISVILLE, KY, 40214
19921, S 1ST ST / S BROOK ST, LOUISVILLE, KY, 40208
19922, S 1ST ST / W HILL ST, LOUISVILLE, KY, 40208
19923, S 1ST ST, LOUISVILLE, KY, 40203
19924, S 22ND ST / BERNHEIM LN, LOUISVILLE, KY, 40210
19925, S 24TH ST / WILSON AVE, LOUISVILLE, KY, 40210
19926, S 26TH ST / STONE ALY, LOUISVILLE, KY, 40211
19927, S 26TH ST / W MAIN ST, LOUISVILLE, KY, 40212
19928, S 27TH ST / EDDY ST, LOUISVILLE, KY, 40212
19929, S 28TH ST / GREEN ALY, LOUISVILLE, KY, 40212
19930, S 28TH ST / PIRTLE ST, LOUISVILLE, KY, 40212
19931, S 2ND ST / ALGER AVE, LOUISVILLE, KY, 40214
19932, S 2ND ST / W GARRETT ST, LOUISVILLE, KY, 40214
19933, S 2ND ST, LOUISVILLE, KY, 40208
19934, S 31ST ST / SOUTHERN AVE, LOUISVILLE, KY, 40211
19935, S 32ND ST / W JEFFERSON ST, LOUISVILLE, KY, 40212
19936, S 34TH ST / HALE AVE, LOUISVILLE, KY, 40211
19937, S 35TH ST / GARLAND AVE, LOUISVILLE, KY, 40211
19938, S 36TH ST / CHAUNCEY AVE, LOUISVILLE, KY, 40211
19939, S 36TH ST / REGATTA WAY, LOUISVILLE, KY, 40211
19940, S 38TH ST / SOUTHERN AVE, LOUISVILLE, KY, 40211
19941, S 38TH ST / VON SPIEGEL ST, LOUISVILLE, KY, 40211
19942, S 3RD ST / I264, LOUISVILLE, KY, 40214
19943, S 3RD ST / INVERNESS AVE, LOUISVILLE, KY, 40214
19944, S 3RD ST / IROQUOIS AVE, LOUISVILLE, KY, 40214
19945, S 40TH ST / DOERHOEFER AVE, LOUISVILLE, KY, 40211
19946, S 40TH ST / LARKWOOD AVE, LOUISVILLE, KY, 40212
19947, S 41ST ST / ALGONQUIN PKY, LOUISVILLE, KY, 40211
19948, S 42ND ST / SUNSET AVE, LOUISVILLE, KY, 40211
19949, S 45TH ST / BREWSTER AVE, LOUISVILLE, KY, 40211
19950, S 45TH ST / VIRGINIA AVE, LOUISVILLE, KY, 40211
19951, S 4TH ST / REESER PL, LOUISVILLE, KY, 40208
19952, S 5TH ST / INDUSTRY RD, LOUISVILLE, KY, 40208
19953, S 5TH ST / INVERNESS AVE, LOUISVILLE, KY, 40214
19954, S 6TH ST / BELGRAVIA CT, LOUISVILLE, KY, 40208
19955, S 6TH ST / W WOODLAWN AVE, LOUISVILLE, KY, 40214
19956, S 6TH ST, LOUISVILLE, KY, 40208
19957, S 7TH ST / GARLAND AVE, LOUISVILLE, KY, 40203
19958, S 9TH ST/ W KENTUCKY, LOUISVILLE, KY, NA
19959, S BAYLY AVE / GRINSTEAD DR, LOUISVILLE, KY, 40206
19960, S BROOK ST / E GARRETT ST, LOUISVILLE, KY, 40214
19961, S BROOK ST / E MAIN ST, LOUISVILLE, KY, 40202
19962, S CAMPBELL ST / E JEFFERSON ST, LOUISVILLE, KY, 40206
19963, S CLAY ST / E HILL ST, LOUISVILLE, KY, 40217
19964, S CLAY ST / HENRY FIRPO ST, LOUISVILLE, KY, 40203
19965, S CRESTMOOR AVE / FRANKFORT AVE, LOUISVILLE, KY, 40206
19966, S CRUMS LN / LYNNVIEW DR, LOUISVILLE, KY, 40216
19967, S FLOYD ST / HAHN ST, LOUISVILLE, KY, 40209
19968, S FLOYD ST / UNIVERSITY BLVD, LOUISVILLE, KY, 40208
19969, S HURSTBOURNE PKY / HURSTBOURNE CROSSINGS DR, LOUISVILLE, KY, 40299
19970, S HURSTBOURNE PKY / STONE CREEK PKY, LOUISVILLE, KY, 40222
19971, S HURSTBOURNE PKY / TAYLORSVILLE RD, LOUISVILLE, KY, NA
19972, S PRESTON ST / E OAK ST, LOUISVILLE, KY, 40203
19973, S SHAWNEE TER / SOUTHWESTERN PKY, LOUISVILLE, KY, 40212
19974, S SHELBY ST / SYLVIA ST, LOUISVILLE, KY, 40217
19975, SALEM AVE / W ST CATHERINE ST, LOUISVILLE, KY, 40210
19976, SENECA PARK TRACK, LOUISVILLE, KY, 40207
19977, SHAFTESBURY DR, LOUISVILLE, KY, 40222
19978, SHELBYVILLE RD / S WHIPPS MILL RD, LOUISVILLE, KY, 40222
19979, SHELBYVILLE RD / WOOD RD, LOUISVILLE, KY, 40222
19980, SHELBYVILLE RD W / I264W, LOUISVILLE, KY, 40222
19981, SIX MILE LN / WALLINGFORD LN, LOUISVILLE, KY, 40218
19982, SOUTH PARK RD / I65, LOUISVILLE, KY, 40219
19983, SOUTHSIDE DR / EVANGELINE AVE, LOUISVILLE, KY, 40214
19984, SPRINGBOURNE WAY / TOWNE CENTER DR, LOUISVILLE, KY, 40241
19985, SR GAMES - FREEDOM HALL, LOUISVILLE, KY, 40209
19986, STRADER AVE / WHEELER AVE, LOUISVILLE, KY, 40215
19987, SUN WAY DR / SUNNY VALE WAY, LOUISVILLE, KY, 40272
19988, TAYLOR BLVD / BERRY BLVD, LOUISVILLE, KY, 40215
19989, TAYLOR BLVD / I264E, LOUISVILLE, KY, 40215
19990, TAYLOR BLVD / I264W, LOUISVILLE, KY, 40215
19991, TAYLOR BLVD / STRADER AVE, LOUISVILLE, KY, 40215
19992, TAYLORSVILLE RD E / I265N, LOUISVILLE, KY, 40299
19993, TENNESSEE AVE / UTAH AVE, LOUISVILLE, KY, 40208
19994, TUSCARORA WAY / BICKNELL AVE, LOUISVILLE, KY, 40215
19995, W ASHLAND AVE / BEAVER ST, LOUISVILLE, KY, 40215
19996, W BURNETT AVE / OLIVE ST, LOUISVILLE, KY, 40210
19997, W GAULBERT AVE / WILSON AVE, LOUISVILLE, KY, 40211
19998, W JEFFERSON ST / SIMMONS CT, LOUISVILLE, KY, 40203
19999, W KENTUCKY ST / S 32ND ST, LOUISVILLE, KY, 40211
20000, W MUHAMMAD ALI BLVD / PLACE VERT, LOUISVILLE, KY, 40203
