35001, PRESTON HWY S / I65N, LOUISVILLE, KY, 40213
35748, WESTHALL AVE / WILDERNESS RD, LOUISVILLE, KY, 40214
35749, WESTHALL AVE / WOODMORE AVE, LOUISVILLE, KY, 40214
35750, WESTPORT RD / FOUNTAIN AVE, LOUISVILLE, KY, 40222
35751, WESTPORT RD / I 265 RAMP, LOUISVILLE, KY, 40241
35752, WESTPORT RD / LYNDON LN, LOUISVILLE, KY, 40222
35753, WESTPORT RD / N HURSTBOURNE PKY, LOUISVILLE, KY, 40241
35754, WESTPORT RD / OLD WESTPORT RD, LOUISVILLE, KY, 40222
35755, WESTPORT RD / STONEHURST DR, LOUISVILLE, KY, 40242
35756, WESTPORT RD / WESTPORT DR, LOUISVILLE, KY, 40207
35757, WESTPORT RD / WESTPORT TER, LOUISVILLE, KY, 40207
35758, WESTPORT RD E / I265S, LOUISVILLE, KY, 40241
35759, WF - BELVEDERE CONNECTOR, LOUISVILLE, KY, 40202
35760, WF - BIG FOUR BRIDGE, LOUISVILLE, KY, NA
35761, WF - BLUE LOT, LOUISVILLE, KY, 40202
35762, WF - SPIRIT OF JEFFERSONVILLE, LOUISVILLE, KY, NA
35763, WHIPPS MILL RD / LA GRANGE RD, LOUISVILLE, KY, 40223
35764, WILDWOOD CT / WILDWOOD LN, LOUISVILLE, KY, 40223
35765, WILLIS AVE / BRECKENRIDGE LN, LOUISVILLE, KY, 40207
35766, WILLIS AVE / WILTSHIRE AVE, LOUISVILLE, KY, 40207
35767, WILLIS AVE / WILTSHIRE AVE, LOUISVILLE, KY, NA
35768, WILLOW STONE WAY/CLUB OAK CT, LOUISVILLE, KY, NA
35769, WILLOWVIEW BLVD / WALNUT VIEW WAY, LOUISVILLE, KY, 40299
35770, WILSON AVE / ANNIE ST, LOUISVILLE, KY, 40211
35771, WILSON AVE / OLIVE ST, LOUISVILLE, KY, 40211
35772, WILSON AVE / W GAULBERT AVE, LOUISVILLE, KY, 40211
35773, WILSON AVE / W HILL ST, LOUISVILLE, KY, 40211
35774, WILSON AVE/W HILL ST, LOUISVILLE, KY, NA
35775, WILTSHIRE AVE / WILMINGTON AVE, LOUISVILLE, KY, 40207
35776, WINKLER AVE / ALGONQUIN PKY, LOUISVILLE, KY, 40208
35777, WINKLER AVE / MONTANA AVE, LOUISVILLE, KY, 40208
35778, WINKLER AVE / S 4TH ST, LOUISVILLE, KY, 40208
35779, WINTER AVE, LOUISVILLE, KY, NA
35780, WINTERLEAF DR / PEPPERBUSH RD, LOUISVILLE, KY, 40207
35781, WOLF PEN BRANCH RD / WOLF RIDGE RD, LOUISVILLE, KY, 40059
35782, WOOD BRIAR CT / WOOD BRIAR RD, LOUISVILLE, KY, 40241
35783, WOOD HOLLOW RD / WOODSEND RD, LOUISVILLE, KY, 40229
35784, WOODBINE ST / I65, LOUISVILLE, KY, 40208
35785, WOODGREEN CT / W WHEATMORE DR, LOUISVILLE, KY, 40215
35786, WOODHAVEN PLACE DR / HAVEN MANOR WAY, LOUISVILLE, KY, 40228
35787, WOODLAND AVE / BEECH ST, LOUISVILLE, KY, 40211
35788, WOODLAND AVE / CATALPA ST, LOUISVILLE, KY, 40211
35789, WOODLAND DR / CANE RUN RD, LOUISVILLE, KY, 40216
35790, WOODPOINTE BLVD / SONOMA LN, LOUISVILLE, KY, 40219
35791, WOODRUFF AVE / STRADER AVE, LOUISVILLE, KY, 40215
35792, WROCKLAGE AVE / DOROTHY AVE, LOUISVILLE, KY, 40205
35793, YEW LN / YAUPON LN, LOUISVILLE, KY, 40213
35794, YORK ST / S 5TH ST, LOUISVILLE, KY, 40203
35795, YORKTOWN RD / NATIONAL TPKE, LOUISVILLE, KY, 40214
35796, YVONNE CT / DOMINIQUE DR, LOUISVILLE, KY, 40228
35797, ZEV WAY, LOUISVILLE, KY, NA
35798, ZIEGLER ST / S SHELBY ST, LOUISVILLE, KY, 40217
35799, ZORN AVE / JARVIS WOODS CT, LOUISVILLE, KY, 40206
