28001, SHADOW RUN RD / SHADY VILLA DR, LOUISVILLE, KY, 40219
28822, 1200 S 3RD STREET, LOUISVILLE, KY, 40291
28823, 1200 S FLOYD ST, LOUISVILLE, KY, NA
28824, 1200 SHARP AVE, LOUISVILLE, KY, 40208
28825, 1200 SHELBY ST, LOUISVILLE, KY, 40203
28826, 1200 SIX MILE LN, LOUISVILLE, KY, 40215
28827, 1200 STONEWALL WAY, LOUISVILLE, KY, 40242
28828, 1200 SUGAR PINE TER, LOUISVILLE, KY, 40243
28829, 1200 TAYLOR BLVD, LOUISVILLE, KY, 40215
28830, 1200 VILLAGE WEST DR, LOUISVILLE, KY, 40203
28831, 1200 W ASHLAND AVE, LOUISVILLE, KY, 40213
28832, 1200 W BROADWAY, LOUISVILLE, KY, 40212
28833, 1200 W KENTUCKY ST, LOUISVILLE, KY, 40210
28834, 1200 W ORMSBY AVE, LOUISVILLE, KY, 40210
28835, 1200 WATTERSON TRL, LOUISVILLE, KY, 40299
28836, 1200 WELLER AVE, LOUISVILLE, KY, 40215
28837, 1200 WESTLYNNE WAY, LOUISVILLE, KY, 40222
28838, 1200 WESTPORT RD, LOUISVILLE, KY, 40208
28839, 1200 WILLOW AVE, LOUISVILLE, KY, NA
28840, 12000 AIKEN RD, LOUISVILLE, KY, 40243
28841, 12000 BETTYE ANN CT, LOUISVILLE, KY, 40299
28842, 12000 CATHERINE LN, LOUISVILLE, KY, 40203
28843, 12000 DOE RIDGE PL, LOUISVILLE, KY, 40299
28844, 12000 LONG VIEW FARM DR, LOUISVILLE, KY, 40299
28845, 12000 MEADOW LN, LOUISVILLE, KY, 40243
28846, 12000 OLD SHELBYVILLE RD, LOUISVILLE, KY, 40243
28847, 12000 PLEASANT LAWN CT, LOUISVILLE, KY, 40299
28848, 12000 SEATONVILLE RD, LOUISVILLE, KY, 40299
28849, 1200B LONGFIELD AVE, LOUISVILLE, KY, NA
28850, 12100 EASTBAY CT, LOUISVILLE, KY, 40245
28851, 12100 EDENWOOD DR, LOUISVILLE, KY, 40243
28852, 12100 ORELL RD, LOUISVILLE, KY, 40272
28853, 12100 PARKVIEW TRACE DR, LOUISVILLE, KY, 40229
28854, 12100 PLEASURE LANE, LOUISVILLE, KY, 40272
28855, 1214 MOORE CT APT#A, LOUISVILLE, KY, NA
28856, 12200 BAY RUN DR, LOUISVILLE, KY, 40245
28857, 12200 BIG BEAR PL, LOUISVILLE, KY, 40299
28858, 12200 CHRISTMAN DR, LOUISVILLE, KY, 40229
28859, 12200 LA GRANGE RD, LOUISVILLE, KY, 40245
28860, 12200 PLANTSIDE DR, LOUISVILLE, KY, NA
28861, 12300 AMBER WOODS CT, LOUISVILLE, KY, 40245
28862, 12300 GONDOLA PARKWAY, LOUISVILLE, KY, 46845
28863, 12300 I 65 NORTH, LOUISVILLE, KY, 40229
28864, 12300 OLD HENRY RD, LOUISVILLE, KY, 40223
28865, 12300 PARK FIELD RD, LOUISVILLE, KY, 40223
28866, 12300 SEATONVILLE RD, LOUISVILLE, KY, 40299
28867, 124.2 I65N, LOUISVILLE, KY, 40229
28868, 12400 COMMONS LAKE CT, LOUISVILLE, KY, 40299
28869, 12400 CROSSWINDS DRIVE, LOUISVILLE, KY, 40241
28870, 12400 E ORELL RD, LOUISVILLE, KY, 40272
28871, 12400 HERSFIELD RD, LOUISVILLE, KY, 40243
28872, 12400 HWY 22/HURSTBOURNE PKWY, LOUISVILLE, KY, 40241
28873, 12400 OLD DIXIE HWY, LOUISVILLE, KY, 40272
28874, 12400 OLD HENRY RD, LOUISVILLE, KY, 40223
28875, 12400 OLD SHELBYVILLE RD, LOUISVILLE, KY, 40245
28876, 12400 OLD SHELBYVILLE ROAD, LOUISVILLE, KY, 40243
28877, 12400 SEATONVILLE RD, LOUISVILLE, KY, 40299
28878, 12400 WYNMEADE PL, LOUISVILLE, KY, 40223
28879, 125.2 I65S, LOUISVILLE, KY, 40219
28880, 12500 AIKEN RD, LOUISVILLE, KY, 40223
28881, 12500 AVOCA RD, LOUISVILLE, KY, 40223
28882, 12500 DEER LAKE LN, LOUISVILLE, KY, 40299
28883, 12500 ORELL STATION PL, LOUISVILLE, KY, 40272
28884, 12500 REHL RD, LOUISVILLE, KY, 40299
28885, 12500 SAW MILL RD, LOUISVILLE, KY, 40272
28886, 12500 SNAWDER LN, LOUISVILLE, KY, 40118
28887, 12500 WESTPORT, LOUISVILLE, KY, 40243
28888, 1255 BARDSTOWN RD, LOUISVILLE, KY, NA
28889, 1259 E BURNETT AVE, LOUISVILLE, KY, NA
28890, 12600 AVOCA RD, LOUISVILLE, KY, 40223
28891, 12600 E ORELL RD, LOUISVILLE, KY, 40258
28892, 12600 I265N @ TAYLORSVILLE RD, LOUISVILLE, KY, 40299
28893, 12600 ORELL RD, LOUISVILLE, KY, 40272
28894, 12600 REGAL LILY TER, LOUISVILLE, KY, 40243
28895, 12600 SUMMER SPRING CT, LOUISVILLE, KY, 40243
28896, 1265 GOSS AVE, LOUISVILLE, KY, NA
28897, 127 I65N, LOUISVILLE, KY, 40219
28898, 12700 I 65 SOUTH, LOUISVILLE, KY, 40219
28899, 12700 LOWER RIVER RD, LOUISVILLE, KY, 40272
28900, 12700 SEATONVILLE RD, LOUISVILLE, KY, 40299
28901, 12711 E ORELL RD, LOUISVILLE, KY, NA
28902, 128 I65N, LOUISVILLE, KY, 40213
28903, 12800 DEWSBURY WAY, LOUISVILLE, KY, 40299
28904, 12800 LAMEL DR, LOUISVILLE, KY, 40299
28905, 12800 SCOTTS GAP RD, LOUISVILLE, KY, 40272
28906, 12800 SHERINGHAM LN, LOUISVILLE, KY, 40299
28907, 12800 URTON LN, LOUISVILLE, KY, 40243
28908, 12800 WILLOW PARK DR, LOUISVILLE, KY, 40299
28909, 129 I65S, LOUISVILLE, KY, 40213
28910, 129.2 I65S, LOUISVILLE, KY, 40213
28911, 12900 COCKRELL CT, LOUISVILLE, KY, 40299
28912, 12900 I 65 NORTH, LOUISVILLE, KY, 40213
28913, 12900 I 65 SOUTH, LOUISVILLE, KY, 40213
28914, 12900 LOWER RIVER RD, LOUISVILLE, KY, 40272
28915, 12900 REHL RD, LOUISVILLE, KY, 40299
28916, 12900 S POPE LICK RD, LOUISVILLE, KY, 40299
28917, 12900 SAW MILL RD, LOUISVILLE, KY, 40272
28918, 12900 VILLA GROVE DR, LOUISVILLE, KY, 40245
28919, 13 I64W, LOUISVILLE, KY, 40220
28920, 13.2 I64W, LOUISVILLE, KY, 40222
28921, 13.4 I264E, LOUISVILLE, KY, 40213
28922, 13.4 I264W, LOUISVILLE, KY, 40213
28923, 13.8 I264E, LOUISVILLE, KY, 40213
28924, 13.8 I64E, LOUISVILLE, KY, 40220
28925, 13.8 I64W, LOUISVILLE, KY, 40222
28926, 1300 20TH ST, LOUISVILLE, KY, 40210
28927, 1300 264 W/BOUND @ TAYLOR BLVD, LOUISVILLE, KY, 40215
28928, 1300 26TH ST, LOUISVILLE, KY, 40211
28929, 1300 28TH ST, LOUISVILLE, KY, 40210
28930, 1300 28TH ST, LOUISVILLE, KY, 40211
28931, 1300 3RD ST, LOUISVILLE, KY, 40203
28932, 1300 3RD ST, LOUISVILLE, KY, 40208
28933, 1300 43RD ST, LOUISVILLE, KY, 40211
28934, 1300 6TH ST, LOUISVILLE, KY, 40208
28935, 1300 ABBEYWOOD RD, LOUISVILLE, KY, 40222
28936, 1300 ALGONQUIN PKWY, LOUISVILLE, KY, 40208
28937, 1300 AMBRIDGE DR, LOUISVILLE, KY, 40207
28938, 1300 ASHBY FARM DR, LOUISVILLE, KY, 40245
28939, 1300 BATES #4 AVE, LOUISVILLE, KY, 40219
28940, 1300 BRASSLIN AVE, LOUISVILLE, KY, 40245
28941, 1300 BROOKHURST CT, LOUISVILLE, KY, 40118
28942, 1300 CARDINAL DR, LOUISVILLE, KY, 40213
28943, 1300 CLARK STATION RD, LOUISVILLE, KY, 40023
28944, 1300 COLMAR CIR, LOUISVILLE, KY, 40211
28945, 1300 DEBARR ST, LOUISVILLE, KY, 40204
28946, 1300 DEVON PORT, LOUISVILLE, KY, NA
28947, 1300 DIXIE HWY / STONESTREET RD HWY, LOUISVILLE, KY, 40272
28948, 1300 DIXIE HWY HWY, LOUISVILLE, KY, 40210
28949, 1300 DRIFTWOOD DR, LOUISVILLE, KY, 40214
28950, 1300 DUMESNIL ST, LOUISVILLE, KY, 40210
28951, 1300 EARL AVE, LOUISVILLE, KY, 40214
28952, 1300 EASTBRIDGE CT, LOUISVILLE, KY, 40223
28953, 1300 EVANS ST, LOUISVILLE, KY, 40208
28954, 1300 FLOYD ST, LOUISVILLE, KY, 40203
28955, 1300 FLOYD ST, LOUISVILLE, KY, 40206
28956, 1300 FORDHAVEN RD, LOUISVILLE, KY, 40214
28957, 1300 GILLILAND RD, LOUISVILLE, KY, 40245
28958, 1300 HAGEN RD, LOUISVILLE, KY, 40223
28959, 1300 HEAFER RD, LOUISVILLE, KY, 40243
28960, 1300 HEMLOCK ST, LOUISVILLE, KY, 40210
28961, 1300 HEPBURN AVE, LOUISVILLE, KY, 40205
28962, 1300 HIGHLAND AVE, LOUISVILLE, KY, 40229
28963, 1300 HULL ST, LOUISVILLE, KY, 40206
28964, 1300 I 64 EAST, LOUISVILLE, KY, 40220
28965, 1300 JONI DR, LOUISVILLE, KY, 40215
28966, 1300 KENNESAW CREEK WAY, LOUISVILLE, KY, 40023
28967, 1300 KILLINEY PL, LOUISVILLE, KY, 40207
28968, 1300 LANDRUM LN, LOUISVILLE, KY, 40205
28969, 1300 LILLIAN AVE, LOUISVILLE, KY, 40219
28970, 1300 LUCY DR, LOUISVILLE, KY, 40004
28971, 1300 MAIN ST, LOUISVILLE, KY, 40206
28972, 1300 MCKINLEY AVE, LOUISVILLE, KY, 40217
28973, 1300 MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203
28974, 1300 OLEANDA AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
28975, 1300 POPLAR LEVEL RD, LOUISVILLE, KY, 40213
28976, 1300 PRESTON ST, LOUISVILLE, KY, 40202
28977, 1300 PROVIDENT CREEK CT, LOUISVILLE, KY, 40023
28978, 1300 S 4TH ST, LOUISVILLE, KY, 40203
28979, 1300 S 9TH ST, LOUISVILLE, KY, 40208
28980, 1300 S PRESTON ST, LOUISVILLE, KY, NA
28981, 1300 SALE AVE AVE, LOUISVILLE, KY, 40215
28982, 1300 ST LOUIS AVE, LOUISVILLE, KY, 40210
28983, 1300 THORNBERRY AVE, LOUISVILLE, KY, 40258
28984, 1300 VILLA PARK DRIVE, LOUISVILLE, KY, 40219
28985, 1300 WALTER AVE, LOUISVILLE, KY, 40214
28986, 1300 WALTER AVE, LOUISVILLE, KY, 40218
28987, 1300 WALTER AVENUE AVE, LOUISVILLE, KY, 40215
28988, 1300 WAXWING PL, LOUISVILLE, KY, 40243
28989, 1300 WHIRLAWAY, LOUISVILLE, KY, 40223
28990, 1300 WILLOW BEND PL, LOUISVILLE, KY, 40299
28991, 13000 FAIRDALE RD, LOUISVILLE, KY, 40272
28992, 13000 MAGISTERIAL DR, LOUISVILLE, KY, 40223
28993, 13000 ORELL RD, LOUISVILLE, KY, 40272
28994, 13000 S POPE LICK RD, LOUISVILLE, KY, 40299
28995, 13000 SCOTTS GAP RD, LOUISVILLE, KY, 40272
28996, 13000 WINDSOR CIR, LOUISVILLE, KY, 66209
28997, 131 I65N, LOUISVILLE, KY, 40213
28998, 131.8 I65N, LOUISVILLE, KY, 40217
28999, 1310 OLIVE ST, LOUISVILLE, KY, NA
29000, 13100 E ORELL RD, LOUISVILLE, KY, 40272
