1, COMMUNITY / LARGE, LOUISVILLE, KY, 40056
876, 2500 MAGAZINE ST, LOUISVILLE, KY, 40211
877, 2600 PENNACOOK RD, LOUISVILLE, KY, 40214
878, 2700 GREENWOOD AVE, LOUISVILLE, KY, 40211
879, 3100 W BROADWAY, LOUISVILLE, KY, 40211
880, 3400 LARKWOOD AVE, LOUISVILLE, KY, 40212
881, 3700 KLONDIKE LN, LOUISVILLE, KY, 40220
882, 4000 HERMAN ST, LOUISVILLE, KY, 40212
883, 8100 NATIONAL TPKE, LOUISVILLE, KY, 40214
884, 1000 BAXTER AVE, LOUISVILLE, KY, 40204
885, 10700 DIXIE HWY, LOUISVILLE, KY, 40272
886, 1300 VIM DR, LOUISVILLE, KY, 40213
887, 1700 WEST CREEK WAY, LOUISVILLE, KY, 40242
888, 2000 RIVER RD, LOUISVILLE, KY, 40206
889, 2800 SLEVIN ST, LOUISVILLE, KY, 40212
890, 300 E GAULBERT AVE, LOUISVILLE, KY, 40208
891, 3700 WOODRUFF AVE, LOUISVILLE, KY, 40215
892, 4400 TOWNE CENTER DR, LOUISVILLE, KY, 40241
893, 7700 PRESTON HWY, LOUISVILLE, KY, 40219
894, 900 S 26TH ST, LOUISVILLE, KY, 40210
895, 100 GILLETTE AVE, LOUISVILLE, KY, 40214
896, 1600 BEECHWOOD AVE, LOUISVILLE, KY, 40204
897, 1700 S 2ND ST, LOUISVILLE, KY, 40208
898, 1800 W KENTUCKY ST, LOUISVILLE, KY, 40210
899, 4000 S 3RD ST, LOUISVILLE, KY, 40214
900, 4100 FLINTLOCK DR, LOUISVILLE, KY, 40216
901, 4300 TIM TAM TRL, LOUISVILLE, KY, 40272
902, 6300 FERN VALLEY WAY, LOUISVILLE, KY, 40219
903, 700 PHILLIPS LN, LOUISVILLE, KY, 40209
904, 900 CAMDEN AVE, LOUISVILLE, KY, 40215
905, NATIONAL TPKE / OUTER LOOP, LOUISVILLE, KY, 40214
906, 1200 BICKNELL AVE, LOUISVILLE, KY, 40215
907, 2000 S HURSTBOURNE PKY, LOUISVILLE, KY, 40220
908, 100 POPE ST, LOUISVILLE, KY, 40206
909, 1000 ESQUIRE ALY, LOUISVILLE, KY, 40203
910, 1900 W MADISON ST, LOUISVILLE, KY, 40203
911, 2400 W MAIN ST, LOUISVILLE, KY, 40212
912, 2600 ALFORD AVE, LOUISVILLE, KY, 40212
913, 3000 SPRINGTIME AVE, LOUISVILLE, KY, 40272
914, 3200 E INDIAN TRL, LOUISVILLE, KY, 40213
915, 4000 WOODRUFF AVE, LOUISVILLE, KY, 40215
916, 700 HEYWOOD AVE, LOUISVILLE, KY, 40208
917, GRADE LN / PRESTON HWY, LOUISVILLE, KY, 40213
918, 100 MILLS DR, LOUISVILLE, KY, 40216
919, 1500 S 3RD ST, LOUISVILLE, KY, 40208
920, 1800 DIXIE HWY, LOUISVILLE, KY, 40210
921, 300 E OAK ST, LOUISVILLE, KY, 40203
922, 3600 WHEELER AVE, LOUISVILLE, KY, 40215
923, 3700 CRAIG AVE, LOUISVILLE, KY, 40215
924, 3900 BARDSTOWN RD, LOUISVILLE, KY, 40218
925, 400 LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40212
926, 6300 BARDSTOWN RD, LOUISVILLE, KY, 40291
927, 8200 CANDLEWORTH DR, LOUISVILLE, KY, 40214
928, S 26TH ST / W MADISON ST, LOUISVILLE, KY, 40211
929, S 4TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40202
930, 1300 WALTER AVE, LOUISVILLE, KY, 40215
931, 1500 CASTLEWOOD AVE, LOUISVILLE, KY, 40204
932, 200 GRANVIL DR, LOUISVILLE, KY, 40218
933, 2000 LANDING DR, LOUISVILLE, KY, 40218
934, 2300 TERRIER CT, LOUISVILLE, KY, 40218
935, 2500 DUNCAN ST, LOUISVILLE, KY, 40212
936, 300 N 20TH ST, LOUISVILLE, KY, 40203
937, 4500 S 2ND ST, LOUISVILLE, KY, 40214
938, 5600 INDIAN OAKS CIR, LOUISVILLE, KY, 40219
939, 5800 LISA CT, LOUISVILLE, KY, 40291
940, 6700 PRESTON HWY, LOUISVILLE, KY, 40219
941, 700 S 3RD ST, LOUISVILLE, KY, 40202
942, 800 S 32ND ST, LOUISVILLE, KY, 40211
943, CAMP ST / S PRESTON ST, LOUISVILLE, KY, 40203
944, S 1ST ST / E JEFFERSON ST, LOUISVILLE, KY, 40202
945, 1200 PLACE NOIR, LOUISVILLE, KY, 40203
946, 1500 CYPRESS ST, LOUISVILLE, KY, 40210
947, 1700 BARDSTOWN RD, LOUISVILLE, KY, 40205
948, 2300 LEXINGTON RD, LOUISVILLE, KY, 40206
949, 400 S 20TH ST, LOUISVILLE, KY, 40203
950, 5300 VALKYRIE WAY, LOUISVILLE, KY, 40272
951, 800 S 23RD ST, LOUISVILLE, KY, 40211
952, 800 S 31ST ST, LOUISVILLE, KY, 40211
953, 800 S BROOK ST, LOUISVILLE, KY, 40203
954, 1000 DRESDEN AVE, LOUISVILLE, KY, 40215
955, 1200 CHEROKEE RD, LOUISVILLE, KY, 40204
956, 1300 BERRY BLVD, LOUISVILLE, KY, 40215
957, 1700 ST LOUIS AVE, LOUISVILLE, KY, 40210
958, 1800 S HURSTBOURNE PKY, LOUISVILLE, KY, 40220
959, 2300 MAGAZINE ST, LOUISVILLE, KY, 40211
960, 2600 GARLAND AVE, LOUISVILLE, KY, 40211
961, 2700 BANK ST, LOUISVILLE, KY, 40212
962, 2700 BROWNSBORO RD, LOUISVILLE, KY, 40206
963, 300 N 26TH ST, LOUISVILLE, KY, 40212
964, 400 IOWA AVE, LOUISVILLE, KY, 40208
965, 400 W MARKET ST, LOUISVILLE, KY, 40202
966, 4400 OUTER LOOP, LOUISVILLE, KY, 40219
967, 4900 CAWOOD DR, LOUISVILLE, KY, 40218
968, N HURSTBOURNE PKY / WESTPORT RD, LOUISVILLE, KY, 40241
969, S 12TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203
970, S 41ST ST / W MARKET ST, LOUISVILLE, KY, 40212
971, W BROADWAY / CECIL AVE, LOUISVILLE, KY, 40211
972, 1000 SEELBACH AVE, LOUISVILLE, KY, 40215
973, 11300 WESTPORT RD, LOUISVILLE, KY, 40241
974, 1200 SOUTHWESTERN PKY, LOUISVILLE, KY, 40211
975, 1300 S 6TH ST, LOUISVILLE, KY, 40208
976, 1600 CLOVER ST, LOUISVILLE, KY, 40216
977, 2200 HEATHER LN, LOUISVILLE, KY, 40218
978, 2800 S FLOYD ST, LOUISVILLE, KY, 40209
979, 2900 HIKES LN, LOUISVILLE, KY, 40218
980, 3400 W JEFFERSON ST, LOUISVILLE, KY, 40212
981, 3600 W BROADWAY, LOUISVILLE, KY, 40211
982, 4200 SUMMIT PLAZA DR, LOUISVILLE, KY, 40241
983, 4800 SOUTHSIDE DR, LOUISVILLE, KY, 40214
984, 700 E JACOB ST, LOUISVILLE, KY, 40203
985, 900 VINE ST, LOUISVILLE, KY, 40204
986, E BROADWAY / S PRESTON ST, LOUISVILLE, KY, 40202
987, 100 S 37TH ST, LOUISVILLE, KY, 40212
988, 1400 BICKNELL AVE, LOUISVILLE, KY, 40215
989, 2600 HALE AVE, LOUISVILLE, KY, 40211
990, 2800 S 3RD ST, LOUISVILLE, KY, 40208
991, 3000 CHAMBERLAIN LN, LOUISVILLE, KY, 40241
992, 3900 SOUTHERN PKY, LOUISVILLE, KY, 40214
993, 500 CAMP ST, LOUISVILLE, KY, 40203
994, 600 S 11TH ST, LOUISVILLE, KY, 40203
995, 6600 SOUTHSIDE DR, LOUISVILLE, KY, 40214
996, 700 ROSELANE ST, LOUISVILLE, KY, 40203
997, 7400 DIXIE HWY, LOUISVILLE, KY, 40258
998, 900 ASH ST, LOUISVILLE, KY, 40217
999, 100 W OAK ST, LOUISVILLE, KY, 40203
1000, 1000 MARY ST, LOUISVILLE, KY, 40204
