block_address_expanded,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
1300 SENITA CACTUS ST,,,,,,,1,,,,,,1
1300 SHARONDALE ST,1,,,,,,,,,,,,1
1300 SOAPTREE LN,,,,,1,,,,,,,,1
1300 SOUTH BEACH ST,,1,,,,,,,,,,,1
1300 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,,,,,,,1
1300 STEPHENSON ST,,,1,,,,,,,,,,1
1300 SYLVANIA CT,,,,1,,,,,,,,,1
1300 TOWN SQUARE DR,,,1,,,,,,,,,,1
1300 TRAVIS AV,1,,,,,,,,,,,,1
1300 TRISTAN LN,,,1,,,,,,,,,,1
1300 VICKERY BL,,,,,,,,,,,,1,1
1300 W WAGGOMAN ST,,,,,,,,,,,1,,1
1300 WATERMAN ST,,,,,1,,,,,,,,1
1300 WEST LOOP INTERSTATE 820 820 NORTH,,,1,,,,,,,,,,1
1300 WHISPER WILLOWS DR,,,,,,,,,,,1,,1
1300 WILLOW GLEN CIR APT,,,,,,1,,,,,,,1
1300 WOODLAND,,,,,1,,,,,,,,1
1300 WOODLAND AV,,1,,,,,,,,,,,1
1300 YORKSHIRE ST,,,,,1,,,,,,,,1
13000 GATEWAY ALLIANCE DR,,,,,,,,1,,,,,1
13000 MONTE ALTO ST,,,,,,,1,,,,,,1
13000 NORTH FREEWAY,,,,,,1,,,,,,,1
13000 US 81 & US 287,1,,,,,,,,,,,,1
13100 AVONDALE FARMS RD,,,,,,,,,,,1,,1
13100 LARKS VIEW PT,,,,,1,,,,,,,,1
13100 NORTH FREEWAY SERVICE ROAD,,,,,1,,,,,,,,1
13100 RED ROBIN DR,,,,1,,,,,,,,,1
13200 BERRYWOOD TRL,,,,,1,,,,,,,,1
13200 CHEATHAM CT,,1,,,,,,,,,,,1
13200 FM,,,,,,,,,,,,1,1
13200 HARVEST RIDGE RD,,,,,,1,,,,,,,1
13200 PADRE AVE,,,,,1,,,,,,,,1
13300 FAA BL,,,,,1,,,,,,,,1
13300 MOONLAKE WAY,1,,,,,,,,,,,,1
13300 PADRE AV,,,1,,,,,,,,,,1
13400 AUSTIN STONE DR,,,1,,,,,,,,,,1
13400 FISHING HOLE LN,,,,1,,,,,,,,,1
13400 INDEPENDENCE PK,,,,,1,,,,,,,,1
13400 LOST SPURS RD,,,,,,1,,,,,,,1
13400 MOONLAKE WAY,,1,,,,,,,,,,,1
13400 SOUTH FREEWAY SERVICE ROAD,,,,1,,,,,,,,,1
13500 QUARRY TRACE ST,,,,,1,,,,,,,,1
13600 FISHING HOLE LN,,,,,1,,,,,,,,1
13600 KOEN LN,,,,,,1,,,,,,,1
13600 RACEWAY DR,,,,,,,,,1,,,,1
13600 TRAIL BREAK DR,,,,1,,,,,,,,,1
13700 2 PINNACLE CI W,,,1,,,,,,,,,,1
13700 ALTERNA DR,,,,,1,,,,,,,,1
13800 AVIATOR WAY,1,,,,,,,,,,,,1
13800 FM,,,,,,,,1,,,,,1
13800 HIGH MESA RD,,,,1,,,,,,,,,1
13800 HUNTER JAKE DR,,1,,,,,,,,,,,1
13800 INDEPENDENCE PK,,,,,,,,,,,,1,1
13800 LOST SPURS RD,,,,,1,,,,,,,,1
13800 RUSTLER PASS RANCH RD,,,,,,,1,,,,,,1
13800 SONTERRA RANCH RD,,,,,,1,,,,,,,1
13800 VALLEY RANCH RD,,,,1,,,,,,,,,1
13900 AVIATOR WAY,,,,,,1,,,,,,,1
13900 LOST SPURS RD,,,,,,1,,,,,,,1
13900 RUSTLER PASS RANCH RD,,,,,,,1,,,,,,1
13900 VILLAGE WAY,,,,,1,,,,,,,,1
1400 6TH AVE,,,,,1,,,,,,,,1
1400 8TH AV,,1,,,,,,,,,,,1
1400 ALTMAN DR,,,1,,,,,,,,,,1
1400 ASH CRESCENT ST,,,,,1,,,,,,,,1
1400 BAURLINE ST,,,,,,1,,,,,,,1
1400 BELLE PL,,1,,,,,,,,,,,1
1400 BINKLEY ST,,,,,1,,,,,,,,1
1400 BRIAR MEADOW DR,,,,,1,,,,,,,,1
1400 BROWNFORD DR,,,,,1,,,,,,,,1
1400 CAIRN CI,,,1,,,,,,,,,,1
1400 CHISHOLM TRAIL PKWY SERVICE ROAD,,,,,,,,,,,,1,1
1400 CLOVER LN,,,,,1,,,,,,,,1
1400 CREOSOTE DR,,,,,,1,,,,,,,1
1400 E BERRY ST,,,,,,,,,,,1,,1
1400 E INTERSTATE 820 FREEWAY,,,,1,,,,,,,,,1
1400 E LANCASTER AVE,,,,,,,,,,,1,,1
1400 E ROBERT ST,,,,,,,,,,,1,,1
1400 EAST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,1,,,,,,1
1400 ELAINE PL,,,,,,,,,,,1,,1
1400 ELKFORD LN,,,,,,,1,,,,,,1
1400 ELLIS AV,,,1,,,,,,,,,,1
1400 ELMWOOD AV,1,,,,,,,,,,,,1
1400 EVANS A,1,,,,,,,,,,,,1
1400 EVANS AV,1,,,,,,,,,,,,1
1400 FAIRMOUNT AVE,,,,1,,,,,,,,,1
1400 GRADY LEE ST,,,,,1,,,,,,,,1
1400 HAMSTED ST,1,,,,,,,,,,,,1
1400 HANDLEY DR,,,,,1,,,,,,,,1
1400 HILLCREST ST,,1,,,,,,,,,,,1
1400 HURLEY AVE,,,,1,,,,,,,,,1
1400 I M TERRELL CIR N,,,,,,,1,,,,,,1
1400 I M TERRELL CIR S,,,,1,,,,,,,,,1
1400 IM TERRELL CIR,,,,,,,,,,,,1,1
1400 INTERMODAL PK,,,,,,,,,,,,1,1
1400 INTERSTATE,,,,,1,,,,,,,,1
1400 JOEL EAST RD,,,,,,1,,,,,,,1
1400 L HULEN MA,,,,,1,,,,,,,,1
1400 LUELLA ST,,,1,,,,,,,,,,1
1400 MARTIN LUTHER KING FREEWAY,,,,1,,,,,,,,,1
1400 MISSOURI AVE,,,1,,,,,,,,,,1
1400 MOUNTAIN AIR TRL,,,,,1,,,,,,,,1
1400 N JIM WRIGHT FW,,,1,,,,,,,,,,1
1400 N SYLVANIA AVE,,,,,,,,,,,1,,1
1400 NELSON PLACE,1,,,,,,,,,,,,1
1400 NICOLE WAY,,,1,,,,,,,,,,1
1400 NORMAN ST,,,,,1,,,,,,,,1
1400 NORTHEAST LOOP INTERSTATE 820 820 SERVICE ROAD,,,,,,,,1,,,,,1
1400 NORTHEAST PK,,,,,1,,,,,,,,1
1400 NORTHWEST LOOP INTERSTATE 820,,,,,1,,,,,,,,1
1400 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,,1,,,,,1
1400 NOTTINGHAM BL,,,,,,,,,,,1,,1
1400 OAK HILL RD,,,,,,1,,,,,,,1
1400 RIO GRANDE AVE,,,,,1,,,,,,,,1
1400 ROGERS RD,,,,,1,,,,,,,,1
1400 S RIVERSIDE DR,,,,,,,,,,,1,,1
1400 SHINY OAKS TR,,,1,,,,,,,,,,1
1400 SIERRA ESTATE TR,1,,,,,,,,,,,,1
1400 SOAPTREE LN,,,,,1,,,,,,,,1
1400 STALCUP RD,,,,,1,,,,,,,,1
1400 TRAVIS AVE,,,,,1,,,,,,,,1
1400 W 5TH ST,,,,,,,,,,,1,,1
1400 W 7TH ST,,,,,,,,,,,1,,1
1400 WALLACE ST,,,,,1,,,,,,,,1
1400 WASHINGTON TER,,,,,1,,,,,,,,1
1400 WEST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,,1,,,,,1
1400 WEST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,,1,,,,,1
14000 BRONC PEN LN,,,1,,,,,,,,,,1
14000 JOHN DAY RD,,,,,,1,,,,,,,1
14000 LOST SPURS RD,,,,,,,,,,,1,,1
14000 NORTH FREEWAY SERVICE ROAD,,,,,1,,,,,,,,1
14000 RODEO DAZE DR,,,,,,1,,,,,,,1
14000 SAN CHRISTOVAL PA,,1,,,,,,,,,,,1
14100 BLACK GOLD TR,,1,,,,,,,,,,,1
14100 BLACK GOLD TRL,,,,,,1,,,,,,,1
14100 ESPERANZA DR,,1,,,,,,,,,,,1
14100 JOHN DAY RD,,,,1,,,,,,,,,1
14100 STONE RD ABNER LEE DR,,,,1,,,,,,,,,1
14100 WILDCAT WAY S,,,,,,1,,,,,,,1
14200 CEDAR POST DR,1,,,,,,,,,,,,1
14200 CENTRE STATION DR,,,,,1,,,,,,,,1
14200 TIJUANA TRL,,,,,,1,,,,,,,1
14300 6 STATLER BL,,,1,,,,,,,,,,1
14300 ARTISAN DR,,,,,,,,1,,,,,1
14300 NORTH FREEWAY SERVICE ROAD,,,,1,,,,,,,,,1
14300 SERRANO RIDGE RD,,,,,,1,,,,,,,1
14300 SNAFFLE BIT TRL,,,,,1,,,,,,,,1
14400 MCCARRAN AVE,,,,,,,1,,,,,,1
14400 STORYTELLER LN,,,,1,,,,,,,,,1
14500 AIRPORT FREEWAY,,,,,,1,,,,,,,1
14500 MCCARRAN AVE,,,,,,,,1,,,,,1
14600 360,,,,,,,,1,,,,,1
14600 ELIZABETHTOWN CEMETE RD,,,,,1,,,,,,,,1
14900 FRYE RD,1,,,,,,,,,,,,1
14900 SH,,,1,,,,,,,,,,1
1500 ALDRA DR,,,,,,,,,,,1,,1
1500 AVONDALE HASLET RD,,,,,,1,,,,,,,1
1500 BARRON LN,,,1,,,,,,,,,,1
1500 BELZISE TE,,1,,,,,,,,,,,1
1500 BELZISE TER,,,,,,1,,,,,,,1
1500 BIRDS EYE RD,,,1,,,,,,,,,,1
1500 BLUEBONNET DR,,1,,,,,,,,,,,1
1500 BOLTON ST,,,,,,1,,,,,,,1
1500 CARL ST,,,,,1,,,,,,,,1
1500 CHAMA DR,,,,,,1,,,,,,,1
1500 COLONIAL PK,,,,1,,,,,,,,,1
1500 COZY DR,,,,,,,,,,,1,,1
1500 DENVER AVE,,,,1,,,,,,,,,1
1500 DIAMONDBACK LN,,,1,,,,,,,,,,1
1500 E HATTIE ST,,,,,,,,,,,1,,1
1500 E INTERSTATE 820 FREEWAY S,,,,1,,,,,,,,,1
1500 EAST FREEWAY,,,,,1,,,,,,,,1
1500 EAST I,,,,,,,1,,,,,,1
1500 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,1,,,,,,1
1500 ELAINE PL,,,1,,,,,,,,,,1
1500 ENGBLAD DR,,,,,1,,,,,,,,1
1500 ENON RD,,,1,,,,,,,,,,1
1500 EVANS AVE,,,,,,1,,,,,,,1
1500 FALLINGWATER TRL,,,,,1,,,,,,,,1
1500 GLEN GARDEN DR,,,,,,1,,,,,,,1
1500 GOULD AVE,,,,,1,,,,,,,,1
1500 GRANTLAND CI,1,,,,,,,,,,,,1
1500 HEDGEWOOD TRL,,,,,,1,,,,,,,1
1500 HORNCASTLE ST,,,,1,,,,,,,,,1
1500 HURLEY AV,,,1,,,,,,,,,,1
1500 ILLINOIS AVE,,,,,1,,,,,,,,1
1500 JASPER ST,,,,,1,,,,,,,,1
1500 JOEL EAST RD,,,,,1,,,,,,,,1
1500 L HULEN MA,1,,,,,,,,,,,,1
1500 LAGONDA AV,1,,,,,,,,,,,,1
1500 LEE AV,,1,,,,,,,,,,,1
1500 LINCOLN AV,1,,,,,,,,,,,,1
1500 LINCOLN AVE,,,,,,1,,,,,,,1
1500 MALL CIR,,,,,,,1,,,,,,1
1500 MICHAEL ST,,,,,1,,,,,,,,1
1500 MISSOURI AVE,,,,1,,,,,,,,,1
1500 MITCHELL AVE,,,,,1,,,,,,,,1
1500 MONTCLAIR DR,,,,,1,,,,,,,,1
1500 NE 28TH ST,,,,,,,,,,,1,,1
1500 NORMAN ST,,,,1,,,,,,,,,1
1500 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,1,,,,,,1
1500 NORTHWEST LOOP INTERSTATE 820,,,,1,,,,,,,,,1
1500 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY W,,,,,,1,,,,,,,1
1500 NW 25TH ST,,,,,,,,,,,1,,1
1500 OAK CLIFF RD,1,,,,,,,,,,,,1
1500 PENNSYLVANIA AV 600 8TH AV,,1,,,,,,,,,,,1
1500 PINE LN,,,,,1,,,,,,,,1
1500 QUAIL SPRINGS CIR,,,,,,1,,,,,,,1
1500 REDSTONE DR,,,1,,,,,,,,,,1
1500 RIDGMAR BL,,,,,1,,,,,,,,1
1500 ROCKWOOD LN,,,,1,,,,,,,,,1
1500 S JIM WRIGHT FW,1,,,,,,,,,,,,1
1500 SANDY LANE,,,,,1,,,,,,,,1
1500 SAXONY RD,,,,,,1,,,,,,,1
1500 SHILLING DR,,,,,,1,,,,,,,1
1500 SINGLETON CT,,1,,,,,,,,,,,1
1500 SOUTH FREEWAY,,,,,,1,,,,,,,1
1500 SOUTH FREEWAY SERVICE ROAD,,,,,,1,,,,,,,1
1500 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,1,,,,,,,,,,1
1500 STARLEE LANE,,,,,,,,,,,,1,1
1500 STEINBURG LN,,,,1,,,,,,,,,1
1500 SUNBURST DR,,,,,,1,,,,,,,1
1500 SUNNY GLEN ST,,,,1,,,,,,,,,1
1500 T R WAY,,,,,,,,,,1,,,1
1500 VELDA KAY LN,,,,,,1,,,,,,,1
1500 VERSAILLES RD,,,,,1,,,,,,,,1
1500 W ROSEDALE ST,,,,,,,,,,,1,,1
1500 WEST FR,1,,,,,,,,,,,,1
1500 WIND DANCER TR,1,,,,,,,,,,,,1
15000 STATE HWY,,,,1,,,,,,,,,1
15100 FRYE RD,,,,,1,,,,,,,,1
15100 STATE HWY,,,,,1,,,,,,,,1
15200 SEVENTEEN LAKES BL,,,,,,,,,,,1,,1
15300 RINGNECK ST,,,,,,,1,,,,,,1
15300 TRINITY BL,,,1,,,,,,,,,,1
15400 ELIZABETHTOWN CEMETE RD,,1,,,,,,,,,,,1
15400 YARBERRY DR,,,,1,,,,,,,,,1
15500 SWEETPINE LN,,,,,,,1,,,,,,1
15600 DOUBLE EAGLE BL,,,,,,,,,,1,,,1
15600 FIRE CREEK LN,,,1,,,,,,,,,,1
15600 LANDING CREEK LN,,,,,1,,,,,,,,1
15600 WHEELHORSE TRL,,,,,,,,1,,,,,1
15700 BENT ROSE WAY,1,,,,,,,,,,,,1
15700 DOUBLE EAGLE BL,,,,,,,,,,1,,,1
15700 LANDING CREEK LN,,,,,1,,,,,,,,1
15700 NORTH FREEWAY,,,,,1,,,,,,,,1
15700 WHEELHORSE TRL,,,,,,,1,,,,,,1
15800 MIRASOL DR,,,,,,1,,,,,,,1
"15800 NORTH FREEWAY SERVICE ROAD,",,,,,,,,,,,,1,1
15900 BLAKETREE DR,,,,,1,,,,,,,,1
15900 NORTH FREEWAY,,,,,,,,,,,1,,1
1600 AIRPORT FR,,,1,,,,,,,,,,1
1600 ALTA MERE DR,,,,,1,,,,,,,,1
1600 ARBOR LN,,,,,,1,,,,,,,1
1600 ARBOR RIDGE DR,,,1,,,,,,,,,,1
1600 ARIZONA AVE,,,,1,,,,,,,,,1
1600 BAURLINE ST,,,,,,1,,,,,,,1
1600 BAXTER SPRINGS DR,,,,,,,1,,,,,,1
1600 BESSIE ST,,,,1,,,,,,,,,1
1600 BIRDS EYE RD,,,,,,1,,,,,,,1
1600 BLUEBONNET DR,,,,,1,,,,,,,,1
1600 BRADFORD PL,,,,,,1,,,,,,,1
1600 CAMPBELL ST,,,,,1,,,,,,,,1
1600 COLEMAN AV,1,,,,,,,,,,,,1
1600 COLONIAL PK,,,,,,,,,,,1,,1
1600 DELGA ST,,,,,1,,,,,,,,1
1600 DUVAL ST,,,,,,1,,,,,,,1
1600 E HATTIE ST,,,,,,,,,,,1,,1
1600 E NORTHSIDE DR,,,,,,,,,,,1,,1
1600 E ROBERT ST,,,,,,,,,,,1,,1
1600 EAST FW,,,1,,,,,,,,,,1
1600 ETTA ST,,,,,,1,,,,,,,1
1600 FAITH DR,,,,1,,,,,,,,,1
1600 FENCE POST DR,,,,1,,,,,,,,,1
1600 GAINSBOROUGH WAY,,,1,,,,,,,,,,1
1600 GRADY LEE ST,,,,,,1,,,,,,,1
1600 GRANTLAND CI,,1,,,,,,,,,,,1
1600 GREEN OAKS BL,,,,,1,,,,,,,,1
1600 HEDGEWOOD TRL,,,,,1,,,,,,,,1
1600 HERITAGE PK,,,,,1,,,,,,,,1
1600 HERITAGE TRACE PK,,,,,1,,,,,,,,1
1600 HOLT ST,,,,,1,,,,,,,,1
1600 HUNTING GREEN DR,,,,1,,,,,,,,,1
1600 JANICE LN,,,,,,1,,,,,,,1
1600 KENLEY ST,,,,1,,,,,,,,,1
1600 KENNEDY ST,,,,,,1,,,,,,,1
1600 LINCOLN AVE,,,,,1,,,,,,,,1
1600 LITTLE ST,,,,,,1,,,,,,,1
1600 MARTEL AV,1,,,,,,,,,,,,1
1600 MARTEL AVE,,,,,1,,,,,,,,1
1600 MISSISSIPPI AV,1,,,,,,,,,,,,1
1600 NORTHWEST LOOP INTERSTATE 820,,,1,,,,,,,,,,1
1600 PACIFIC PL,,,,1,,,,,,,,,1
1600 PAMELA LN,,,1,,,,,,,,,,1
1600 QUEEN ST,,,,,,1,,,,,,,1
1600 QUEENS BROOK CT,,,,,,1,,,,,,,1
1600 RIVER RUN,,,,,,,,,,,1,,1
1600 ROBERTS CUT OFF RD,,,,,,1,,,,,,,1
1600 RUTHDALE DR,,,,,1,,,,,,,,1
1600 SKYLINE DR,1,,,,,,,,,,,,1
1600 SMALL ST,,,,,1,,,,,,,,1
1600 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,1,,,,,,1
1600 SOUTHWEST LOOP INTERSTATE 820,1,,,,,,,,,,,,1
1600 STELLA ST,1,,,,,,,,,,,,1
1600 TERMINAL RD,1,,,,,,,,,,,,1
1600 WARREN LN,,,,1,,,,,,,,,1
1600 WATSON ST,,,,,1,,,,,,,,1
1600 WEST FREEWAY SERVICE ROAD,,,,,,1,,,,,,,1
1600 WEST LOOP INTERSTATE 820 820 NORTH,,,,1,,,,,,,,,1
1600 WHITE SETTLEMENT RD,,1,,,,,,,,,,,1
1600 WILLOW PARK DR,,,,,1,,,,,,,,1
1600 WINDSONG TRL,,,,1,,,,,,,,,1
1600 WOODHALL WAY,,,,1,,,,,,,,,1
16000 LABONTE LN,,,,,,,,1,,,,,1
16000 PETTY PLACE,,,,,,1,,,,,,,1
16100 VICTORY CIR W,,,,,1,,,,,,,,1
16200 RED RIVER LN,,,,,1,,,,,,,,1
16200 SHAWNEE TRL,,,,,1,,,,,,,,1
16200 VICTORY CIR E,,,,,1,,,,,,,,1
16300 COWBOY TR,,,1,,,,,,,,,,1
16300 ELEMENTARY DR,,,,,,,1,,,,,,1
16300 VICTORY CIR W,,,,,,1,,,,,,,1
16400 BLUE MOUND RD,,,,,,1,,,,,,,1
16500 RED RIVER LN,,,1,,,,,,,,,,1
16700 FORD OAKS LN,,,,,,1,,,,,,,1
16700 VICTORY CIR W,,,,,,1,,,,,,,1
16900 PINERY WAY,,1,,,,,,,,,,,1
1700 0 WINDSONG TR,,,1,,,,,,,,,,1
1700 1 PENNSYLVANIA AVE W,,,,,,1,,,,,,,1
1700 3 BEAUVIOR DR,,,1,,,,,,,,,,1
1700 5TH AVE,,,,,,1,,,,,,,1
1700 8TH AV,1,,,,,,,,,,,,1
1700 ALEMEDA ST,,,,1,,,,,,,,,1
1700 ARBUCKLE DR,,,,,1,,,,,,,,1
1700 BARRON LN,,,,,1,,,,,,,,1
1700 BASSETT HOUND DR,,,,1,,,,,,,,,1
1700 CALIFORNIA PK,,,,,,1,,,,,,,1
1700 CAMPBELL ST,,,,1,,,,,,,,,1
1700 CARL ST,,,,,1,,,,,,,,1
1700 CARLETON AV,,,1,,,,,,,,,,1
1700 CARLETON AVE,,,,,1,,,,,,,,1
1700 CHRISTOPHER DR,,,,,,1,,,,,,,1
1700 COLLEGE AVE,,,,,1,,,,,,,,1
1700 DRUID CT,,1,,,,,,,,,,,1
1700 E BELKNAP ST 200 NORTH FREEWAY SERVICE ROAD,,,1,,,,,,,,,,1
1700 E INTERSTATE 820 FREEWAY,,,,,1,,,,,,,,1
1700 E INTERSTATE 820 FREEWAY N,,,,,1,,,,,,,,1
1700 E INTERSTATE 820 FW,1,,,,,,,,,,,,1
1700 E ROBERT ST,,,,,,,,,,,1,,1
1700 EAST FREEWAY,,,,,1,,,,,,,,1
1700 EAST LANCASTER AVE,1,,,,,,,,,,,,1
1700 EAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,1,,,,,,1
1700 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,1,,,,,,1
1700 ELLINGTON DR,,,,,1,,,,,,,,1
1700 ETTA ST,,,,1,,,,,,,,,1
1700 GENDY ST,,,1,,,,,,,,,,1
1700 GLENMORE AV,,1,,,,,,,,,,,1
1700 GRAVEL DR,,,1,,,,,,,,,,1
1700 GREENFIELD AV,1,,,,,,,,,,,,1
1700 HANDLEY DR,,,,,1,,,,,,,,1
1700 I-30 EAST FREEWAY,,,,,1,,,,,,,,1
1700 IM. TERRELL WAY,,,,,,,,,,,,1,1
1700 JESSIE ST,,,,,1,,,,,,,,1
1700 LIPSCOMB ST,,,,,,1,,,,,,,1
1700 MALL CIR,,,,,,,,1,,,,,1
1700 MILLER AVE,,,,,1,,,,,,,,1
1700 MISTLETOE BL,,,,,,,,,,,1,,1
1700 MONTCLAIR DR,,,,,1,,,,,,,,1
1700 MUSE ST,,,,,,1,,,,,,,1
1700 N EDGEWOOD TER,,,,,,,,,,,1,,1
1700 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY W,,,,,,1,,,,,,,1
1700 PROVINE ST,,,,,,1,,,,,,,1
1700 QUAIL GROVE DR,,,,,1,,,,,,,,1
1700 RANSOM TE,1,,,,,,,,,,,,1
1700 S HENDERSON ST,,,,,,,,,,,1,,1
1700 S RIVERSIDE DR,,,,,,,,,,,1,,1
1700 SANDY LN,,,,,,1,,,,,,,1
1700 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,,,,,,,1
1700 SOUTHWEST LOOP INTERSTATE 820 820 SERVICE ROAD,1,,,,,,,,,,,,1
1700 TERMINAL RD,,,,,,1,,,,,,,1
1700 TOM LANDRY HWY,,,,,,,,,1,,,,1
1700 TREGO DR,,,,,1,,,,,,,,1
1700 UNIVERSITY DR,,,,,1,,,,,,,,1
1700 WASHINGTON AV,,1,,,,,,,,,,,1
1700 WATAUGA RD,,,,,,,,,,,1,,1
1700 WESLEYAN ST,,1,,,,,,,,,,,1
1700 WEST FREEWAY SERVICE ROAD,,,,,,1,,,,,,,1
1700 WHISPERING COVE TRL,,,,1,,,,,,,,,1
1700 WHITE SETTLEMENT RD,,,,,,1,,,,,,,1
1700 WILD WILLOW TR,1,,,,,,,,,,,,1
1700 WILSON RD,,,,,1,,,,,,,,1
1700 WURZBURG DR,,,,,1,,,,,,,,1
17000 JACKSBORO HWY,,,,,,1,,,,,,,1
1800 8TH AV,1,,,,,,,,,,,,1
1800 AVE E,1,,,,,,,,,,,,1
1800 BELLE PL,,,,,1,,,,,,,,1
1800 BELMONT AV,,1,,,,,,,,,,,1
1800 BELSHIRE CT,,,,,1,,,,,,,,1
1800 BESSIE ST,,,,,,1,,,,,,,1
1800 BROWN BL,,,,,1,,,,,,,,1
1800 CAMPBELL ST,,,,,,,,,,,1,,1
1800 CANYON RIDGE ST,,,,1,,,,,,,,,1
1800 CARVER AVE,,,,,,1,,,,,,,1
1800 CHRISTY CT,,,,,1,,,,,,,,1
1800 COBB PARK DR,,,,,,1,,,,,,,1
1800 COLEMAN AVE,,,,,1,,,,,,,,1
1800 CROOKED LN,,,,,1,,,,,,,,1
1800 DENVER AV,,1,,,,,,,,,,,1
1800 DICKINSON AV,,1,,,,,,,,,,,1
1800 DRUID LN,,,,,1,,,,,,,,1
1800 E INTERSTATE 820 FREEWAY N,,,,,,1,,,,,,,1
1800 EAST FR,1,,,,,,,,,,,,1
1800 EAST FREEWAY,,,,,1,,,,,,,,1
1800 EAST LOOP INTERSTATE 820 820 SOUTH,,,1,,,,,,,,,,1
1800 EDGECLIFF RD LOT,,,,,,1,,,,,,,1
1800 ELK LAKE TR,,,1,,,,,,,,,,1
1800 EPHRIHAM AV,,,1,,,,,,,,,,1
1800 FAIRMOUNT AV,,1,,,,,,,,,,,1
1800 GLENMORE AVE,,,,1,,,,,,,,,1
1800 GOULD AV,,,1,,,,,,,,,,1
1800 GRANADA RD,,,,,1,,,,,,,,1
1800 HEIDELBERG DR,,,,,1,,,,,,,,1
1800 HIGHWAY,,,,,,1,,,,,,,1
1800 IM. TERRELL CIR N,,,,,1,,,,,,,,1
1800 INTERSTATE,1,,,,,,,,,,,,1
1800 JENSON RD,,,,,1,,,,,,,,1
1800 JONES ST,,,,,,1,,,,,,,1
1800 LAGONDA AV,,,1,,,,,,,,,,1
1800 LAKE SHORE CT,,,,,,1,,,,,,,1
1800 LANEWOOD DR,,,,,1,,,,,,,,1
1800 LINCOLNSHIRE WAY,,,,,1,,,,,,,,1
1800 MC CLELLAN CT,,,,,,,,,,,1,,1
1800 MISSISSIPPI AV,1,,,,,,,,,,,,1
1800 MORRISON DR,,,,,1,,,,,,,,1
1800 NORTH FR,,,,,1,,,,,,,,1
1800 NORTH-SOUTH FREEWAY,,,,,1,,,,,,,,1
1800 NORTHEAST PARKWAY,,1,,,,,,,,,,,1
1800 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,,1,,,,,1
1800 PAMELA LN,,,,,1,,,,,,,,1
1800 ROCKRIDGE TER,,,,1,,,,,,,,,1
1800 SANGUINET ST,,,1,,,,,,,,,,1
1800 SHELMAN TRL,,,,,1,,,,,,,,1
1800 SHEPHEARD DR,,,,,1,,,,,,,,1
1800 SOUTHCREST DR,,,,,1,,,,,,,,1
1800 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,,1,,,,,1
1800 SYCAMORE SCHOOL RD,,,1,,,,,,,,,,1
1800 TIERNEY RD,,,,,,1,,,,,,,1
1800 TREMONT AVE,,,,,,1,,,,,,,1
1800 UNIVERSITY DR,1,,,,,,,,,,,,1
1800 VISTA ROYALE CT,,,,,1,,,,,,,,1
1800 WARREN LN,,,,,,1,,,,,,,1
1800 WASHINGTON AV,,1,,,,,,,,,,,1
1800 WATSON ST,,,,,,1,,,,,,,1
1800 WEST FREEWAY,,,,,1,,,,,,,,1
1800 WEST LOOP INTERSTATE 820,1,,,,,,,,,,,,1
1800 WEST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,1,,,,,,1
1800 WICKHAM DR,,,,1,,,,,,,,,1
1800 WILD WILLOW TR,1,,,,,,,,,,,,1
1800 WILLOW VALE DR,,,,,1,,,,,,,,1
1800 WIND DANCER TRL,,,,,1,,,,,,,,1
1800 WISEMAN AV,,1,,,,,,,,,,,1
1800 WISTERIA CT,,,,1,,,,,,,,,1
1800 WOODCHASE DR,,,,1,,,,,,,,,1
1800 WURZBURG DR,,,,,,,,,,,1,,1
1800 YUMA ST,,,,,,1,,,,,,,1
18000 NORTH FREEWAY SERVICE ROAD,,,,,,1,,,,,,,1
1900 ALTAMESA BLVD,,,,,,,,,,,,1,1
1900 AMANDA AVE,,,,,,1,,,,,,,1
1900 AVE B,,,,,,1,,,,,,,1
1900 BASSWOOD BL,,,,,,,,,,,1,,1
1900 BERKELEY PL,1,,,,,,,,,,,,1
1900 BEVERLY AVE,,,,1,,,,,,,,,1
1900 BLUEBIRD AVE,,,,,,,,,,,1,,1
1900 BOMAR AV,,,1,,,,,,,,,,1
1900 CADDY CIRCLE,,,1,,,,,,,,,,1
1900 CARLETON AV,,,1,,,,,,,,,,1
