4001, 2900 CHERRY STREET, KANSAS CITY, MO, 64106
4788, E 18 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64127
4789, E 18 STREET and LOCUST STREET, KANSAS CITY, MO, 64109
4790, E 18 STREET and OAK STREET, KANSAS CITY, MO, 64110
4791, E 18 STREET and PASEO, KANSAS CITY, MO, 64106
4792, E 18 STREET and TROOST AVENUE, KANSAS CITY, MO, 64108
4793, E 18 STREET and VINE STREET, KANSAS CITY, MO, 64111
4794, E 18 STREET and WABASH AVENUE, KANSAS CITY, MO, 64127
4795, E 18 STREET and WALNUT STREET, KANSAS CITY, MO, 64106
4796, E 18 TERRACE and BENNINGTON AVENUE, KANSAS CITY, MO, 64128
4797, E 19 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64127
4798, E 19 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64106
4799, E 19 STREET and HIGHLAND AVENUE, KANSAS CITY, MO, 64108
4800, E 19 STREET and MONROE AVENUE, KANSAS CITY, MO, 64127
4801, E 19 STREET and WALROND AVENUE, KANSAS CITY, MO, 64127
4802, E 19 TERRACE and TOPPING AVENUE, KANSAS CITY, MO, 64126
4803, E 20 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64123
4804, E 20 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64106
4805, E 20 STREET and INDIANA AVENUE, KANSAS CITY, MO,
4806, E 20 STREET and LISTER AVENUE, KANSAS CITY, MO, 64127
4807, E 20 STREET and WALROND AVENUE, KANSAS CITY, MO,
4808, E 22 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64128
4809, E 22 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64123
4810, E 22 STREET and GILLHAM STREET, KANSAS CITY, MO, 64106
4811, E 22 STREET and GILLHAM STREET, KANSAS CITY, MO, 64108
4812, E 22 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64108
4813, E 22 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64127
4814, E 22 STREET and OAKLEY AVENUE, KANSAS CITY, MO, 64126
4815, E 22 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127
4816, E 22 STREET and WALROND AVENUE, KANSAS CITY, MO, 64127
4817, E 23 STREET and ASKEW AVENUE, KANSAS CITY, MO, 64124
4818, E 23 STREET and BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64127
4819, E 23 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64108
4820, E 23 STREET and I 70 E TO 23 STREET RA, KANSAS CITY, MO, 64124
4821, E 23 STREET and I 70 HIGHWAY, KANSAS CITY, MO, 64127
4822, E 23 STREET and I 70 HIGHWAY, KANSAS CITY, MO, 64128
4823, E 23 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64127
4824, E 23 STREET and KANSAS AVENUE, KANSAS CITY, MO, 64126
4825, E 23 STREET and MERSINGTON AVENUE, KANSAS CITY, MO, 64127
4826, E 23 STREET and OAKLEY AVENUE, KANSAS CITY, MO,
4827, E 23 TRAFFICWAY W and I 435 HIGHWAY, KANSAS CITY, MO, 64123
4828, E 23 TRAFFICWAY W and I 435 HIGHWAY, KANSAS CITY, MO, 64127
4829, E 23 TRAFFICWAY W and I 435 HIGHWAY, KANSAS CITY, MO, 64130
4830, E 24 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64127
4831, E 24 STREET and CYPRESS AVENUE, KANSAS CITY, MO, 64107
4832, E 24 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64127
4833, E 24 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64126
4834, E 24 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64123
4835, E 24 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64127
4836, E 24 STREET and NORTON AVENUE, KANSAS CITY, MO, 64127
4837, E 24 STREET and POPLAR AVE, KANSAS CITY, MO, 64128
4838, E 24 STREET and POPLAR AVENUE, KANSAS CITY, MO, 64127
4839, E 24 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64127
4840, E 24 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64126
4841, E 24 TERRACE and MONTGALL AVENUE, KANSAS CITY, MO, 64127
4842, E 25 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64127
4843, E 25 STREET and BOOTH AVENUE, KANSAS CITY, MO, 64126
4844, E 25 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64127
4845, E 25 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64127
4846, E 25 STREET and LAWN AVENUE, KANSAS CITY, MO, 64127
4847, E 25 STREET and NORTON AVENUE, KANSAS CITY, MO, 64127
4848, E 25 STREET and PASEO, KANSAS CITY, MO, 64109
4849, E 25 STREET and WABASH AVENUE, KANSAS CITY, MO, 64109
4850, E 25 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64112
4851, E 26 STREET and DRURY AVENUE, KANSAS CITY, MO, 64127
4852, E 26 STREET and LAWNDALE AVENUE, KANSAS CITY, MO, 64127
4853, E 26 STREET and LISTER AVENUE, KANSAS CITY, MO, 64127
4854, E 26 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64127
4855, E 26 STREET and MYRTLE AVENUE, KANSAS CITY, MO, 64127
4856, E 26 STREET and NORTON AVENUE, KANSAS CITY, MO, 64124
4857, E 26 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64131
4858, E 26 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64127
4859, E 26 STREET and WALROND AVENUE, KANSAS CITY, MO, 64127
4860, E 26 TERRACE and TOPPING AVENUE, KANSAS CITY, MO,
4861, E 27 STREET and AGNES AVENUE, KANSAS CITY, MO, 64127
4862, E 27 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64108
4863, E 27 STREET and COLORADO AVENUE, KANSAS CITY, MO, 64127
4864, E 27 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64108
4865, E 27 STREET and GILLHAM ROAD, KANSAS CITY, MO, 64111
4866, E 27 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64108
4867, E 27 STREET and I 70 HIGHWAY OFF RA, KANSAS CITY, MO, 64123
4868, E 27 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64111
4869, E 27 STREET and MONROE AVENUE, KANSAS CITY, MO, 64127
4870, E 27 STREET and OAKLEY AVENUE, KANSAS CITY, MO, 64127
4871, E 27 STREET and PROSPECT AVENUE, KANSAS CITY, MO,
4872, E 27 STREET and TRACY AVENUE, KANSAS CITY, MO, 64108
4873, E 27 STREET and VINE STREET, KANSAS CITY, MO, 64108
4874, E 27 TERRACE and HOLMES STREET, KANSAS CITY, MO, 64110
4875, E 28 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64109
4876, E 28 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64109
4877, E 28 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64124
4878, E 28 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64127
4879, E 28 STREET and MERSINGTON AVENUE, KANSAS CITY, MO, 64128
4880, E 28 STREET and MONROE AVENUE, KANSAS CITY, MO, 64128
4881, E 28 STREET and QUINCY AVENUE, KANSAS CITY, MO, 64128
4882, E 28 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64128
4883, E 28 STREET and TRACY AVENUE, KANSAS CITY, MO, 64109
4884, E 28 STREET and VINE STREET, KANSAS CITY, MO, 64109
4885, E 28 STREET and WABASH AVENUE, KANSAS CITY, MO, 64128
4886, E 28 TERRACE and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127
4887, E 29 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64127
4888, E 29 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64109
4889, E 29 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64127
4890, E 29 STREET and HIGHLAND AVENUE, KANSAS CITY, MO, 64108
4891, E 29 STREET and OLIVE STREET, KANSAS CITY, MO, 64109
4892, E 29 STREET and TROOST AVENUE, KANSAS CITY, MO, 64109
4893, E 29 STREET and WALROND AVENUE, KANSAS CITY, MO, 64127
4894, E 3 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64105
4895, E 3 STREET and MAIN STREET, KANSAS CITY, MO, 64106
4896, E 3 STREET and OAK STREET, KANSAS CITY, MO, 64108
4897, E 3 STREET and WALNUT STREET, KANSAS CITY, MO, 64106
4898, E 30 STREET and BALES AVENUE, KANSAS CITY, MO, 64128
4899, E 30 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64109
4900, E 30 STREET and OAK STREET, KANSAS CITY, MO, 64108
4901, E 30 TERRACE and OAKLEY AVENUE, KANSAS CITY, MO, 64128
4902, E 30 TERRACE and STARK AVENUE, KANSAS CITY, MO, 64129
4903, E 31 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64130
4904, E 31 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64130
4905, E 33 STREET and BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64130
4906, E 33 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64127
4907, E 33 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64128
4908, E 33 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127
4909, E 33 STREET and SOUTH BENTON AVENUE, KANSAS CITY, MO, 64128
4910, E 33 STREET and WABASH AVENUE, KANSAS CITY, MO, 64111
4911, E 33 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64110
4912, E 34 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64128
4913, E 34 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64109
4914, E 34 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64109
4915, E 34 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64127
4916, E 34 STREET and MERSINGTON AVENUE, KANSAS CITY, MO, 64128
4917, E 34 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64127
4918, E 34 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64110
4919, E 34 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64120
4920, E 34 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64124
4921, E 34 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64126
4922, E 34 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127
4923, E 34 STREET and TROOST AVENUE, KANSAS CITY, MO, 64110
4924, E 34 STREET and WABASH AVENUE, KANSAS CITY, MO, 64109
4925, E 34 TERRACE and WARWICK BOULEVARD, KANSAS CITY, MO, 64111
4926, E 35 STREET and BALES AVENUE, KANSAS CITY, MO, 64127
4927, E 35 STREET and BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64130
4928, E 35 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64128
4929, E 35 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64127
4930, E 35 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64128
4931, E 35 STREET and HIGHLAND AVENUE, KANSAS CITY, MO, 64110
4932, E 35 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64127
4933, E 35 STREET and MERSINGTON AVENUE, KANSAS CITY, MO, 64127
4934, E 35 STREET and NORTON AVENUE, KANSAS CITY, MO, 64127
4935, E 35 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64110
4936, E 35 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64111
4937, E 35 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64126
4938, E 35 STREET and S EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64128
4939, E 35 STREET and TROOST AVENUE, KANSAS CITY, MO, 64109
4940, E 35 STREET and WABASH AVENUE, KANSAS CITY, MO, 64110
4941, E 35 STREET and WABASH AVENUE, KANSAS CITY, MO, 64128
4942, E 36 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64109
4943, E 36 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64128
4944, E 36 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130
4945, E 36 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64131
4946, E 36 STREET and WABASH AVENUE, KANSAS CITY, MO, 64110
4947, E 36 STREET and WABASH AVENUE, KANSAS CITY, MO, 64130
4948, E 37 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64130
4949, E 37 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64101
4950, E 37 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64128
4951, E 37 STREET and MERSINGTON AVENUE, KANSAS CITY, MO, 64128
4952, E 37 STREET and OLIVE STREET, KANSAS CITY, MO, 64127
4953, E 37 STREET and PASEO, KANSAS CITY, MO, 64111
4954, E 37 STREET and WABASH AVENUE, KANSAS CITY, MO, 64110
4955, E 37 STREET and WAYNE AVENUE, KANSAS CITY, MO, 64109
4956, E 38 STREET and ASKEW AVENUE, KANSAS CITY, MO, 64130
4957, E 38 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64128
4958, E 38 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64109
4959, E 38 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64129
4960, E 38 STREET and WABASH AVENUE, KANSAS CITY, MO, 64128
4961, E 39 PL and CHELSEA STREET, KANSAS CITY, MO, 64130
4962, E 39 STREET and BALES AVENUE, KANSAS CITY, MO, 64130
4963, E 39 STREET and BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64130
4964, E 39 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64111
4965, E 39 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64130
4966, E 39 STREET and EUCLID AVENUE, KANSAS CITY, MO, 64130
4967, E 39 STREET and FLORA AVENUE, KANSAS CITY, MO, 64130
4968, E 39 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64127
4969, E 39 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64128
4970, E 39 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64110
4971, E 39 STREET and MAIN STREET, KANSAS CITY, MO, 64108
4972, E 39 STREET and MAIN STREET, KANSAS CITY, MO, 64132
4973, E 39 STREET and MYRTLE AVENUE, KANSAS CITY, MO, 64128
4974, E 39 STREET and PASEO, KANSAS CITY, MO, 64106
4975, E 39 STREET and QUINCY AVENUE, KANSAS CITY, MO, 64128
4976, E 39 STREET and S EMANUEL CLEAVER II BOULEVARD S, KANSAS CITY, MO, 64129
4977, E 39 STREET and WABASH AVENUE, KANSAS CITY, MO, 64111
4978, E 39 STREET and WALNUT STREET, KANSAS CITY, MO, 64110
4979, E 39 STREET and WARWICK BOULEVARD, KANSAS CITY, MO, 64110
4980, E 39 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64109
4981, E 4 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64106
4982, E 40 STREET and AGNES AVENUE, KANSAS CITY, MO, 64130
4983, E 40 STREET and BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64128
4984, E 40 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64108
4985, E 40 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64130
4986, E 40 STREET and EUCLID AVENUE, KANSAS CITY, MO, 64110
4987, E 40 STREET and EUCLID AVENUE, KANSAS CITY, MO, 64111
4988, E 40 STREET and EUCLID AVENUE, KANSAS CITY, MO, 64127
4989, E 40 STREET and MONROE AVENUE, KANSAS CITY, MO, 64130
4990, E 40 STREET and WALNUT STREET, KANSAS CITY, MO, 64111
4991, E 40 STREET and WAYNE AVENUE, KANSAS CITY, MO,
4992, E 40 STREET and WAYNE AVENUE, KANSAS CITY, MO, 64110
4993, E 42 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64130
4994, E 42 STREET and PASEO, KANSAS CITY, MO, 64110
4995, E 42 STREET and VINEYARD ROAD, KANSAS CITY, MO, 64129
4996, E 42 TERRACE and MILL STREET, KANSAS CITY, MO, 64111
4997, E 43 STREET and AGNES AVENUE, KANSAS CITY, MO, 64130
4998, E 43 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64128
4999, E 43 STREET and FOREST AVENUE, KANSAS CITY, MO, 64110
5000, E 43 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64128
