10001, 9500 LANE AVENUE, KANSAS CITY, MO, 64138
10702, E 22 STREET and CHELSEA AVE, KANSAS CITY, MO,
10703, E 22 STREET and CHELSEA AVENUE, KANSAS CITY, MO,
10704, E 22 STREET and DENVER AVENUE, KANSAS CITY, MO, 64110
10705, E 22 STREET and DENVER AVENUE, KANSAS CITY, MO, 64127
10706, E 22 STREET and DENVER AVENUE, KANSAS CITY, MO, 64130
10707, E 22 STREET and DRURY AVENUE, KANSAS CITY, MO, 64127
10708, E 22 STREET and DRURY AVENUE, KANSAS CITY, MO, 64128
10709, E 22 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64127
10710, E 22 STREET and HARDESTY AVENUE, KANSAS CITY, MO,
10711, E 22 STREET and HOLMES STREET, KANSAS CITY, MO, 64106
10712, E 22 STREET and HOLMES STREET, KANSAS CITY, MO, 64109
10713, E 22 STREET and KANSAS AVENUE, KANSAS CITY, MO, 64127
10714, E 22 STREET and MCGEE STREET, KANSAS CITY, MO, 64110
10715, E 22 STREET and OAKLEY AVENUE, KANSAS CITY, MO, 64127
10716, E 22 STREET and OLIVE STREET, KANSAS CITY, MO, 64127
10717, E 22 STREET and PASEO, KANSAS CITY, MO, 64108
10718, E 22 STREET and PASEO, KANSAS CITY, MO, 64124
10719, E 22 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64108
10720, E 22 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64126
10721, E 22 STREET and TRACY AVENUE, KANSAS CITY, MO, 64108
10722, E 22 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64109
10723, E 22 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64130
10724, E 22 STREET and WABASH AVENUE, KANSAS CITY, MO, 64127
10725, E 22 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64128
10726, E 23 STREET and AGNES AVENUE, KANSAS CITY, MO, 64127
10727, E 23 STREET and ASKEW AVENUE, KANSAS CITY, MO, 64130
10728, E 23 STREET and BENTON BOULEVARD, KANSAS CITY, MO,
10729, E 23 STREET and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64126
10730, E 23 STREET and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64128
10731, E 23 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64106
10732, E 23 STREET and CHELSEA AVENUE, KANSAS CITY, MO, 64128
10733, E 23 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64124
10734, E 23 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64128
10735, E 23 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64127
10736, E 23 STREET and DRURY AVENUE, KANSAS CITY, MO, 64128
10737, E 23 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64128
10738, E 23 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64123
10739, E 23 STREET and HOLMES STREET, KANSAS CITY, MO, 64108
10740, E 23 STREET and HOLMES STREET, KANSAS CITY, MO, 64109
10741, E 23 STREET and I 70 HIGHWAY, KANSAS CITY, MO, 64124
10742, E 23 STREET and JACKSON AVENUE, KANSAS CITY, MO,
10743, E 23 STREET and LAWN AVENUE, KANSAS CITY, MO, 64126
10744, E 23 STREET and LAWNDALE AVENUE, KANSAS CITY, MO, 64127
10745, E 23 STREET and LISTER AVENUE, KANSAS CITY, MO, 64124
10746, E 23 STREET and LOCUST STREET, KANSAS CITY, MO, 64108
10747, E 23 STREET and LYDIA AVENUE, KANSAS CITY, MO, 64108
10748, E 23 STREET and MONROE AVENUE, KANSAS CITY, MO, 64126
10749, E 23 STREET and MONROE AVENUE, KANSAS CITY, MO, 64130
10750, E 23 STREET and OAKLEY AVENUE, KANSAS CITY, MO, 64126
10751, E 23 STREET and OAKLEY AVENUE, KANSAS CITY, MO, 64133
10752, E 23 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64109
10753, E 23 STREET and QUINCY AVENUE, KANSAS CITY, MO, 64108
10754, E 23 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64124
10755, E 23 STREET and STARK AVENUE, KANSAS CITY, MO, 64128
10756, E 23 STREET and STARK AVENUE, KANSAS CITY, MO, 64129
10757, E 23 STREET and TELEVISION PL, KANSAS CITY, MO, 64128
10758, E 23 STREET and TOPPING AVENUE, KANSAS CITY, MO,
10759, E 23 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64124
10760, E 23 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64130
10761, E 23 STREET and TRACY AVENUE, KANSAS CITY, MO, 64108
10762, E 23 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64106
10763, E 23 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64130
10764, E 23 STREET and WALROND AVENUE, KANSAS CITY, MO, 64127
10765, E 23 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64108
10766, E 23 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64109
10767, E 23 TERRACE and MERSINGTON AVENUE, KANSAS CITY, MO, 61427
10768, E 23 TERRACE and MERSINGTON AVENUE, KANSAS CITY, MO, 64127
10769, E 23 TRAFFICWAY and MANCHESTER TRAFFICWAY, KANSAS CITY, MO, 64030
10770, E 23 TRAFFICWAY and MANCHESTER TRAFFICWAY, KANSAS CITY, MO, 64126
10771, E 23 TRAFFICWAY E and I 435 HIGHWAY, KANSAS CITY, MO, 64126
10772, E 23 TRAFFICWAY E and STARK AVENUE, KANSAS CITY, MO, 64116
10773, E 23 TRAFFICWAY W and I 435 HIGHWAY, KANSAS CITY, MO,
10774, E 23 TRAFFICWAY W and I 435 HIGHWAY, KANSAS CITY, MO, 64120
10775, E 23 TRAFFICWAY W and I 435 HIGHWAY, KANSAS CITY, MO, 64129
10776, E 24 STREET and AGNES AVENUE, KANSAS CITY, MO, 64126
10777, E 24 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64129
10778, E 24 STREET and BRIGHTON AVENUE, KANSAS CITY, MO, 64109
10779, E 24 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64108
10780, E 24 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64106
10781, E 24 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64108
10782, E 24 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64111
10783, E 24 STREET and CHELSEA AVENUE, KANSAS CITY, MO, 64123
10784, E 24 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64132
10785, E 24 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64132
10786, E 24 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64126
10787, E 24 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64127
10788, E 24 STREET and CYPRESS AVENUE, KANSAS CITY, MO, 64128
10789, E 24 STREET and DENVER AVENUE, KANSAS CITY, MO, 64137
10790, E 24 STREET and FLORA AVENUE, KANSAS CITY, MO, 64109
10791, E 24 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64106
10792, E 24 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64108
10793, E 24 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64123
10794, E 24 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64128
10795, E 24 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64123
10796, E 24 STREET and LISTER AVENUE, KANSAS CITY, MO, 64126
10797, E 24 STREET and LISTER AVENUE, KANSAS CITY, MO, 64128
10798, E 24 STREET and MONROE AVENUE, KANSAS CITY, MO, 64130
10799, E 24 STREET and NORTON AVENUE, KANSAS CITY, MO, 64128
10800, E 24 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64128
10801, E 24 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64129
10802, E 24 STREET and QUINCY AVENUE, KANSAS CITY, MO, 64123
10803, E 24 STREET and QUINCY AVENUE, KANSAS CITY, MO, 64128
10804, E 24 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64129
10805, E 24 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64123
10806, E 24 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64124
10807, E 24 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64138
10808, E 24 STREET and WABASH AVENUE, KANSAS CITY, MO, 64127
10809, E 24 STREET and WOODLAND AVENUE, KANSAS CITY, MO,
10810, E 24 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64106
10811, E 24 TERRACE and CAMPBELL STREET, KANSAS CITY, MO, 64110
10812, E 24 TERRACE and COLLEGE AVENUE, KANSAS CITY, MO, 64127
10813, E 25 and TOPPING AVENUE, KANSAS CITY, MO, 64127
10814, E 25 STREET and AGNES AVENUE, KANSAS CITY, MO, 64120
10815, E 25 STREET and AGNES AVENUE, KANSAS CITY, MO, 64127
10816, E 25 STREET and BALES AVENUE, KANSAS CITY, MO, 64124
10817, E 25 STREET and BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64127
10818, E 25 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64125
10819, E 25 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64130
10820, E 25 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64124
10821, E 25 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64110
10822, E 25 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64114
10823, E 25 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64128
10824, E 25 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64108
10825, E 25 STREET and EUCLID AVENUE, KANSAS CITY, MO, 64127
10826, E 25 STREET and FOREST AVENUE, KANSAS CITY, MO, 64108
10827, E 25 STREET and INDIANA AVENUE, KANSAS CITY, MO,
10828, E 25 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64128
10829, E 25 STREET and MERSINGTON AVENUE, KANSAS CITY, MO, 64123
10830, E 25 STREET and OAKLEY AVENUE, KANSAS CITY, MO,
10831, E 25 STREET and PASEO, KANSAS CITY, MO, 64111
10832, E 25 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64109
10833, E 25 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64130
10834, E 25 STREET and TROOST AVENUE, KANSAS CITY, MO, 64106
10835, E 25 STREET and TROOST AVENUE, KANSAS CITY, MO, 64108
10836, E 25 STREET and TROOST AVENUE, KANSAS CITY, MO, 64110
10837, E 25 STREET and VINE STREET, KANSAS CITY, MO, 64109
10838, E 25 STREET and WABASH AVENUE, KANSAS CITY, MO, 64127
10839, E 25TH/ QUINCY AVE, KANSAS CITY, MO, 64127
10840, E 26 STREET and AGNES AVENUE, KANSAS CITY, MO, 64127
10841, E 26 STREET and BALES AVENUE, KANSAS CITY, MO, 64127
10842, E 26 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64128
10843, E 26 STREET and BRIGHTON AVENUE, KANSAS CITY, MO, 64128
10844, E 26 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64108
10845, E 26 STREET and CHERRY STREET, KANSAS CITY, MO, 64106
10846, E 26 STREET and COLORADO AVENUE, KANSAS CITY, MO, 64105
10847, E 26 STREET and CYPRESS AVENUE, KANSAS CITY, MO, 64130
10848, E 26 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64106
10849, E 26 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64108
10850, E 26 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64126
10851, E 26 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64127
10852, E 26 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64109
10853, E 26 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64128
10854, E 26 STREET and POPLAR AVENUE, KANSAS CITY, MO,
10855, E 26 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64109
10856, E 26 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64123
10857, E 26 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64127
10858, E 26 STREET and VINE STREET, KANSAS CITY, MO, 64108
10859, E 26 STREET and WABASH AVENUE, KANSAS CITY, MO, 64109
10860, E 26 STREET and WALROND AVENUE, KANSAS CITY, MO, 64128
10861, E 27 STREET and AGNES AVENUE, KANSAS CITY, MO, 64128
10862, E 27 STREET and ASKEW AVENUE, KANSAS CITY, MO, 64127
10863, E 27 STREET and BALES AVENUE, KANSAS CITY, MO,
10864, E 27 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64132
10865, E 27 STREET and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64126
10866, E 27 STREET and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64129
10867, E 27 STREET and BLUE VALLEY PARK ROAD S, KANSAS CITY, MO, 64127
10868, E 27 STREET and BRIGHTON AVENUE, KANSAS CITY, MO, 64130
10869, E 27 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64106
10870, E 27 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64106
10871, E 27 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64108
10872, E 27 STREET and CHERRY STREET, KANSAS CITY, MO,
10873, E 27 STREET and CHERRY STREET, KANSAS CITY, MO, 64109
10874, E 27 STREET and CYPRESS AVENUE, KANSAS CITY, MO, 64130
10875, E 27 STREET and DENVER AVENUE, KANSAS CITY, MO, 64128
10876, E 27 STREET and FOREST AVENUE, KANSAS CITY, MO, 64108
10877, E 27 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64109
10878, E 27 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64109
10879, E 27 STREET and GROVE STREET, KANSAS CITY, MO, 64108
10880, E 27 STREET and HARRISON STREET, KANSAS CITY, MO, 64127
10881, E 27 STREET and HOLMES STREET, KANSAS CITY, MO, 64127
10882, E 27 STREET and I 70 HIGHWAY, KANSAS CITY, MO, 64128
10883, E 27 STREET and INDIANA AVENUE, KANSAS CITY, MO,
10884, E 27 STREET and LISTER AVENUE, KANSAS CITY, MO, 64127
10885, E 27 STREET and LISTER AVENUE, KANSAS CITY, MO, 64130
10886, E 27 STREET and MCGEE TRAFFICWAY, KANSAS CITY, MO, 64106
10887, E 27 STREET and MCGEE TRAFFICWAY, KANSAS CITY, MO, 64108
10888, E 27 STREET and MCGEE TRAFFICWAY, KANSAS CITY, MO, 64109
10889, E 27 STREET and MERSINGTON AVENUE, KANSAS CITY, MO, 64127
10890, E 27 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64126
10891, E 27 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64128
10892, E 27 STREET and PASEO, KANSAS CITY, MO,
10893, E 27 STREET and PASEO, KANSAS CITY, MO, 64128
10894, E 27 STREET and POPLAR AVENUE, KANSAS CITY, MO, 64127
10895, E 27 STREET and POPLAR AVENUE, KANSAS CITY, MO, 64128
10896, E 27 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64129
10897, E 27 STREET and QUINCY AVENUE, KANSAS CITY, MO, 64124
10898, E 27 STREET and QUINCY AVENUE, KANSAS CITY, MO, 64127
10899, E 27 STREET and SPRING VALLEY PARK ROAD, KANSAS CITY, MO, 64109
10900, E 27 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64127
10901, E 27 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64128
10902, E 27 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64128
10903, E 27 STREET and TROOST AVENUE, KANSAS CITY, MO,
10904, E 27 STREET and TROOST AVENUE, KANSAS CITY, MO, 64106
10905, E 27 STREET and TROOST AVENUE, KANSAS CITY, MO, 64110
10906, E 27 STREET and TROOST AVENUE, KANSAS CITY, MO, 64114
10907, E 27 STREET and TROOST AVENUE, KANSAS CITY, MO, 64127
10908, E 27 STREET and TROOST AVENUE, KANSAS CITY, MO, 64128
10909, E 27 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64124
10910, E 27 STREET and WABASH AVENUE, KANSAS CITY, MO, 64109
10911, E 27 STREET and WALLACE AVENUE, KANSAS CITY, MO, 64127
10912, E 27 STREET and WALLACE AVENUE, KANSAS CITY, MO, 64128
10913, E 27 STREET and WALROND AVENUE, KANSAS CITY, MO, 64127
10914, E 27 TERRACE and HOLMES STREET, KANSAS CITY, MO, 64109
10915, E 27 TERRACE and TOPPING AVENUE, KANSAS CITY, MO, 64128
10916, E 28 STREET and BRIGHTON AVENUE, KANSAS CITY, MO, 64128
10917, E 28 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64109
10918, E 28 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64128
10919, E 28 STREET and DENVER AVENUE, KANSAS CITY, MO, 64125
10920, E 28 STREET and DENVER AVENUE, KANSAS CITY, MO, 64126
10921, E 28 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64108
10922, E 28 STREET and HARRISON STREET, KANSAS CITY, MO, 64109
10923, E 28 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64127
10924, E 28 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64127
10925, E 28 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64128
10926, E 28 STREET and OLIVE STREET, KANSAS CITY, MO, 64124
10927, E 28 STREET and OLIVE STREET, KANSAS CITY, MO, 64127
10928, E 28 STREET and POPLAR AVENUE, KANSAS CITY, MO, 64128
10929, E 28 STREET and PROSPECT AVENUE, KANSAS CITY, MO,
10930, E 28 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64132
10931, E 28 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64124
10932, E 28 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64128
10933, E 28 STREET and WALLACE AVE, KANSAS CITY, MO, 64127
10934, E 28 STREET and WENZEL AVENUE, KANSAS CITY, MO, 64127
10935, E 28 TERRACE and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64133
10936, E 29 STREET and BALES AVENUE, KANSAS CITY, MO, 64128
10937, E 29 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64128
10938, E 29 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64106
10939, E 29 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64108
10940, E 29 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64129
10941, E 29 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64131
10942, E 29 STREET and CHARLOTTE STREET, KANSAS CITY, MO,
10943, E 29 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64123
10944, E 29 STREET and EUCLID AVENUE, KANSAS CITY, MO, 64108
10945, E 29 STREET and EUCLID AVENUE, KANSAS CITY, MO, 64124
10946, E 29 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64112
10947, E 29 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64124
10948, E 29 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64127
10949, E 29 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64128
10950, E 29 STREET and GILLHAM ROAD, KANSAS CITY, MO, 64108
10951, E 29 STREET and HARRISON STREET, KANSAS CITY, MO, 64109
10952, E 29 STREET and HIGHLAND AVENUE, KANSAS CITY, MO, 64109
10953, E 29 STREET and INDIANA AVE, KANSAS CITY, MO, 64128
10954, E 29 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64127
10955, E 29 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64138
10956, E 29 STREET and MCGEE TRAFFICWAY, KANSAS CITY, MO, 64108
10957, E 29 STREET and OAK STREET, KANSAS CITY, MO, 64108
10958, E 29 STREET and OLIVE STREET, KANSAS CITY, MO, 64127
10959, E 29 STREET and RAYTOWN ROAD, KANSAS CITY, MO, 64129
10960, E 29 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64127
10961, E 29 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64121
10962, E 29 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64129
10963, E 29 STREET and VINE STREET, KANSAS CITY, MO, 64108
10964, E 29 STREET and VINE STREET, KANSAS CITY, MO, 64109
10965, E 29 STREET and WALLACE AVENUE, KANSAS CITY, MO, 64129
10966, E 29 TERRACE and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127
10967, E 3 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64106
10968, E 3 STREET and GILLIS, KANSAS CITY, MO, 64106
10969, E 3 STREET and GRAND BOULEVARD, KANSAS CITY, MO,
10970, E 3 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64108
10971, E 3 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64111
10972, E 3 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64119
10973, E 3 STREET and HOLMES STREET, KANSAS CITY, MO, 64124
10974, E 3 STREET and MAIN STREET, KANSAS CITY, MO, 64105
10975, E 3 STREET and OAK STREET, KANSAS CITY, MO,
10976, E 3 STREET and OAK STREET, KANSAS CITY, MO, 64105
10977, E 3 TERRACE and WOODLAND AVENUE, KANSAS CITY, MO, 64106
10978, E 30 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64124
10979, E 30 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64130
10980, E 30 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64111
10981, E 30 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64111
10982, E 30 STREET and CHELSEA AVENUE, KANSAS CITY, MO, 64127
10983, E 30 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64128
10984, E 30 STREET and FOREST AVENUE, KANSAS CITY, MO, 64130
10985, E 30 STREET and GILLHAM ROAD, KANSAS CITY, MO, 64106
10986, E 30 STREET and GILLHAM ROAD, KANSAS CITY, MO, 64110
10987, E 30 STREET and GRAND AVENUE, KANSAS CITY, MO, 64112
10988, E 30 STREET and HOLMES STREET, KANSAS CITY, MO, 64110
10989, E 30 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64127
10990, E 30 STREET and LISTER AVENUE, KANSAS CITY, MO, 64127
10991, E 30 STREET and MAIN STREET, KANSAS CITY, MO, 64126
10992, E 30 STREET and MCGEE STREET, KANSAS CITY, MO, 64109
10993, E 30 STREET and MERSINGTON AVENUE, KANSAS CITY, MO, 64128
10994, E 30 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64128
10995, E 30 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130
10996, E 30 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64127
10997, E 30 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64127
10998, E 30 STREET and WABASH AVENUE, KANSAS CITY, MO, 64128
10999, E 30 STREET and WALROND AVENUE, KANSAS CITY, MO, 64128
11000, E 30 TERRACE and DRURY AVENUE, KANSAS CITY, MO, 64127
