NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,CATEGORY,OFFENSEDESCRIPTION
270,Crimes against property,Embezzlement,270 Embezzlement,FRAUD,FRAUD (LARCENY) BY CONVERSION
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,INTERSTATE TRANSPORT OF STOLEN VEHICLE
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,MOTOR VEHICLE AS STOLEN PROPERTY - THEFT AND SALE
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,MOTOR VEHICLE AS STOLEN PROPERTY - THEFT AND STRIP (INCLUDES CHOP SHOP)
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,MOTOR VEHICLE AS STOLEN PROPERTY - THEFT AND USE
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,MOTOR VEHICLE AS STOLEN PROPERTY - UNAUTHORIZED USE (INCLUDES JOY RIDING)
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,MOTOR VEHICLE AS STOLEN PROPERTY (OTHER)
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,POSSESS/RECEIVE STOLEN VEHICLE/PARTS
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,SALE OF STOLEN PROPERTY
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,DANGEROUS DRUGS,STOLEN PROPERTY
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,STOLEN PROPERTY
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,WEAPONS OFFENSES,STOLEN PROPERTY
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,STOLEN PROPERTY - CONCEALING
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,STOLEN PROPERTY - POSSESSING
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,STOLEN PROPERTY - RECEIVING
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,STOLEN PROPERTY (OTHER)
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DAMAGE TO PROPERTY,DAMAGE TO PRIVATE PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DANGEROUS DRUGS,DAMAGE TO PRIVATE PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),OBSTRUCTING THE POLICE,DAMAGE TO PRIVATE PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DAMAGE TO PROPERTY,DAMAGE TO PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DANGEROUS DRUGS,DAMAGE TO PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DISORDERLY CONDUCT,DAMAGE TO PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),FAMILY OFFENSE,DAMAGE TO PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),FRAUD,DAMAGE TO PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),LARCENY,DAMAGE TO PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),MISCELLANEOUS,DAMAGE TO PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),OBSTRUCTING JUDICIARY,DAMAGE TO PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),OBSTRUCTING THE POLICE,DAMAGE TO PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),OTHER,DAMAGE TO PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),OUIL,DAMAGE TO PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),RUNAWAY,DAMAGE TO PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),WEAPONS OFFENSES,DAMAGE TO PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DAMAGE TO PROPERTY,DAMAGE TO PROPERTY - BUSINESS PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DAMAGE TO PROPERTY,DAMAGE TO PROPERTY - BUSINESS PROPERTY - WITH EXPLOSIVES
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DAMAGE TO PROPERTY,DAMAGE TO PROPERTY - COMPUTER USED IN COMMISSION OF CRIME
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DAMAGE TO PROPERTY,"DAMAGE TO PROPERTY - DESTROY, INJURE PROPERTY OF POLICE OR FIRE DEPARTMENTS"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DAMAGE TO PROPERTY,DAMAGE TO PROPERTY - DESTRUCTION OF TOMBS AND MEMORIALS
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DAMAGE TO PROPERTY,DAMAGE TO PROPERTY - PRIVATE PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DAMAGE TO PROPERTY,DAMAGE TO PROPERTY - PRIVATE PROPERTY - WITH EXPLOSIVES
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DAMAGE TO PROPERTY,DAMAGE TO PROPERTY - PUBLIC PROPERTY
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DAMAGE TO PROPERTY,DAMAGE TO PROPERTY - PUBLIC PROPERTY - WITH EXPLOSIVES
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DAMAGE TO PROPERTY,"DAMAGE TO PROPERTY - THROWING STONE, ETC, AT TRAIN OR MOTOR VEHICLE"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DAMAGE TO PROPERTY,DAMAGE TO PROPERTY (OTHER)
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),DAMAGE TO PROPERTY,DAMAGE TO PUBLIC PROPERTY
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,AMPHETAMINE - ( OTHER)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,AMPHETAMINE -POSSESS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,AMPHETAMINE -SELL
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,BARBITURATE -(OTHER)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,BARBITURATE -POSSESS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,BARBITURATE -SELL
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,COCAINE - (OTHER)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,COCAINE -POSSESS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,COCAINE -SELL
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,COCAINE -SMUGGLE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,COCAINE -USE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,CRACK - (OTHER)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,CRACK -POSSESS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,CRACK -SELL
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,CRACK -SMUGGLE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,CRACK -USE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,DANGEROUS DRUGS (OTHER)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,DELIVERY OF IMITATION CONTROLLED SUBSTANCE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,OTHER,DRUGS - (OTHER)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,OTHER,DRUGS -ADULTERATED
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"DRUGS, ILLEGAL USE OF"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,HALLUCINOGEN -(OTHER)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,HALLUCINOGEN -DISTRIBUTION
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,HALLUCINOGEN -MANUFACTURE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,HALLUCINOGEN -POSSESS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,HALLUCINOGEN -SELL
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,HALLUCINOGEN -USE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,HEROIN - SELL / MANUFACTURE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,HEROIN -POSSESS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,HEROIN -SMUGGLE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,HEROIN -USE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,HEROIN- (OTHER)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,HEROIN- SELL/MANUFACTURE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,LSD -POSSESS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,LSD -SELL
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,MARIJUANA - (OTHER)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,MARIJUANA - DELIVER
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,MARIJUANA -POSSESS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,OBSTRUCTING THE POLICE,MARIJUANA -POSSESS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,WEAPONS OFFENSES,MARIJUANA -POSSESS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,MARIJUANA -PRODUCING
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,MARIJUANA -SELL
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,MARIJUANA -SMUGGLE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,MARIJUANA -USE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,"NARCOTIC DRUGS, FRAUDULENT PROCUREMENT OF"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,OPIUM OR DERIVATIVE -POSSESS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,OPIUM OR DERIVATIVE -SELL
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,ORDINANCE VIOLATION/INVESTIGATION
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,SYNTHETIC NARCOTIC -(OTHER)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,SYNTHETIC NARCOTIC -POSSESS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,SYNTHETIC NARCOTIC -SELL
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,SYNTHETIC NARCOTIC -SMUGGLE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,SYNTHETIC NARCOTIC -USE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,SYNTHETIC NARCOTIC MANUFACTURE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,ASSAULT,VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DANGEROUS DRUGS,VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DISORDERLY CONDUCT,VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,MISCELLANEOUS,VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,OBSTRUCTING JUDICIARY,VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,OBSTRUCTING THE POLICE,VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,OTHER,VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,SEX OFFENSES,VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,WEAPONS OFFENSES,VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA)
35B,Crimes against society,Drug/Narcotic Offenses,35B Drug Equipment Violations,DANGEROUS DRUGS,NARCOTIC EQUIPMENT
35B,Crimes against society,Drug/Narcotic Offenses,35B Drug Equipment Violations,DANGEROUS DRUGS,NARCOTIC EQUIPMENT VIOLATIONS
35B,Crimes against society,Drug/Narcotic Offenses,35B Drug Equipment Violations,DISORDERLY CONDUCT,NARCOTIC EQUIPMENT VIOLATIONS
35B,Crimes against society,Drug/Narcotic Offenses,35B Drug Equipment Violations,MISCELLANEOUS,NARCOTIC EQUIPMENT VIOLATIONS
35B,Crimes against society,Drug/Narcotic Offenses,35B Drug Equipment Violations,OBSTRUCTING JUDICIARY,NARCOTIC EQUIPMENT VIOLATIONS
35B,Crimes against society,Drug/Narcotic Offenses,35B Drug Equipment Violations,OTHER,NARCOTIC EQUIPMENT VIOLATIONS
35B,Crimes against society,Drug/Narcotic Offenses,35B Drug Equipment Violations,WEAPONS OFFENSES,NARCOTIC EQUIPMENT VIOLATIONS
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,OBSCENITY,OBSCENE COMMUNICATION
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,OBSCENITY,OBSCENE MATERIAL -DISTRIBUTE
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,OBSCENITY,OBSCENE MATERIAL -MAILING
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,OBSCENITY,OBSCENE MATERIAL -MANUFACTURE/PUBLISH
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,OBSCENITY,OBSCENE MATERIAL -POSSESS
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,OBSCENITY,OBSCENITY (OTHER)
39A,Crimes against society,Gambling Offenses,39A Betting/Wagering,GAMBLING,GAMBLING - BETTING / WAGERING
39A,Crimes against society,Gambling Offenses,39A Betting/Wagering,GAMBLING,GAMBLING - CARD GAME
39A,Crimes against society,Gambling Offenses,39A Betting/Wagering,GAMBLING,GAMBLING - DICE GAME
39A,Crimes against society,Gambling Offenses,39A Betting/Wagering,GAMBLING,GAMBLING - DICE GAME - PLAYING
39B,Crimes against society,Gambling Offenses,39B Operating/Promoting/Assisting Gambling,GAMBLING,GAMBLING - DICE GAME - OPERATING
39B,Crimes against society,Gambling Offenses,39B Operating/Promoting/Assisting Gambling,GAMBLING,GAMBLING - LOTTERY - OPERATING
40A,Crimes against society,Prostitution Offenses,40A Prostitution,SEX OFFENSES,COMMERCIALIZED SEX - PROSTITUTION
40A,Crimes against society,Prostitution Offenses,40A Prostitution,WEAPONS OFFENSES,COMMERCIALIZED SEX - PROSTITUTION
40B,Crimes against society,Prostitution Offenses,40B Assisting or Promoting Prostitution,SEX OFFENSES,COMMERCIALIZED SEX - ASSISTING / PROMOTING PROSTITUTION
510,Crimes against property,Bribery,510 Bribery,BRIBERY,BRIBE -GIVING
510,Crimes against property,Bribery,510 Bribery,BRIBERY,BRIBE -OFFERING
510,Crimes against property,Bribery,510 Bribery,BRIBERY,BRIBE -RECEIVING
510,Crimes against property,Bribery,510 Bribery,BRIBERY,BRIBERY (OTHER)
510,Crimes against property,Bribery,510 Bribery,BRIBERY,CONFLICT OF INTEREST
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,CONCEALED PISTOL PERMIT VIOLATION
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,CONCEALED WEAPONS - ALTERING IDENTIFICATION
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,CONCEALED WEAPONS - CARRYING CONCEALED (CCW)
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,CONCEALED WEAPONS - CARRYING PROHIBITED
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,CONCEALED WEAPONS - FIREARM IN AUTO (CCW)
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,CONCEALED WEAPONS - POSSESSION OF WEAPON
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,CONCEALED WEAPONS - SAFETY INSPECTION AND REGISTRATION VIOLATION
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,"CONCEALED WEAPONS VIOLATIONS - SHORT BARRELED SHOTGUN OR RIFLE - MANUFACTURE, SELL, OFFER FOR SALE, POSSESS"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,"EXPLOSIVES -MANUFACTURE, SALE, FURNISHING"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,EXPLOSIVES (BOMB) POSSESS
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,EXPLOSIVES (BOMBS) -TRANSPORTING
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,EXPLOSIVES (BOMBS) -USING
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,"FIREWORKS -POSSESSION, SALE, USE, OR FURNISH"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,ILLEGAL POSSESSION/USE OF BLANK PISTOL
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,INCENDIARY DEVICE -POSSESS
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,INCENDIARY DEVICE -USING
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,POSSESSION OF FIREARM IN COMMISSION OF CRIME
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,POSSESSION OR USE OF FIREARM WHILE UNDER INFLUENCE OF LIQUOR OR DRUGS
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,MISCELLANEOUS,TERRORIST ACTIVITY - BOMB
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,"WEAPON, CARRY IN PROHIBITED ZONE"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,WEAPONS - CARRYING A CONCEALED WEAPON (CCW)
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,WEAPONS - FIREARM IN AUTOMOBILE (CCW)
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,WEAPONS CONCEALED (OTHER)
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,WEAPONS EXPLOSIVES (OTHER)
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,MISCELLANEOUS,WEAPONS OFFENSE - CONCEALED
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,OUIL,WEAPONS OFFENSE - CONCEALED
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,WEAPONS OFFENSE - CONCEALED
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,WEAPONS OFFENSE - EXPLOSSIVES
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,DISORDERLY CONDUCT,WEAPONS OFFENSE - OTHER
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,MISCELLANEOUS,WEAPONS OFFENSE - OTHER
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,OTHER,WEAPONS OFFENSE - OTHER
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,WEAPONS OFFENSE - OTHER
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,WEAPONS OFFENSE (OTHER)
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPONS OFFENSES,"WEAPONS, FIRING OF (INCLUDES CARELESS, RECKLESS, HEEDLESS USE)"
90A,Crimes against property,Bad Checks (except Counterfeit Checks or Forged Checks),90A Bad Checks (except Counterfeit Checks or Forged Checks),FRAUD,FRAUD - NON SUFFICENT FUNDS CHECKS
90A,Crimes against property,Bad Checks (except Counterfeit Checks or Forged Checks),90A Bad Checks (except Counterfeit Checks or Forged Checks),WEAPONS OFFENSES,FRAUD - NON SUFFICENT FUNDS CHECKS
90A,Crimes against property,Bad Checks (except Counterfeit Checks or Forged Checks),90A Bad Checks (except Counterfeit Checks or Forged Checks),FRAUD,NO-ACCOUNT CHECK
90A,Crimes against property,Bad Checks (except Counterfeit Checks or Forged Checks),90A Bad Checks (except Counterfeit Checks or Forged Checks),FRAUD,NON-SUFFICIENT FUNDS CHECKS
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DISORDERLY CONDUCT,"AFFRAY, JOSTLING, ROUGHING CROWD"
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DISORDERLY CONDUCT,ASSEMBLY -UNLAWFUL
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DISORDERLY CONDUCT,BEGGING
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DISORDERLY CONDUCT,DISORDERLY CONDUCT
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DISORDERLY CONDUCT,DISORDERLY CONDUCT - GENERAL
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DISORDERLY CONDUCT,DISORDERLY CONDUCT (OTHER)
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DISORDERLY CONDUCT,DISTURBING THE PEACE
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,MISCELLANEOUS,DISTURBING THE PEACE
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DISORDERLY CONDUCT,"INDECENT, IMMORAL, OBSCENE OR VULGAR LANGUAGE"
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,VAGRANCY (OTHER),MISCELLANEOUS ARREST
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DISORDERLY CONDUCT,PUBLIC PEACE - OTHER
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DISORDERLY CONDUCT,PUBLIC PEACE (OTHER)
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DISORDERLY CONDUCT,RIOT -INCITING
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DISORDERLY CONDUCT,RIOT -INTERFERE FIREMAN
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DISORDERLY CONDUCT,RIOT -INTERFERE OFFICER
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DISORDERLY CONDUCT,VAGRANCY - CURFEW
